,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
0,Attendance,"55,976","50,666","69,439","70,585","75,695","61,459","69,083","60,986","71,404","69,419","71,500","71,029","73,038","70,910","70,103","69,162","71,649","72,211","62,417"
0,Duration,3:06,2:59,2:57,2:57,3:11,2:36,3:04,3:10,3:49,3:20,2:56,2:56,3:23,3:14,3:06,3:05,2:49,3:03,3:29
0,Over/Under,51.0 (under),46.0 (over),44.5 (under),47.5 (under),49.5 (under),39.0 (under),41.0 (over),43.5 (over),47.0 (over),44.0 (over),48.0 (under),45.0 (under),45.0 (over),50.0 (over),45.5 (over),47.0 (push),44.5 (under),46.5 (over),52.5 (under)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,Patrick Mahomes
0,Surface,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,astroturf,grass,grass,fieldturf,grass,grass,grass
0,Vegas Line,Tampa Bay Buccaneers -1.0,Cincinnati Bengals -1.0,San Francisco 49ers -6.0,San Francisco 49ers -5.0,Los Angeles Rams -3.0,San Francisco 49ers -10.0,San Francisco 49ers -4.5,San Francisco 49ers -10.5,San Francisco 49ers -6.5,San Francisco 49ers -10.0,San Francisco 49ers -3.0,Baltimore Ravens -5.5,New Orleans Saints -1.0,San Francisco 49ers -10.5,San Francisco 49ers -7.0,San Francisco 49ers -3.5,San Francisco 49ers -7.0,San Francisco 49ers -8.0,Kansas City Chiefs -1.5
0,Weather,"93 degrees, relative humidity 52%, wind 9 mph","81 degrees, relative humidity 45%, wind 5 mph","79 degrees, relative humidity 36%, wind 3 mph","87 degrees, relative humidity 36%, wind 8 mph","77 degrees, relative humidity 42%, wind 2 mph","55 degrees, relative humidity 93%, wind 12 mph","66 degrees, relative humidity 20%, wind 19 mph",,"77 degrees, relative humidity 32%, wind 3 mph","72 degrees, relative humidity 46%, no wind","63 degrees, relative humidity 40%, wind 7 mph","40 degrees, relative humidity 91%, wind 13 mph",,"55 degrees, relative humidity 58%, wind 6 mph","58 degrees, relative humidity 66%, wind 12 mph","51 degrees, relative humidity 70%, wind 3 mph","56 degrees, relative humidity 67%, wind 11 mph","58 degrees, relative humidity 56%, wind 5 mph",
0,Won OT Toss,,,,,,,,,Seahawks,,,,,,,,,,
0,Won Toss,Buccaneers,49ers (deferred),Steelers (deferred),Browns,Rams (deferred),49ers (deferred),Panthers (deferred),49ers (deferred),Seahawks (deferred),49ers (deferred),49ers (deferred),Ravens (deferred),49ers (deferred),Falcons,49ers (deferred),49ers (deferred),49ers (deferred),Packers (deferred),49ers (deferred)
