,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
0,Attendance,"67,679","74,742","71,593","71,521","71,617","67,431","66,975","71,655","69,271","71,607","68,702","69,879","71,816","63,967","71,812","64,424","71,624","71,824","71,824","61,629"
0,Duration,3:04,3:13,3:09,2:51,3:05,3:29,2:56,2:54,2:59,2:56,2:58,3:08,3:00,3:05,3:18,2:44,2:52,3:03,3:08,4:06
0,Over/Under,41.5 (under),44.5 (over),43.5 (under),44.5 (over),45.0 (over),35.5 (over),44.0 (under),44.5 (over),44.5 (under),41.0 (push),43.5 (over),48.0 (over),46.5 (under),48.5 (over),46.5 (over),49.5 (under),41.0 (push),50.5 (under),51.5 (over),47.5 (under)
0,Roof,outdoors,dome,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (open),outdoors,outdoors,outdoors,outdoors,outdoors,dome
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,Patrick Mahomes
0,Surface,grass,matrixturf,grass,grass,grass,grass,sportturf,grass,grass,grass,fieldturf,grass,grass,grass,grass,grass,grass,grass,grass,grass
0,Vegas Line,San Francisco 49ers -1.5,San Francisco 49ers -7.5,San Francisco 49ers -10.5,San Francisco 49ers -16.5,San Francisco 49ers -3.5,San Francisco 49ers -9.5,San Francisco 49ers -7.0,San Francisco 49ers -4.5,San Francisco 49ers -3.0,San Francisco 49ers -13.0,San Francisco 49ers -7.5,San Francisco 49ers -3.0,San Francisco 49ers -13.5,San Francisco 49ers -12.0,San Francisco 49ers -6.0,San Francisco 49ers -14.0,San Francisco 49ers -4.0,San Francisco 49ers -10.0,San Francisco 49ers -7.0,San Francisco 49ers -2.0
0,Weather,"72 degrees, relative humidity 83%, wind 3 mph",,"77 degrees, relative humidity 41%, wind 13 mph","75 degrees, relative humidity 36%, wind 9 mph","78 degrees, relative humidity 53%, wind 10 mph","53 degrees, relative humidity 70%, wind 15 mph",,"74 degrees, relative humidity 15%, wind 10 mph","59 degrees, relative humidity 94%, wind 11 mph","65 degrees, relative humidity 52%, wind 10 mph","39 degrees, relative humidity 91%, wind 4 mph","52 degrees, relative humidity 95%, wind 44 mph","63 degrees, relative humidity 42%, wind 5 mph",,"56 degrees, relative humidity 60%, wind 8 mph","48 degrees, relative humidity 43%, wind 7 mph","52 degrees, relative humidity 50%, wind 11 mph","59 degrees, relative humidity 77%, wind 8 mph","69 degrees, relative humidity 55%, wind 5 mph",
0,Won OT Toss,,,,,,,,,,,,,,,,,,,,49ers
0,Won Toss,Steelers,Rams (deferred),Giants (deferred),49ers (deferred),Cowboys (deferred),Browns (deferred),49ers (deferred),Bengals (deferred),49ers (deferred),Buccaneers (deferred),Seahawks (deferred),49ers (deferred),Seahawks (deferred),49ers (deferred),49ers (deferred),Commanders (deferred),Rams (deferred),Packers,49ers (deferred),Chiefs (deferred)
