,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
SFO,Cmp-Att-Yd-TD-INT,18-27-166-1-1,18-26-312-3-1,23-32-277-1-2,20-29-181-2-0,13-24-78-0-0,12-21-151-0-1,19-37-158-0-3,17-24-241-2-0,24-34-232-1-1,34-45-424-4-2,14-20-253-2-0,14-23-105-1-0,27-36-384-5-1,25-39-210-2-0,16-27-248-1-2,25-40-233-2-0,21-29-172-1-1,6-8-77-0-0,26-42-286-2-2
SFO,First Downs,17,27,26,22,10,17,12,19,19,26,16,21,25,20,19,27,7,19,26
SFO,Fourth Down Conv.,0-0,0-0,0-0,1-1,0-4,1-2,0-2,0-0,0-0,0-2,0-0,2-3,1-1,0-0,0-0,1-3,0-2,0-0,2-3
SFO,Fumbles-Lost,1-1,0-0,4-3,1-0,2-1,1-0,1-0,0-0,5-3,0-0,1-0,1-1,0-0,1-1,2-0,1-0,4-1,0-0,3-0
SFO,HomeTeam,False,False,True,True,True,False,False,True,False,True,True,True,False,False,True,True,False,True,True
SFO,Net Pass Yards,158,312,268,171,48,146,100,204,189,408,227,105,354,201,215,223,126,69,268
SFO,Opp Score,17,17,20,3,20,0,51,28,24,26,8,17,46,22,31,26,27,20,20
SFO,Opp_Cmp-Att-Yd-TD-INT,20-36-194-1-3,26-42-311-2-1,14-27-174-2-1,9-24-120-0-2,24-33-243-0-1,9-12-77-0-0,18-22-175-2-1,28-37-317-4-0,24-46-248-1-1,24-33-150-2-0,23-37-119-1-0,15-21-165-1-0,29-41-349-5-0,22-34-200-1-0,27-46-323-2-1,18-22-285-0-0,11-19-131-1-1,31-39-326-2-2,20-31-219-1-2
SFO,Opp_First Downs,21,14,11,9,22,10,24,21,21,21,19,15,28,20,24,18,21,21,21
SFO,Opp_Fourth Down Conv.,0-2,1-2,0-1,0-0,1-1,0-1,0-0,1-1,0-1,1-1,1-3,1-2,2-3,1-1,0-0,0-0,0-1,2-2,0-1
SFO,Opp_Fumbles-Lost,3-1,1-0,2-1,3-2,1-1,1-1,0-0,0-0,2-2,2-2,1-1,1-1,2-1,4-2,2-0,1-0,1-1,3-1,1-0
SFO,Opp_Net Pass Yards,174,291,160,78,232,50,156,310,215,131,81,157,349,193,323,270,122,296,210
SFO,Opp_Penalties-Yards,8-87,7-60,6-42,7-55,4-30,7-47,4-31,8-75,5-40,10-104,5-50,6-54,5-50,7-67,7-43,8-57,5-38,6-46,5-45
SFO,Opp_Rush-Yds-TDs,26-121-0,19-25-0,22-79-0,18-102-0,41-99-2,26-104-0,38-232-5,31-101-0,27-87-0,25-135-1,28-117-0,29-174-1,27-116-1,27-120-1,24-72-2,24-128-3,47-186-2,16-62-1,22-141-1
SFO,Opp_Sacked-Yards,3-20,4-20,2-14,4-42,2-11,3-27,3-19,1-7,5-33,4-19,5-38,2-8,0-0,1-7,0-0,2-15,2-9,3-30,1-9
SFO,Opp_Third Down Conv.,5-11,9-18,3-12,1-11,8-17,3-9,5-10,11-17,6-15,3-10,1-15,4-12,5-11,4-12,5-13,4-8,5-12,3-9,3-8
SFO,Opp_Time of Possession,29:56,27:41,23:43,22:17,38:52,26:36,33:01,34:31,34:41,31:23,35:16,27:34,31:23,30:48,32:21,27:04,38:27,31:13,26:47
SFO,Opp_Total Yards,295,316,239,180,331,154,388,411,302,266,198,331,465,313,395,398,308,358,351
SFO,Opp_Turnovers,4,1,2,4,2,1,1,0,3,2,1,1,1,2,1,0,2,3,2
SFO,Penalties-Yards,11-87,9-75,5-71,4-34,8-59,2-20,9-70,9-65,9-75,10-127,9-78,3-23,10-67,11-98,3-26,5-29,1-15,2-10,4-24
SFO,Rush-Yds-TDs,32-98-0,42-259-2,40-168-2,40-275-2,22-109-1,39-137-0,19-130-1,23-153-1,34-147-1,19-34-0,22-112-2,38-178-1,24-162-1,20-89-1,23-119-2,30-125-1,10-21-0,42-285-4,29-129-2
SFO,SFO Score,31,41,24,31,7,9,13,25,27,36,37,20,48,29,34,21,10,37,31
SFO,Sacked-Yards,1-8,0-0,1-9,2-10,4-30,2-5,7-58,3-37,5-43,2-16,3-26,1-0,3-30,2-9,6-33,1-10,6-46,1-8,4-18
SFO,Third Down Conv.,5-13,5-9,6-11,6-16,0-9,7-16,2-13,2-8,7-15,6-13,3-9,3-10,6-12,7-13,4-10,8-14,2-12,4-10,6-14
SFO,Time of Possession,30:04,32:19,36:17,37:43,21:08,33:24,26:59,25:29,35:19,28:37,24:44,32:26,28:37,29:12,27:39,32:56,21:33,28:47,33:13
SFO,Total Yards,256,571,436,446,157,283,230,357,336,442,339,283,516,290,334,348,147,354,397
SFO,Turnovers,2,1,5,0,1,1,3,0,4,2,0,1,1,1,2,0,2,0,2
