,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CHI,CHI Score,3,16,31,16,21,25,16,14,20,7,19,24,31,13,3,21
CHI,Cmp-Att-Yd-TD-INT,26-45-228-0-1,16-27-120-0-0,25-31-231-3-1,24-33-204-1-0,22-30-231-2-2,34-54-251-2-0,23-35-253-0-1,10-21-125-0-0,16-23-173-3-0,25-47-199-1-1,25-41-278-1-2,29-38-338-3-1,23-31-244-3-1,29-53-334-1-2,18-34-157-0-0,26-37-207-0-0
CHI,First Downs,16,18,21,17,15,16,26,10,13,17,20,22,24,20,18,24
CHI,Fourth Down Conv.,0-2,1-1,0-0,2-3,0-0,1-2,1-1,0-0,1-1,0-2,0-0,0-1,0-0,0-3,0-3,1-2
CHI,Fumbles-Lost,0-0,0-0,0-0,0-0,0-0,2-2,1-1,1-1,1-0,0-0,0-0,0-0,3-1,2-1,1-0,2-1
CHI,HomeTeam,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False
CHI,Net Pass Yards,208,120,208,197,194,235,226,102,145,193,270,331,231,319,133,179
CHI,Opp Score,10,14,15,6,24,36,17,22,13,17,14,20,24,21,26,19
CHI,Opp_Cmp-Att-Yd-TD-INT,18-30-203-1-0,35-50-292-1-1,30-43-332-2-3,27-36-233-0-0,25-32-229-0-0,23-38-281-2-0,19-29-201-1-1,26-39-239-1-0,27-46-269-1-1,11-18-173-0-1,21-36-150-2-0,22-38-280-2-1,27-49-334-1-0,16-33-203-1-0,23-33-251-2-0,12-21-126-0-2
CHI,Opp_First Downs,13,27,25,15,25,24,11,26,21,13,14,19,22,12,25,14
CHI,Opp_Fourth Down Conv.,0-0,3-3,2-3,1-2,1-1,0-0,0-0,1-1,0-2,0-0,2-4,0-1,2-3,1-3,0-0,0-0
CHI,Opp_Fumbles-Lost,1-0,0-0,3-2,3-2,2-2,0-0,0-0,1-0,0-0,3-1,1-1,0-0,0-0,0-0,0-0,1-1
CHI,Opp_Net Pass Yards,166,282,287,182,229,273,195,227,259,173,134,259,326,192,244,126
CHI,Opp_Penalties-Yards,10-71,10-81,9-61,7-55,6-69,4-35,8-53,8-75,8-76,6-34,6-35,9-85,6-52,4-30,9-71,3-40
CHI,Opp_Rush-Yds-TDs,22-47-0,24-90-0,21-69-0,16-40-1,39-169-3,35-151-2,12-36-1,35-146-1,27-98-0,34-110-2,21-109-0,27-105-0,22-82-2,24-100-2,29-106-1,26-174-1
CHI,Opp_Sacked-Yards,5-37,2-10,4-45,6-51,0-0,1-8,1-6,4-12,2-10,0-0,1-16,2-21,2-8,1-11,1-7,0-0
CHI,Opp_Third Down Conv.,2-12,3-14,3-9,5-13,6-12,7-15,2-10,8-18,7-18,3-10,1-12,8-16,6-15,5-15,6-11,4-9
CHI,Opp_Time of Possession,31:03,32:59,28:24,24:33,34:43,37:26,22:00,40:18,31:54,27:16,26:49,29:10,27:42,25:38,33:24,22:20
CHI,Opp_Total Yards,213,372,356,222,398,424,231,373,357,283,243,364,408,292,350,300
CHI,Opp_Turnovers,0,1,5,2,2,0,1,0,1,2,1,1,0,0,0,3
CHI,Penalties-Yards,10-107,7-65,9-59,7-50,10-75,3-10,5-42,9-70,7-57,2-25,6-40,10-89,4-30,4-35,7-50,3-34
CHI,Rush-Yds-TDs,15-46-0,29-153-1,24-90-0,33-72-0,17-42-1,7-17-0,38-162-1,18-62-2,24-81-0,24-74-0,26-65-1,23-88-0,34-151-1,27-96-0,22-101-0,34-158-1
CHI,Sacked-Yards,5-20,0-0,3-23,1-7,4-37,2-16,4-27,3-23,5-28,3-6,2-8,1-7,2-13,3-15,3-24,4-28
CHI,Third Down Conv.,3-15,3-11,8-13,5-16,4-11,2-12,5-14,2-10,2-12,6-17,4-15,5-10,7-12,9-20,5-12,7-16
CHI,Time of Possession,28:57,27:01,31:36,35:27,25:17,22:34,38:00,19:42,28:06,32:44,33:11,30:50,32:18,34:22,26:36,37:40
CHI,Total Yards,254,273,298,269,236,252,388,164,226,267,335,419,382,415,234,337
CHI,Turnovers,1,0,1,0,2,2,2,1,0,1,2,1,2,3,0,1
