,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CHI,CHI Score,17,7,23,14,17,27,17,12,16,24,3,14,33,10,20,10
CHI,Cmp-Att-Yd-TD-INT,26-40-213-1-0,31-45-301-1-2,15-22-101-1-1,21-33-218-1-2,13-26-166-2-1,9-17-134-2-0,4-7-107-0-0,14-32-164-0-1,21-35-297-1-0,18-30-179-1-0,17-33-147-0-2,12-15-102-1-0,25-32-271-1-0,31-46-314-1-3,14-23-193-0-0,20-37-178-0-0
CHI,First Downs,20,19,18,20,16,18,5,17,14,24,8,8,29,22,16,12
CHI,Fourth Down Conv.,1-2,0-2,0-0,2-2,1-1,0-0,0-0,0-1,0-1,1-1,0-2,0-0,1-2,0-1,1-1,0-2
CHI,Fumbles-Lost,2-0,2-2,5-1,2-2,1-1,4-2,0-0,0-0,1-1,1-1,2-0,2-0,0-0,1-0,1-0,0-0
CHI,HomeTeam,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False
CHI,Net Pass Yards,176,290,84,205,159,111,85,150,268,176,134,85,250,306,161,171
CHI,Opp Score,23,29,17,35,20,24,3,20,23,27,31,15,7,20,3,23
CHI,Opp_Cmp-Att-Yd-TD-INT,21-30-321-1-0,18-31-204-1-0,22-39-235-1-0,19-27-179-4-0,22-32-176-1-0,24-41-180-0-2,21-34-211-0-2,23-28-299-0-0,18-25-212-1-0,21-31-299-2-0,26-39-248-3-0,26-37-293-0-1,18-37-188-1-1,25-33-237-2-0,18-36-182-0-2,21-29-189-1-0
CHI,Opp_First Downs,18,22,19,17,17,16,20,19,18,20,24,23,14,18,12,21
CHI,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,0-0,1-1,0-1,0-0,1-1,0-0,3-4,0-0,0-2,0-0,0-1,0-0
CHI,Opp_Fumbles-Lost,0-0,1-1,2-2,0-0,1-0,1-1,1-1,2-2,0-0,2-1,4-3,1-0,1-1,1-1,2-1,0-0
CHI,Opp_Net Pass Yards,308,194,212,169,141,166,185,286,182,287,244,278,164,202,178,180
CHI,Opp_Penalties-Yards,8-73,4-34,6-40,7-55,9-69,8-69,4-35,7-51,5-35,6-49,11-70,8-53,7-56,8-58,8-60,12-103
CHI,Opp_Rush-Yds-TDs,23-64-1,34-117-1,17-70-1,24-91-1,31-159-1,26-125-0,30-108-0,30-101-2,37-160-1,24-65-0,33-176-0,34-110-0,13-70-0,20-91-0,20-76-0,36-147-2
CHI,Opp_Sacked-Yards,2-13,2-10,3-23,2-10,4-35,3-14,5-26,2-13,3-30,3-12,1-4,2-15,3-24,4-35,1-4,2-9
CHI,Opp_Third Down Conv.,5-11,8-15,4-11,7-14,6-15,3-18,6-15,2-9,7-16,3-10,7-16,10-18,3-12,6-13,4-13,5-13
CHI,Opp_Time of Possession,30:34,33:11,27:34,28:09,31:24,31:09,38:35,31:23,33:53,30:36,37:08,38:47,21:51,29:05,26:46,35:55
CHI,Opp_Total Yards,372,311,282,260,300,291,293,387,342,352,420,388,234,293,254,327
CHI,Opp_Turnovers,0,1,2,0,0,3,3,2,0,1,3,1,2,1,3,0
CHI,Penalties-Yards,4-40,8-59,10-73,8-62,8-55,5-44,5-40,4-31,8-78,5-64,9-56,4-29,10-74,13-97,4-25,10-116
CHI,Rush-Yds-TDs,19-125-1,16-20-0,38-222-2,30-103-1,29-115-0,54-231-0,26-68-0,31-157-1,17-55-0,30-222-2,14-6-0,19-62-0,38-232-3,15-43-0,31-97-3,15-30-0
CHI,Sacked-Yards,4-37,1-11,2-17,1-13,1-7,4-23,4-22,2-14,5-29,1-3,2-13,2-17,2-21,2-8,5-32,1-7
CHI,Third Down Conv.,5-13,7-14,4-12,5-12,3-12,5-17,2-11,8-17,4-14,3-9,3-13,5-10,4-11,5-12,7-16,1-12
CHI,Time of Possession,29:26,26:49,33:59,31:51,28:36,36:45,21:25,28:37,26:07,29:24,22:52,21:13,38:09,30:55,33:14,24:05
CHI,Total Yards,301,310,306,308,274,342,153,307,323,398,140,147,482,349,258,201
CHI,Turnovers,0,4,2,4,2,2,0,1,1,1,2,0,0,3,0,0
