,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CHI,CHI Score,24,13,16,24,36,35,15,9,3,19,27,20,13,12,17,3,24
CHI,Cmp-Att-Yd-TD-INT,14-29-93-0-0,23-37-174-0-2,33-52-363-2-2,17-23-157-1-0,20-29-304-2-0,23-29-226-4-1,10-24-131-0-0,22-41-217-0-0,16-30-120-0-0,23-31-231-0-0,32-48-340-2-0,20-39-256-3-0,18-24-140-2-0,19-32-196-1-0,26-40-334-2-0,16-28-122-0-1,21-30-148-1-1
CHI,First Downs,11,15,26,17,24,25,15,16,11,23,20,17,14,16,19,11,16
CHI,Fourth Down Conv.,2-2,1-2,4-5,0-0,0-1,1-1,0-1,2-4,2-4,3-3,2-3,0-2,0-0,1-3,3-4,1-2,1-1
CHI,Fumbles-Lost,3-1,0-0,1-1,1-0,0-0,1-0,1-1,1-0,0-0,0-0,2-1,0-0,1-1,1-1,3-2,2-0,2-1
CHI,HomeTeam,True,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False
CHI,Net Pass Yards,64,134,332,133,296,221,105,172,69,212,320,223,94,171,323,76,141
CHI,Opp Score,17,19,21,18,10,16,18,29,19,20,30,23,38,30,34,6,22
CHI,Opp_Cmp-Att-Yd-TD-INT,19-32-127-1-2,23-36-260-1-0,10-20-167-0-2,20-29-224-0-1,22-35-194-0-1,24-36-240-2-1,21-38-326-1-0,13-20-154-0-0,15-25-184-1-1,13-17-261-1-1,23-35-344-2-0,21-34-221-2-0,20-26-325-2-1,24-40-231-1-1,23-32-336-3-0,17-23-160-0-0,17-25-205-0-0
CHI,Opp_First Downs,16,15,15,21,14,17,23,18,16,19,22,25,22,24,27,12,20
CHI,Opp_Fourth Down Conv.,1-2,1-1,0-1,0-0,1-3,2-2,0-0,0-1,1-1,0-1,0-1,1-1,2-2,0-1,0-1,0-0,0-1
CHI,Opp_Fumbles-Lost,1-1,1-1,0-0,1-1,4-2,2-1,1-0,2-2,2-0,0-0,1-1,2-1,0-0,0-0,0-0,3-1,4-2
CHI,Opp_Net Pass Yards,104,235,156,203,172,210,313,137,184,260,328,211,321,215,329,143,184
CHI,Opp_Penalties-Yards,8-50,12-115,9-78,6-44,4-18,8-43,5-30,2-15,7-40,3-25,5-45,6-79,7-31,10-56,7-55,3-25,5-45
CHI,Opp_Rush-Yds-TDs,26-140-1,22-75-0,33-150-3,26-119-1,19-120-1,20-68-0,32-168-0,34-213-3,35-144-0,25-106-2,27-124-1,33-194-0,34-131-3,29-114-2,32-146-1,25-122-0,33-183-2
CHI,Opp_Sacked-Yards,3-23,3-25,1-11,3-21,4-22,4-30,2-13,3-17,1-0,1-1,3-16,2-10,1-4,2-16,1-7,3-17,3-21
CHI,Opp_Third Down Conv.,3-14,4-14,3-12,5-11,3-12,7-15,5-15,5-13,5-14,1-5,6-13,5-14,6-12,7-14,7-12,5-13,3-10
CHI,Opp_Time of Possession,34:54,28:47,24:59,31:02,26:12,29:20,32:16,28:59,32:28,23:39,33:26,35:14,31:48,29:54,31:29,29:40,30:56
CHI,Opp_Total Yards,244,310,306,322,292,278,481,350,328,366,452,405,452,329,475,265,367
CHI,Opp_Turnovers,3,1,2,2,3,2,0,2,1,1,1,1,1,1,0,1,2
CHI,Penalties-Yards,7-55,9-60,4-25,10-84,5-46,2-10,8-60,6-33,5-25,7-50,7-80,8-78,2-30,9-93,10-70,4-23,7-45
CHI,Rush-Yds-TDs,22-84-0,22-71-1,28-63-0,28-131-2,39-128-3,29-152-1,33-202-2,23-69-0,20-73-0,34-179-2,22-78-1,15-78-0,21-68-0,29-113-0,17-59-0,23-103-0,26-83-1
CHI,Sacked-Yards,2-29,7-40,4-31,3-24,1-8,3-5,3-26,6-45,9-51,3-19,3-20,5-33,7-46,2-25,2-11,7-46,1-7
CHI,Third Down Conv.,2-13,6-17,9-21,3-9,4-11,5-11,2-12,3-14,1-14,9-16,6-17,7-15,4-10,1-12,2-10,5-15,7-14
CHI,Time of Possession,25:06,31:13,35:01,28:58,33:48,30:40,27:44,31:01,27:32,36:21,34:24,24:46,28:12,30:06,28:31,30:20,29:04
CHI,Total Yards,148,205,395,264,424,373,307,241,142,391,398,301,162,284,382,179,224
CHI,Turnovers,1,2,3,0,0,1,1,0,0,0,1,0,1,1,2,1,2
