,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
0,Attendance,"56,525","60,840","58,076","63,198","64,195","50,831","70,659","67,503","65,451","61,712","63,238","51,414","50,481","76,134","63,922","64,505","67,431","66,277","69,242","73,377","70,048"
0,Duration,3:38,2:55,3:02,2:59,3:22,2:57,3:15,3:18,3:07,2:51,3:02,3:20,3:24,3:11,3:02,3:08,3:00,3:17,2:59,3:14,3:26
0,Over/Under,47.5 (over),44.5 (under),43.0 (under),46.5 (under),51.0 (under),47.0 (under),45.5 (over),43.0 (over),47.5 (over),50.5 (under),44.0 (over),49.5 (over),49.0 (push),44.0 (under),41.5 (over),51.5 (over),37.0 (push),49.0 (under),47.5 (under),55.0 (under),48.5 (under)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,,Cooper Kupp
0,Surface,fieldturf,grass,grass,fieldturf,fieldturf,fieldturf,grass,fieldturf,fieldturf,grass,fieldturf,fieldturf,fieldturf,grass,fieldturf,fieldturf,grass,fieldturf,grass,grass,matrixturf
0,Vegas Line,Minnesota Vikings -3.0,Chicago Bears -1.5,Pittsburgh Steelers -3.0,Cincinnati Bengals -7.5,Green Bay Packers -3.0,Cincinnati Bengals -3.5,Baltimore Ravens -6.5,Cincinnati Bengals -11.0,Cincinnati Bengals -2.5,Cincinnati Bengals -1.0,Cincinnati Bengals -3.5,Cincinnati Bengals -3.0,San Francisco 49ers -1.5,Denver Broncos -3.0,Cincinnati Bengals -7.0,Kansas City Chiefs -4.0,Cleveland Browns -5.5,Cincinnati Bengals -5.5,Tennessee Titans -4.0,Kansas City Chiefs -7.0,Los Angeles Rams -4.0
0,Weather,"81 degrees, relative humidity 54%, wind 15 mph","80 degrees, relative humidity 52%, no wind","67 degrees, relative humidity 42%, wind 9 mph","65 degrees, relative humidity 84%, no wind","76 degrees, relative humidity 67%, wind 12 mph",,"61 degrees, relative humidity 60%, wind 6 mph","63 degrees, relative humidity 67%, wind 11 mph","56 degrees, relative humidity 47%, no wind",,"43 degrees, relative humidity 65%, wind 12 mph","48 degrees, relative humidity 51%, wind 11 mph","48 degrees, relative humidity 40%, wind 9 mph","61 degrees, relative humidity 9%, wind 19 mph","52 degrees, relative humidity 63%, no wind","33 degrees, relative humidity 81%, wind 13 mph","38 degrees, relative humidity 89%, wind 22 mph","31 degrees, relative humidity 63%, wind 12 mph","35 degrees, relative humidity 43%, no wind","41 degrees, relative humidity 41%, wind 4 mph",
0,Won OT Toss,Bengals,,,,Bengals,,,,,,,,Bengals,,,,,,,Chiefs,
0,Won Toss,Bengals (deferred),Bengals (deferred),Bengals (deferred),Bengals,Bengals (deferred),Bengals (deferred),Ravens (deferred),Jets,Browns (deferred),Raiders (deferred),Steelers (deferred),Bengals (deferred),Bengals (deferred),Broncos (deferred),Ravens (deferred),Bengals (deferred),Browns (deferred),Bengals (deferred),Bengals (deferred),Chiefs (deferred),Bengals (deferred)
