,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CIN,CIN Score,13,30,23,33,3,27,34,31,36,9,19,19,30,27,31,38
CIN,Cmp-Att-Yd-TD-INT,23-36-193-0-1,37-61-316-3-0,31-44-312-2-0,25-36-300-1-1,19-30-183-0-1,25-39-313-0-1,36-48-422-3-1,26-37-249-2-0,27-46-333-4-0,25-44-233-1-1,22-38-244-0-0,26-39-296-1-0,16-23-185-2-0,7-13-89-1-0,24-33-324-3-0,11-19-121-3-1
CIN,First Downs,19,30,24,28,12,22,31,27,22,18,19,23,16,13,23,24
CIN,Fourth Down Conv.,0-0,5-5,0-0,1-1,2-3,2-2,1-1,1-1,0-0,0-2,3-3,1-1,1-1,0-0,0-0,1-2
CIN,Fumbles-Lost,2-1,2-1,0-0,0-0,3-2,1-0,3-1,1-0,0-0,1-1,1-1,2-1,0-0,0-0,4-1,0-0
CIN,HomeTeam,True,False,False,True,False,False,True,True,True,False,False,True,False,True,True,False
CIN,Net Pass Yards,173,285,256,300,135,300,387,249,333,202,244,296,171,78,322,121
CIN,Opp Score,16,35,23,25,27,31,37,20,10,20,17,7,7,17,37,3
CIN,Opp_Cmp-Att-Yd-TD-INT,16-30-208-0-0,16-23-219-2-1,29-47-225-1-2,27-40-351-2-1,19-37-180-2-1,29-44-371-3-1,23-29-316-5-1,18-30-233-2-1,21-40-213-1-0,17-25-166-1-1,17-29-136-1-1,17-27-193-1-2,28-38-222-1-0,20-38-170-1-1,29-38-371-2-0,6-21-48-0-2
CIN,Opp_First Downs,19,23,27,25,17,23,23,27,16,20,11,12,18,12,27,10
CIN,Opp_Fourth Down Conv.,0-2,1-2,0-0,1-1,0-1,0-0,0-0,1-1,2-3,0-0,1-1,2-2,1-4,1-2,1-2,0-0
CIN,Opp_Fumbles-Lost,0-0,0-0,2-0,0-0,0-0,1-1,0-0,0-0,2-2,1-0,2-2,0-0,3-3,3-2,0-0,0-0
CIN,Opp_Net Pass Yards,207,219,206,340,171,371,316,223,185,161,115,156,208,158,371,48
CIN,Opp_Penalties-Yards,6-35,8-76,11-93,6-49,4-25,6-55,5-40,7-68,6-65,6-49,3-27,6-62,3-25,4-30,5-35,3-29
CIN,Opp_Rush-Yds-TDs,39-155-1,35-215-3,36-172-1,20-89-0,24-161-0,15-59-1,22-82-0,29-218-1,21-139-0,34-164-1,15-40-0,17-40-0,30-101-0,23-86-1,33-169-2,19-147-0
CIN,Opp_Sacked-Yards,2-1,0-0,3-19,3-11,1-9,1-0,0-0,1-10,4-28,2-5,2-21,6-37,2-14,1-12,0-0,0-0
CIN,Opp_Third Down Conv.,6-16,5-8,10-21,2-10,7-15,7-11,5-7,5-9,0-13,4-13,3-10,3-12,9-16,4-16,6-13,1-9
CIN,Opp_Time of Possession,30:10,26:21,37:44,26:49,25:21,25:32,27:03,24:03,29:32,30:46,22:34,27:44,34:41,27:57,36:10,19:29
CIN,Opp_Total Yards,362,434,378,429,332,430,398,441,324,325,155,196,309,244,540,195
CIN,Opp_Turnovers,0,1,2,1,1,2,1,1,2,1,3,2,3,3,0,2
CIN,Penalties-Yards,7-44,4-45,9-73,7-73,5-40,6-20,7-45,7-45,6-45,3-31,5-51,8-54,5-30,2-16,6-46,6-49
CIN,Rush-Yds-TDs,28-122-1,24-68-0,18-48-0,34-205-2,28-70-0,32-98-3,21-81-1,32-118-2,20-44-0,18-70-0,42-142-1,28-110-0,25-101-0,41-152-2,17-166-1,54-404-2
CIN,Sacked-Yards,3-20,3-31,8-56,1-0,7-48,2-13,4-35,0-0,0-0,4-31,0-0,0-0,2-14,2-11,1-2,0-0
CIN,Third Down Conv.,6-14,8-18,3-13,4-11,3-16,8-17,6-9,10-15,6-16,3-13,9-21,1-10,5-11,4-14,4-9,11-17
CIN,Time of Possession,29:50,33:39,32:16,33:11,34:39,34:28,32:57,35:57,30:28,29:14,37:26,32:16,25:19,32:03,23:50,40:31
CIN,Total Yards,295,353,304,505,205,398,468,367,377,272,386,406,272,230,488,525
CIN,Turnovers,2,1,0,1,3,1,2,0,0,2,1,1,0,0,1,1
