,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
CIN,CIN Score,20,17,27,27,17,30,35,13,42,37,20,27,23,34,22,27,24,27,20
CIN,Cmp-Att-Yd-TD-INT,33-53-338-2-4,24-36-199-1-0,23-36-275-3-0,21-32-310-2-0,24-35-217-1-1,28-37-300-3-0,34-42-481-3-0,25-35-232-2-1,25-31-228-1-0,24-39-355-4-2,22-37-270-1-0,25-31-286-2-0,18-33-239-2-1,27-39-200-4-1,40-52-375-3-2,25-42-215-1-0,23-32-209-1-0,23-36-242-2-0,26-41-270-1-2
CIN,First Downs,32,19,20,16,20,21,29,15,30,22,21,26,23,20,28,15,18,30,18
CIN,Fourth Down Conv.,1-3,1-1,0-1,0-1,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-1,0-0,0-0,1-1,0-1,0-0,0-0,1-1
CIN,Fumbles-Lost,2-1,1-0,2-1,0-0,0-0,1-1,0-0,1-1,1-0,0-0,0-0,0-0,0-0,1-0,1-1,1-1,2-1,0-0,0-0
CIN,HomeTeam,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False
CIN,Net Pass Yards,299,165,261,304,190,273,459,193,223,346,266,279,227,184,369,202,183,240,238
CIN,Opp Score,23,20,12,15,19,26,17,32,21,30,16,24,10,23,18,16,17,10,23
CIN,Opp_Cmp-Att-Yd-TD-INT,21-38-194-1-0,19-31-235-1-0,28-52-285-0-2,22-37-303-1-2,19-32-174-1-1,19-36-178-1-0,8-13-124-1-0,17-23-278-1-1,17-30-164-2-2,25-42-265-1-0,22-34-291-0-0,16-27-223-1-0,26-43-276-1-1,30-44-312-3-2,21-33-240-2-0,19-44-286-0-2,17-29-226-2-1,25-42-264-0-1,29-43-326-2-0
CIN,Opp_First Downs,13,19,19,20,22,22,13,24,13,17,15,20,18,25,15,20,23,19,23
CIN,Opp_Fourth Down Conv.,0-0,1-1,0-3,0-1,0-1,0-1,0-0,0-0,1-1,0-1,0-0,2-2,3-6,2-3,0-1,0-2,2-3,1-2,1-1
CIN,Opp_Fumbles-Lost,1-0,1-1,3-2,0-0,1-0,0-0,1-0,1-1,1-1,1-0,1-0,1-1,0-0,3-2,4-1,2-2,2-1,0-0,2-1
CIN,Opp_Net Pass Yards,192,230,252,293,170,171,107,268,164,249,281,211,273,304,224,276,209,261,315
CIN,Opp_Penalties-Yards,8-59,5-45,4-55,6-41,6-48,4-34,3-22,6-56,7-50,8-70,8-57,4-35,9-98,7-58,10-82,5-22,4-36,8-60,4-55
CIN,Opp_Rush-Yds-TDs,22-75-0,27-107-1,20-76-0,22-85-0,28-155-0,34-228-1,29-107-1,44-172-3,18-64-1,24-102-2,21-63-0,25-138-2,25-71-0,25-92-0,16-61-0,27-110-1,35-155-0,19-64-1,20-42-0
CIN,Opp_Sacked-Yards,1-2,1-5,4-33,1-10,1-4,1-7,3-17,2-10,0-0,2-16,1-10,2-12,2-3,1-8,4-16,4-10,2-17,1-3,3-11
CIN,Opp_Third Down Conv.,4-15,3-10,7-18,2-10,5-11,8-17,4-10,8-13,2-8,8-17,7-16,6-11,4-15,4-12,6-13,6-16,3-11,5-12,7-14
CIN,Opp_Time of Possession,26:18,26:12,27:36,28:25,29:59,32:14,26:55,36:45,20:39,28:24,28:14,27:54,31:52,30:35,23:12,28:41,32:26,26:06,32:51
CIN,Opp_Total Yards,267,337,328,378,325,399,214,440,228,351,344,349,344,396,285,386,364,325,357
CIN,Opp_Turnovers,0,1,4,2,1,0,0,2,3,0,0,1,1,4,1,4,2,1,1
CIN,Penalties-Yards,4-27,7-35,5-30,6-74,4-20,3-30,5-17,2-6,5-35,6-44,9-80,6-65,4-36,4-27,8-62,3-35,7-42,2-9,9-71
CIN,Rush-Yds-TDs,34-133-0,25-89-0,28-69-0,30-67-1,21-101-1,14-75-1,21-78-2,10-36-0,39-241-5,24-62-0,28-108-1,34-152-1,26-136-1,21-53-0,24-73-0,20-55-1,18-51-1,34-172-1,17-71-1
CIN,Sacked-Yards,7-39,6-34,2-14,1-6,3-27,3-27,3-22,5-39,2-5,2-9,1-4,1-7,2-12,2-16,2-6,2-13,4-26,1-2,5-32
CIN,Third Down Conv.,8-16,6-17,7-14,8-15,4-10,6-10,7-11,4-10,6-10,3-9,5-14,7-11,6-15,5-13,8-16,5-15,7-13,6-10,6-14
CIN,Time of Possession,43:42,33:48,32:24,31:35,30:01,27:46,33:05,23:15,39:21,31:36,31:46,32:06,28:08,29:25,36:48,31:19,27:34,33:54,27:09
CIN,Total Yards,432,254,330,371,291,348,537,229,464,408,374,431,363,237,442,257,234,412,309
CIN,Turnovers,5,0,1,0,1,1,0,2,0,2,0,0,1,1,3,1,1,0,2
