,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CIN,CIN Score,0,9,24,31,20,14,24,7,20,20,30,20,7,7,26,31
CIN,Cmp-Att-Yd-TD-INT,16-31-170-0-4,20-35-224-0-0,21-27-212-2-0,25-30-286-4-0,22-36-328-1-2,17-30-140-2-2,17-29-243-2-0,10-18-136-0-0,20-35-265-2-0,15-25-154-3-0,18-28-214-2-0,21-36-234-2-0,18-37-188-1-1,14-28-132-0-2,27-41-238-1-1,23-44-222-3-0
CIN,First Downs,14,12,21,25,18,11,17,8,15,12,23,19,14,8,28,22
CIN,Fourth Down Conv.,0-1,1-2,0-0,0-0,0-0,1-2,0-0,0-0,1-1,0-0,0-0,0-0,0-2,1-3,0-0,1-1
CIN,Fumbles-Lost,1-1,1-1,1-1,3-1,2-1,1-0,4-2,0-0,2-2,2-0,0-0,0-0,1-1,1-0,1-0,2-1
CIN,HomeTeam,True,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False
CIN,Net Pass Yards,144,213,191,264,323,108,218,119,255,141,209,223,164,115,222,213
CIN,Opp Score,20,13,27,7,16,29,23,23,24,17,16,23,33,34,17,27
CIN,Opp_Cmp-Att-Yd-TD-INT,9-17-121-1-1,15-24-125-0-0,28-42-313-3-1,21-42-183-0-1,20-37-166-1-1,15-25-268-2-0,25-39-233-2-1,24-38-259-1-0,25-44-264-1-1,23-42-254-1-1,18-32-268-0-0,24-40-290-2-1,25-32-271-1-0,20-25-236-2-1,19-35-203-1-1,25-47-203-2-1
CIN,Opp_First Downs,17,14,22,16,17,21,19,26,27,20,21,24,29,18,15,19
CIN,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-2,0-0,1-3,0-1,0-1,0-0,1-2,2-3,1-1,1-2,0-0,1-2,1-2
CIN,Opp_Fumbles-Lost,1-0,0-0,0-0,1-0,1-0,0-0,0-0,1-1,1-1,1-1,1-0,0-0,0-0,0-0,0-0,0-0
CIN,Opp_Net Pass Yards,111,98,280,170,139,268,216,259,236,229,236,282,250,222,189,194
CIN,Opp_Penalties-Yards,11-85,9-61,4-33,4-28,6-71,1-5,7-45,5-50,5-55,5-50,7-69,7-66,10-74,11-93,9-74,5-47
CIN,Opp_Rush-Yds-TDs,42-157-1,35-168-1,17-64-0,17-45-1,24-82-0,43-152-0,28-115-0,40-149-0,36-180-2,34-112-1,31-169-1,22-92-0,38-232-3,34-124-1,22-87-1,26-118-1
CIN,Opp_Sacked-Yards,1-10,3-27,6-33,2-13,6-27,0-0,4-17,0-0,4-28,3-25,4-32,1-8,2-21,2-14,2-14,1-9
CIN,Opp_Third Down Conv.,6-14,4-15,7-15,5-16,6-18,2-11,8-16,12-18,7-15,12-21,6-15,4-12,4-11,4-12,6-15,5-17
CIN,Opp_Time of Possession,34:00,32:15,29:21,24:58,29:59,35:15,33:13,40:14,40:09,35:11,29:28,29:49,38:09,35:52,27:31,31:21
CIN,Opp_Total Yards,268,266,344,215,221,420,331,408,416,341,405,374,482,346,276,312
CIN,Opp_Turnovers,1,0,1,1,1,0,1,1,2,2,0,1,0,1,1,1
CIN,Penalties-Yards,9-66,7-45,7-68,8-66,6-71,5-54,5-54,8-77,12-84,3-14,4-35,13-173,7-56,5-44,5-60,6-60
CIN,Rush-Yds-TDs,22-77-0,24-82-0,30-110-0,30-86-0,27-65-1,17-71-0,21-58-0,17-29-1,14-53-1,26-49-0,30-152-1,22-130-0,13-70-0,20-46-1,34-142-1,30-146-0
CIN,Sacked-Yards,5-26,3-11,3-21,3-22,1-5,4-32,3-25,2-17,1-10,2-13,1-5,2-11,3-24,3-17,3-16,1-9
CIN,Third Down Conv.,4-13,4-15,4-12,6-11,6-15,3-11,4-11,1-8,1-10,7-15,4-10,7-14,3-12,1-13,7-14,5-15
CIN,Time of Possession,26:00,27:45,34:17,35:02,30:01,24:45,26:47,19:46,19:51,24:49,30:32,30:11,21:51,24:08,32:29,28:39
CIN,Total Yards,221,295,301,350,388,179,276,148,308,190,361,353,234,161,364,359
CIN,Turnovers,5,1,1,1,3,2,2,0,2,0,0,0,2,2,1,1
