,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CIN,CIN Score,10,25,33,34,38,17,21,17,41,34,27,38,20,37,6,30,17
CIN,Cmp-Att-Yd-TD-INT,21-29-164-0-0,23-36-258-2-0,29-38-324-3-0,22-31-232-2-1,30-39-392-5-1,19-28-208-0-0,15-25-181-2-0,26-37-234-1-1,27-39-251-5-1,34-56-428-4-0,28-50-356-3-0,28-38-309-3-1,16-31-183-2-1,26-37-271-3-2,20-34-157-0-2,39-49-412-3-0,17-31-148-1-0
CIN,First Downs,13,18,30,24,23,13,12,18,26,27,24,25,17,24,18,34,16
CIN,Fourth Down Conv.,0-1,2-2,1-1,0-0,0-0,0-0,0-1,0-1,1-1,2-4,3-3,0-0,1-2,0-0,1-3,1-3,0-2
CIN,Fumbles-Lost,3-2,3-1,0-0,0-0,0-0,2-1,0-0,3-1,0-0,3-1,0-0,2-2,1-1,2-2,2-1,1-1,2-1
CIN,HomeTeam,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True
CIN,Net Pass Yards,154,246,312,232,371,183,164,222,243,421,342,282,166,269,125,384,119
CIN,Opp Score,16,26,38,24,41,7,14,37,24,35,34,44,27,27,24,24,19
CIN,Opp_Cmp-Att-Yd-TD-INT,15-24-121-0-0,18-25-151-2-2,21-23-254-2-0,25-41-220-2-1,26-42-348-4-0,22-41-205-0-1,31-52-277-1-2,16-20-236-1-0,21-33-198-1-0,25-33-290-4-0,17-36-297-2-0,29-38-414-3-1,33-44-369-3-1,29-38-298-2-4,23-30-252-3-0,24-31-219-3-1,37-46-277-1-1
CIN,Opp_First Downs,17,19,22,24,30,24,18,24,16,20,24,28,23,25,21,19,21
CIN,Opp_Fourth Down Conv.,0-0,2-2,3-3,1-3,1-1,3-5,1-2,1-1,0-1,0-0,1-1,0-0,0-1,0-0,0-0,1-1,0-1
CIN,Opp_Fumbles-Lost,1-0,1-1,1-0,0-0,2-1,0-0,1-0,0-0,2-2,0-0,1-1,1-0,1-0,2-2,1-1,2-0,3-1
CIN,Opp_Net Pass Yards,120,137,248,220,345,190,259,236,157,290,280,410,359,291,210,206,246
CIN,Opp_Penalties-Yards,5-40,4-44,3-28,6-37,5-21,2-9,10-80,4-40,6-51,11-81,5-50,9-103,10-77,12-110,5-35,7-35,6-25
CIN,Opp_Rush-Yds-TDs,39-170-1,32-149-0,32-108-3,29-155-1,34-175-1,31-119-1,21-77-1,39-161-3,21-60-1,25-99-1,25-155-2,26-110-1,19-74-0,26-83-2,22-116-0,27-123-0,21-68-0
CIN,Opp_Sacked-Yards,1-1,2-14,2-6,0-0,1-3,2-15,4-18,0-0,5-41,0-0,2-17,2-4,2-10,1-7,4-42,2-13,4-31
CIN,Opp_Third Down Conv.,6-15,1-8,5-9,7-14,10-15,5-15,8-19,6-11,5-13,7-12,3-11,4-9,4-10,5-8,4-11,4-12,5-13
CIN,Opp_Time of Possession,34:03,28:31,33:06,31:02,33:45,34:07,34:29,31:48,24:46,28:25,25:52,31:09,33:11,31:29,30:48,26:57,38:00
CIN,Opp_Total Yards,290,286,356,375,520,309,336,397,217,389,435,520,433,374,326,329,314
CIN,Opp_Turnovers,0,3,0,1,1,1,2,0,2,0,1,1,1,6,1,1,2
CIN,Penalties-Yards,2-10,8-79,5-16,5-39,4-24,6-67,3-37,1-3,7-60,3-23,8-56,11-101,4-36,14-113,5-41,3-15,3-20
CIN,Rush-Yds-TDs,16-70-1,22-74-0,20-124-1,31-141-2,23-71-0,20-121-2,25-59-0,20-58-1,31-130-0,16-49-1,25-110-0,15-93-1,25-156-0,26-101-1,24-148-1,28-115-1,23-74-1
CIN,Sacked-Yards,3-10,3-12,2-12,0-0,3-21,4-25,3-17,1-12,1-8,3-7,3-14,4-27,3-17,1-2,5-32,7-28,4-29
CIN,Third Down Conv.,4-11,4-13,6-10,7-13,8-14,4-11,2-13,10-13,8-15,8-16,5-17,4-8,4-12,10-13,3-12,7-13,4-12
CIN,Time of Possession,25:57,31:29,26:54,28:58,32:42,25:53,25:31,28:12,35:14,31:35,34:08,28:51,26:49,28:31,29:12,41:56,22:00
CIN,Total Yards,224,320,436,373,442,304,223,280,373,470,452,375,322,370,273,499,193
CIN,Turnovers,2,1,0,1,1,1,0,2,1,1,0,3,2,4,3,1,1
