,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
BUF,BUF Score,3,20,27,0,13,13,5,6,9,41,24,17,23,14,12,42
BUF,Cmp-Att-Yd-TD-INT,11-33-98-0-2,18-33-245-1-2,15-22-196-1-0,16-33-151-0-2,10-20-82-0-1,16-29-145-1-2,20-31-175-0-3,24-41-313-0-1,31-49-188-0-3,16-26-247-2-0,8-19-160-1-0,18-33-231-2-2,18-37-206-0-2,13-26-204-1-0,20-41-217-1-2,17-26-224-3-1
BUF,First Downs,10,17,16,11,18,12,15,16,22,23,18,24,24,20,14,23
BUF,Fourth Down Conv.,0-1,0-0,1-1,0-0,2-3,0-0,0-1,0-2,1-3,1-1,0-0,0-1,0-0,1-2,0-1,1-2
BUF,Fumbles-Lost,1-0,1-0,3-0,1-1,0-0,2-1,2-2,3-1,1-1,1-0,2-0,3-1,1-1,1-0,1-1,0-0
BUF,HomeTeam,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,True
BUF,Net Pass Yards,70,209,164,87,79,129,168,287,166,239,160,217,192,195,217,215
BUF,Opp Score,47,31,6,22,12,20,37,25,41,10,21,21,27,13,24,17
BUF,Opp_Cmp-Att-Yd-TD-INT,26-38-260-3-0,23-27-256-3-0,40-55-296-1-1,22-40-298-1-1,14-26-129-0-1,15-26-177-1-2,17-23-156-4-0,29-45-324-0-0,12-20-135-1-1,17-34-135-0-2,12-23-127-1-2,16-24-137-3-1,16-25-170-1-1,22-29-208-1-0,13-25-126-1-2,19-32-150-1-2
BUF,Opp_First Downs,26,21,21,22,15,15,22,22,11,12,25,15,15,14,20,17
BUF,Opp_Fourth Down Conv.,0-0,0-0,0-1,0-1,0-0,0-0,1-2,0-0,0-0,2-3,0-0,0-0,1-1,0-0,1-2,1-1
BUF,Opp_Fumbles-Lost,4-1,2-0,4-2,3-1,3-2,3-1,1-0,1-0,2-0,0-0,0-0,1-0,2-1,0-0,1-1,3-2
BUF,Opp_Net Pass Yards,252,240,278,282,121,142,156,311,126,116,107,115,170,208,117,126
BUF,Opp_Penalties-Yards,9-78,6-45,6-59,5-60,5-40,6-50,4-35,5-33,14-129,1-10,10-90,8-89,7-93,4-81,5-49,4-35
BUF,Opp_Rush-Yds-TDs,34-117-3,26-109-1,6-14-0,32-141-1,25-100-0,24-74-0,37-220-1,25-76-1,25-64-2,18-83-1,39-226-2,23-60-0,28-78-2,26-105-1,47-273-2,25-99-0
BUF,Opp_Sacked-Yards,2-8,2-16,4-18,2-16,2-8,7-35,0-0,2-13,1-9,3-19,3-20,3-22,0-0,0-0,1-9,4-24
BUF,Opp_Third Down Conv.,6-14,3-9,5-14,11-19,6-12,3-13,7-13,5-14,3-11,1-12,5-13,2-9,6-13,5-13,3-12,3-12
BUF,Opp_Time of Possession,35:14,33:02,24:15,34:37,26:11,27:00,33:19,31:50,25:57,20:38,32:42,27:03,26:13,28:54,35:38,29:42
BUF,Opp_Total Yards,369,349,292,423,221,216,376,387,190,199,333,175,248,313,390,225
BUF,Opp_Turnovers,1,0,3,2,3,3,0,0,1,2,2,1,2,0,3,4
BUF,Penalties-Yards,10-100,6-31,12-84,3-20,4-30,12-104,7-59,6-51,10-163,4-30,13-80,13-120,7-47,3-20,3-29,3-24
BUF,Rush-Yds-TDs,22-83-0,22-84-1,38-128-2,16-58-0,43-144-1,27-100-0,22-135-0,19-46-0,28-98-1,46-212-2,35-167-2,31-198-0,31-176-2,37-117-1,18-72-0,33-166-3
BUF,Sacked-Yards,6-28,5-36,3-32,7-64,1-3,2-16,2-7,3-26,4-22,1-8,0-0,2-14,3-14,1-9,0-0,1-9
BUF,Third Down Conv.,2-15,5-14,4-13,3-16,4-13,6-15,2-9,4-14,6-18,8-16,2-10,5-13,7-14,3-12,2-12,5-11
BUF,Time of Possession,24:46,26:58,35:45,25:23,33:49,33:00,26:41,28:10,34:03,39:22,27:18,32:57,33:47,31:06,24:22,30:18
BUF,Total Yards,153,293,292,145,223,229,303,333,264,451,327,415,368,312,289,381
BUF,Turnovers,2,2,0,3,1,3,5,2,4,0,0,3,3,0,3,1
