,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
BUF,BUF Score,17,28,21,10,14,31,13,24,19,37,3,15,24,10,17,13,22
BUF,Cmp-Att-Yd-TD-INT,24-37-254-1-2,19-30-253-1-0,23-36-243-1-1,22-44-280-0-4,23-32-219-2-1,16-26-202-2-0,16-34-169-2-0,14-20-160-1-0,26-38-238-2-0,21-33-256-3-0,10-25-82-0-1,32-49-355-2-1,16-25-145-3-1,23-38-202-1-4,13-26-208-2-0,23-36-199-1-1,20-25-247-1-0
BUF,First Downs,23,24,25,23,18,17,16,18,24,22,9,32,18,15,14,18,19
BUF,Fourth Down Conv.,0-1,0-0,0-0,1-2,1-2,0-0,0-2,1-2,1-2,1-1,0-0,1-3,0-0,0-1,1-2,0-0,0-1
BUF,Fumbles-Lost,2-2,0-0,3-1,2-0,0-0,0-0,3-1,2-0,1-0,2-0,0-0,3-1,0-0,4-1,0-0,1-0,2-1
BUF,HomeTeam,False,False,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True
BUF,Net Pass Yards,242,237,241,240,204,188,155,146,221,256,49,323,139,178,176,185,219
BUF,Opp Score,16,14,17,16,7,21,31,9,16,20,20,26,17,17,24,6,19
BUF,Opp_Cmp-Att-Yd-TD-INT,28-41-175-1-0,26-45-250-1-2,20-36-250-1-2,18-39-150-0-1,13-22-183-0-0,23-35-282-1-1,17-24-172-1-0,15-22-144-0-0,22-41-266-0-0,32-45-323-0-0,15-25-185-2-1,20-25-259-2-0,17-39-146-1-0,13-25-139-1-1,26-33-271-1-0,21-40-237-0-2,25-48-280-1-0
BUF,Opp_First Downs,17,21,17,11,14,24,21,12,20,19,22,22,16,17,23,17,24
BUF,Opp_Fourth Down Conv.,1-2,1-2,0-0,0-0,0-0,2-2,0-2,0-1,0-2,1-4,0-0,2-2,0-1,1-1,1-2,0-0,0-1
BUF,Opp_Fumbles-Lost,2-1,1-0,2-2,1-0,1-0,3-1,2-1,1-0,1-0,1-1,1-0,1-0,2-1,2-1,1-1,2-1,2-1
BUF,Opp_Net Pass Yards,155,241,240,150,150,272,153,116,260,280,180,232,105,131,271,236,253
BUF,Opp_Penalties-Yards,8-67,7-40,8-54,8-58,8-60,6-55,4-44,3-15,7-40,6-44,12-90,7-53,5-49,8-70,3-30,5-40,7-64
BUF,Opp_Rush-Yds-TDs,21-68-0,20-129-1,19-66-1,23-74-1,27-102-1,30-109-2,41-218-3,23-127-0,20-84-2,13-23-2,47-244-0,34-124-1,23-104-0,38-130-1,35-143-1,20-73-0,30-172-0
BUF,Opp_Sacked-Yards,4-20,1-9,2-10,0-0,5-33,1-10,3-19,4-28,1-6,7-43,1-5,4-27,6-41,1-8,0-0,1-1,3-27
BUF,Opp_Third Down Conv.,7-17,3-12,3-11,5-18,4-14,7-13,8-15,2-11,5-13,4-14,8-16,6-14,4-17,6-14,7-14,4-14,11-21
BUF,Opp_Time of Possession,32:01,27:22,23:06,27:20,28:48,33:31,35:57,28:13,28:14,29:51,35:04,33:18,27:11,32:20,38:52,28:39,35:15
BUF,Opp_Total Yards,223,370,306,224,252,381,371,243,344,303,424,356,209,261,414,309,425
BUF,Opp_Turnovers,1,2,4,1,0,2,1,0,0,1,1,0,1,2,1,3,1
BUF,Penalties-Yards,7-55,9-65,7-55,8-76,11-78,9-83,8-57,2-20,4-70,5-50,7-70,5-66,9-99,6-30,7-46,2-13,4-20
BUF,Rush-Yds-TDs,25-128-1,34-151-3,36-175-1,22-135-1,27-109-0,23-117-0,20-98-0,39-122-2,26-147-0,34-168-1,17-85-0,19-103-0,33-118-0,14-51-0,23-92-0,27-86-0,33-141-1
BUF,Sacked-Yards,1-12,3-16,1-2,5-40,4-15,2-14,4-14,2-14,2-17,0-0,4-33,4-32,1-6,4-24,4-32,2-14,7-28
BUF,Third Down Conv.,5-10,5-13,5-13,2-13,4-13,3-10,6-15,6-12,4-11,5-14,2-11,7-13,3-11,5-13,2-11,5-14,6-13
BUF,Time of Possession,27:59,32:38,36:54,32:40,31:12,26:29,24:03,31:47,31:46,30:09,24:56,26:42,32:49,27:40,21:08,31:21,36:25
BUF,Total Yards,370,388,416,375,313,305,253,268,368,424,134,426,257,229,268,271,360
BUF,Turnovers,4,0,2,4,1,0,1,0,0,0,1,2,1,5,0,1,1
