,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
BUF,BUF Score,31,41,19,23,38,24,27,17,30,31,28,24,20,32,35,35,34,10
BUF,Cmp-Att-Yd-TD-INT,26-31-297-3-2,26-40-317-4-0,42-63-400-2-0,19-36-213-1-1,22-36-432-4-1,27-40-329-3-0,13-25-218-2-2,18-34-205-0-2,29-43-330-1-2,18-27-197-1-0,24-42-253-2-1,22-33-223-2-0,16-27-147-1-0,25-40-304-4-0,15-26-172-2-2,19-31-254-3-1,23-39-352-3-2,25-42-264-0-1
BUF,First Downs,23,23,31,22,21,26,20,19,29,22,28,22,14,29,20,18,25,19
BUF,Fourth Down Conv.,0-0,2-3,2-3,1-1,0-0,1-3,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,1-2
BUF,Fumbles-Lost,2-2,0-0,4-1,2-1,1-1,1-1,1-0,2-0,2-2,0-0,1-0,1-1,0-0,2-1,3-1,2-2,4-1,0-0
BUF,HomeTeam,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,True,True
BUF,Net Pass Yards,292,313,382,201,432,318,216,183,311,186,237,223,130,296,172,237,316,261
BUF,Opp Score,10,7,21,20,3,20,17,20,33,23,25,10,12,29,13,23,31,27
BUF,Opp_Cmp-Att-Yd-TD-INT,29-41-240-1-3,12-24-123-0-2,13-20-186-1-0,20-29-144-1-2,34-52-327-0-1,25-40-338-2-2,19-30-203-2-1,18-25-154-1-0,30-50-357-1-2,28-41-324-3-0,23-37-240-2-0,22-36-195-1-0,28-47-269-0-0,17-30-234-2-0,18-28-144-1-1,26-40-243-3-3,18-45-220-1-2,23-36-242-2-0
BUF,Opp_First Downs,19,12,15,22,23,23,21,21,24,27,22,14,19,20,11,20,16,30
BUF,Opp_Fourth Down Conv.,2-3,1-1,0-0,1-2,0-3,1-1,0-2,2-2,3-5,1-2,3-3,1-1,0-1,1-1,1-4,2-2,1-2,0-0
BUF,Opp_Fumbles-Lost,1-0,3-2,0-0,0-0,1-1,1-0,0-0,2-1,2-0,1-1,4-2,2-0,3-2,1-0,2-1,1-0,0-0,0-0
BUF,Opp_Net Pass Yards,191,107,171,134,310,319,190,136,334,316,230,182,233,217,129,234,189,240
BUF,Opp_Penalties-Yards,4-30,9-87,4-20,9-70,6-54,5-58,8-58,3-30,7-64,6-42,3-32,6-62,7-61,8-51,2-15,2-20,7-34,2-9
BUF,Opp_Rush-Yds-TDs,18-52-0,27-80-1,17-41-2,33-162-1,17-54-0,18-68-0,31-208-0,34-174-1,25-147-2,26-80-0,28-96-1,14-60-0,22-76-1,25-188-1,29-80-0,23-107-0,20-42-1,34-172-1
BUF,Opp_Sacked-Yards,7-49,2-16,2-15,2-10,3-17,3-19,2-13,2-18,4-23,1-8,2-10,1-13,4-36,2-17,2-15,1-9,4-31,1-2
BUF,Opp_Third Down Conv.,6-13,4-12,3-8,6-13,5-15,4-11,6-12,5-13,7-17,4-11,6-15,3-12,8-17,5-14,2-12,4-13,4-16,6-10
BUF,Opp_Time of Possession,28:46,28:26,19:20,38:10,36:08,28:32,33:48,32:44,35:02,31:22,28:34,21:52,34:25,30:07,31:12,32:37,27:47,33:54
BUF,Opp_Total Yards,243,187,212,296,364,387,398,310,481,396,326,242,309,405,209,341,231,412
BUF,Opp_Turnovers,3,4,0,2,2,2,1,1,2,1,2,0,2,0,2,3,2,0
BUF,Penalties-Yards,5-35,8-49,7-52,4-31,5-28,7-35,4-35,3-30,7-64,8-89,5-36,6-47,5-35,7-51,9-72,2-20,2-13,8-60
BUF,Rush-Yds-TDs,25-121-1,24-101-0,23-115-0,25-125-1,18-120-1,31-125-0,27-153-1,22-134-2,27-175-2,33-171-1,29-164-1,37-132-1,24-102-1,29-150-0,31-254-3,25-90-0,26-107-1,19-64-1
BUF,Sacked-Yards,2-5,1-4,4-18,1-12,0-0,1-11,2-2,5-22,2-19,2-11,3-16,2-0,3-17,2-8,1-0,2-17,7-36,1-3
BUF,Third Down Conv.,9-10,5-13,11-18,4-11,5-9,4-11,2-7,8-13,7-13,3-11,7-12,9-15,2-13,8-14,6-11,7-12,9-16,5-12
BUF,Time of Possession,31:14,31:34,40:40,21:50,23:52,31:28,26:12,27:16,33:46,28:38,31:26,38:08,25:35,29:53,28:48,27:23,32:13,26:06
BUF,Total Yards,413,414,497,326,552,443,369,317,486,357,401,355,232,446,426,327,423,325
BUF,Turnovers,4,0,1,2,2,1,2,2,4,0,1,1,0,1,3,3,3,1
