,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
BUF,BUF Score,21,3,26,23,16,30,34,21,10,24,16,3,13,24,16,22,3
BUF,Cmp-Att-Yd-TD-INT,16-28-224-2-1,17-25-125-0-0,20-26-213-2-0,12-20-182-1-0,20-37-166-1-1,20-33-268-1-0,20-27-165-1-0,29-40-285-2-0,16-28-135-1-1,21-39-224-1-5,19-29-183-1-0,15-34-115-0-1,7-16-92-1-1,17-29-224-1-0,21-38-281-0-0,19-27-204-1-0,18-40-148-0-2
BUF,First Downs,23,10,16,15,17,23,17,21,10,18,17,16,14,21,17,23,20
BUF,Fourth Down Conv.,0-0,0-2,0-0,0-0,0-0,0-0,1-1,0-1,0-1,1-2,0-0,0-3,0-2,0-1,0-2,0-0,1-1
BUF,Fumbles-Lost,0-0,2-0,0-0,1-0,1-0,1-1,0-0,4-3,1-0,2-1,1-0,0-0,2-1,1-0,1-0,0-0,1-0
BUF,HomeTeam,True,False,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False
BUF,Net Pass Yards,218,107,197,164,139,261,165,244,129,220,164,85,92,212,242,186,133
BUF,Opp Score,12,9,16,17,20,27,14,34,47,54,10,23,7,16,37,16,10
BUF,Opp_Cmp-Att-Yd-TD-INT,26-39-187-0-2,20-32-228-0-0,24-40-259-0-2,24-42-242-1-2,22-36-328-1-2,32-44-384-3-1,31-49-313-1-2,14-20-140-1-0,18-25-184-0-0,25-37-284-2-0,23-36-199-1-1,21-30-258-0-1,11-22-69-1-0,28-49-274-0-3,21-28-224-2-1,30-44-271-1-1,12-23-87-1-0
BUF,Opp_First Downs,11,19,21,25,18,27,23,21,32,28,14,23,16,21,28,21,15
BUF,Opp_Fourth Down Conv.,1-1,0-0,0-2,1-2,0-0,0-0,1-2,0-0,2-2,0-0,0-1,0-0,3-4,1-2,1-1,1-3,1-1
BUF,Opp_Fumbles-Lost,2-0,0-0,1-0,3-1,2-1,6-2,4-2,0-0,1-1,1-0,0-0,0-0,0-0,4-0,0-0,1-0,3-0
BUF,Opp_Net Pass Yards,176,178,255,242,323,378,313,137,184,283,181,244,64,249,218,263,75
BUF,Opp_Penalties-Yards,5-62,6-40,10-79,4-45,6-71,5-55,6-50,10-66,4-41,1-13,6-50,9-66,2-20,7-60,2-10,14-145,5-34
BUF,Opp_Rush-Yds-TDs,15-38-1,28-77-0,23-111-1,29-147-1,27-65-1,25-69-0,14-54-1,41-194-3,48-298-6,35-146-2,19-55-0,35-191-2,46-163-0,21-100-1,38-193-2,22-93-1,34-155-0
BUF,Opp_Sacked-Yards,1-11,6-50,3-4,1-0,1-5,1-6,0-0,1-3,0-0,1-1,2-18,3-14,1-5,3-25,2-6,1-8,2-12
BUF,Opp_Third Down Conv.,4-14,7-16,6-14,5-13,6-15,6-11,3-10,6-14,6-12,7-14,2-13,5-12,4-16,5-16,5-11,5-13,2-12
BUF,Opp_Time of Possession,26:56,38:53,29:34,31:15,30:01,33:10,24:23,33:30,41:23,36:05,26:42,34:01,36:02,32:25,31:44,28:56,27:23
BUF,Opp_Total Yards,214,255,366,389,388,447,367,331,482,429,236,435,227,349,411,356,230
BUF,Opp_Turnovers,2,0,2,3,3,3,4,0,1,0,1,1,0,3,1,1,0
BUF,Penalties-Yards,6-50,5-44,8-69,9-55,6-71,4-35,11-95,11-99,8-56,6-48,6-50,3-34,2-10,3-28,4-83,6-45,5-52
BUF,Rush-Yds-TDs,42-190-1,23-69-0,33-75-0,36-117-0,24-82-0,33-173-2,37-166-2,22-63-1,15-69-0,22-173-2,37-104-0,26-183-0,51-227-1,30-116-2,24-84-0,32-126-1,32-130-0
BUF,Sacked-Yards,2-6,3-18,4-16,3-18,6-27,1-7,0-0,7-41,2-6,1-4,2-19,4-30,0-0,2-12,6-39,4-18,2-15
BUF,Third Down Conv.,8-17,4-13,6-16,6-13,6-18,10-16,6-15,6-16,2-11,6-14,6-17,5-13,10-18,7-15,8-17,5-12,7-18
BUF,Time of Possession,33:04,21:07,30:26,28:45,29:59,26:50,35:37,26:30,18:37,23:55,33:18,25:59,32:25,27:35,28:16,31:04,32:37
BUF,Total Yards,408,176,272,281,221,434,331,307,198,393,268,268,319,328,326,312,263
BUF,Turnovers,1,0,0,0,1,1,0,3,1,6,0,1,2,0,0,0,2
