,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
BUF,BUF Score,34,31,47,10,20,23,34,31,30,30,30,35,42,48,24,40,16,31,27,29
BUF,Cmp-Att-Yd-TD-INT,18-23-232-2-0,13-19-139-1-0,24-31-266-4-0,17-31-182-0-0,9-30-131-1-0,19-25-215-2-0,21-33-323-2-0,24-34-283-2-1,25-39-235-3-1,22-37-280-0-2,27-40-262-1-1,14-18-152-2-0,22-37-342-3-0,23-34-362-2-0,16-29-154-1-1,17-28-251-3-0,18-32-129-1-0,20-26-272-2-0,16-22-127-0-0,22-34-237-2-0
BUF,First Downs,23,13,25,12,16,24,18,29,24,21,24,20,25,28,19,23,16,26,20,22
BUF,Fourth Down Conv.,2-2,1-1,2-2,1-1,1-1,0-0,0-0,1-1,1-1,2-3,1-2,1-1,0-0,1-1,1-1,0-1,1-4,2-2,1-1,4-6
BUF,Fumbles-Lost,1-1,1-0,0-0,2-1,0-0,1-0,1-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,4-0
BUF,HomeTeam,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False
BUF,Net Pass Yards,222,139,266,155,126,210,315,281,231,280,262,152,342,362,152,251,129,261,126,227
BUF,Opp Score,28,10,10,35,23,20,10,10,27,20,21,10,44,42,21,14,23,7,25,32
BUF,Opp_Cmp-Att-Yd-TD-INT,21-31-162-1-0,25-39-225-1-3,26-46-200-1-1,14-19-157-2-0,28-38-331-1-1,23-35-294-2-1,25-40-215-1-1,21-29-212-0-1,25-28-231-2-0,26-35-272-2-3,23-33-196-3-2,11-18-94-0-0,23-30-320-2-0,38-59-494-5-0,22-36-261-2-1,23-32-195-2-2,22-30-241-1-0,14-23-159-1-0,18-25-254-2-1,18-26-245-1-0
BUF,Opp_First Downs,18,20,19,22,18,20,18,17,26,19,19,15,28,30,28,20,19,13,23,28
BUF,Opp_Fourth Down Conv.,0-1,1-5,4-8,0-0,0-1,0-0,1-2,0-1,1-1,2-3,0-1,1-1,1-1,3-3,2-2,0-1,1-1,1-3,1-1,1-1
BUF,Opp_Fumbles-Lost,1-1,0-0,1-1,2-1,1-1,1-0,4-1,3-1,1-1,2-1,0-0,3-3,0-0,2-1,4-2,2-1,1-1,0-0,3-2,1-1
BUF,Opp_Net Pass Yards,146,212,147,156,331,272,200,201,224,240,181,86,320,473,253,169,232,145,240,233
BUF,Opp_Penalties-Yards,5-31,7-50,7-45,8-79,7-65,11-110,8-52,11-82,8-57,5-25,6-57,2-10,9-99,5-41,5-34,16-120,7-59,3-27,5-43,5-21
BUF,Opp_Rush-Yds-TDs,25-124-1,34-139-0,17-92-0,34-271-2,28-94-1,21-121-0,24-89-0,17-32-1,31-149-1,22-121-0,17-78-0,27-153-1,42-137-3,15-48-1,30-126-1,21-112-0,30-77-1,17-79-0,30-176-1,35-135-3
BUF,Opp_Sacked-Yards,4-16,2-13,5-53,1-1,1-0,3-22,3-15,1-11,1-7,4-32,2-15,2-8,0-0,3-21,2-8,4-26,1-9,2-14,2-14,2-12
BUF,Opp_Third Down Conv.,7-13,7-15,2-13,5-9,8-16,4-12,6-16,1-7,4-8,4-11,5-10,3-10,11-15,6-13,7-12,4-9,4-12,2-9,7-10,5-9
BUF,Opp_Time of Possession,29:30,36:19,28:20,31:03,33:10,30:26,32:46,21:57,31:53,27:52,25:57,26:33,38:30,27:18,30:57,28:43,31:14,18:17,28:16,29:28
BUF,Opp_Total Yards,270,351,239,427,425,393,289,233,373,361,259,239,457,521,379,281,309,224,416,368
BUF,Opp_Turnovers,1,3,2,1,2,1,2,2,1,4,2,3,0,1,3,3,1,0,3,1
BUF,Penalties-Yards,9-65,1-5,6-47,4-38,4-25,11-94,5-40,13-85,4-40,8-54,3-24,5-35,7-59,6-49,13-78,7-60,6-35,7-45,1-10,6-48
BUF,Rush-Yds-TDs,33-130-2,26-108-2,29-122-2,23-81-1,28-150-1,33-149-1,20-74-2,34-164-2,19-94-0,31-135-2,31-104-3,38-220-3,17-103-3,34-197-4,28-172-1,34-97-2,33-130-1,44-210-1,36-147-3,32-147-2
BUF,Sacked-Yards,2-10,0-0,0-0,3-27,1-5,2-5,1-8,1-2,1-4,2-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,2-11,1-1,2-10
BUF,Third Down Conv.,3-9,3-9,6-11,3-13,3-14,5-11,3-10,8-15,5-10,7-14,9-15,6-12,5-9,5-10,4-11,8-14,6-15,8-15,5-11,5-14
BUF,Time of Possession,30:30,23:41,31:40,28:57,26:50,29:34,27:14,38:03,28:07,32:08,34:03,33:27,21:30,32:42,29:03,31:17,28:46,41:43,31:44,30:32
BUF,Total Yards,352,247,388,236,276,359,389,445,325,415,366,372,445,559,324,348,259,471,273,374
BUF,Turnovers,1,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0
