,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
DEN,Cmp-Att-Yd-TD-INT,17-28-219-2-1,22-32-231-4-1,24-40-259-0-2,16-26-179-1-0,31-54-394-1-2,25-35-207-0-1,19-36-198-1-3,19-38-208-1-2,18-33-221-1-1,23-42-254-1-1,20-35-190-2-1,19-41-200-0-3,19-31-200-1-0,17-26-261-2-1,22-38-193-0-1,21-31-254-2-2
DEN,DEN Score,24,42,16,16,10,0,19,23,16,17,14,9,23,25,11,24
DEN,First Downs,22,26,21,16,20,12,23,14,17,20,12,14,17,23,18,22
DEN,Fourth Down Conv.,0-0,0-0,0-2,0-0,0-2,0-2,0-1,1-1,0-0,1-2,1-1,0-1,1-1,1-3,1-2,1-2
DEN,Fumbles-Lost,1-1,2-1,1-0,2-0,3-1,3-2,2-2,1-0,1-1,1-1,1-0,2-0,0-0,2-0,3-2,1-1
DEN,HomeTeam,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,True
DEN,Net Pass Yards,181,202,255,155,366,182,187,191,221,229,160,167,189,251,171,226
DEN,Opp Score,21,17,26,10,23,21,29,51,41,20,21,35,0,13,27,27
DEN,Opp_Cmp-Att-Yd-TD-INT,22-33-192-3-1,30-50-238-2-2,20-26-213-2-0,21-35-249-1-1,11-19-128-1-0,15-26-183-2-0,14-32-202-1-1,16-28-234-4-0,28-37-303-3-0,15-25-154-3-0,18-24-253-2-0,18-32-235-2-2,8-21-60-0-1,17-30-158-0-0,19-37-299-3-1,22-36-284-0-1
DEN,Opp_First Downs,17,16,16,11,12,14,16,25,28,12,21,15,6,15,19,23
DEN,Opp_Fourth Down Conv.,1-2,2-5,0-0,0-3,0-0,0-1,0-0,2-4,1-3,0-0,0-0,0-0,0-1,0-1,0-0,1-1
DEN,Opp_Fumbles-Lost,0-0,0-0,0-0,0-0,1-0,0-0,1-1,1-1,0-0,2-0,1-1,1-1,1-1,1-0,2-1,2-1
DEN,Opp_Net Pass Yards,185,228,197,230,118,162,197,222,297,141,244,222,41,158,299,269
DEN,Opp_Penalties-Yards,4-40,8-69,8-69,7-75,5-77,9-81,7-69,5-35,1-5,3-14,7-68,7-85,4-20,4-39,6-35,4-40
DEN,Opp_Rush-Yds-TDs,22-64-0,14-40-0,33-75-0,15-24-0,32-148-0,26-80-0,26-79-0,37-197-3,29-99-1,26-49-0,37-104-1,30-145-1,23-59-0,22-70-1,29-87-0,27-110-2
DEN,Opp_Sacked-Yards,1-7,2-10,4-16,3-19,3-10,3-21,1-5,2-12,1-6,2-13,2-9,2-13,4-19,1-0,0-0,2-15
DEN,Opp_Third Down Conv.,3-12,3-14,6-16,2-12,4-14,3-12,2-12,5-13,4-11,7-15,5-13,4-15,3-13,6-13,5-13,4-11
DEN,Opp_Time of Possession,25:47,26:10,30:26,27:03,30:36,28:56,28:37,29:54,29:43,24:49,35:54,34:22,22:25,23:09,29:33,29:03
DEN,Opp_Total Yards,249,268,272,254,266,242,276,419,396,190,348,367,100,228,386,379
DEN,Opp_Turnovers,1,2,0,1,0,0,2,1,0,0,1,3,2,0,2,2
DEN,Penalties-Yards,3-62,8-61,10-79,6-40,5-46,10-68,7-53,14-105,5-28,5-50,9-75,9-57,3-21,12-80,3-30,4-30
DEN,Rush-Yds-TDs,36-140-1,39-178-1,23-111-1,32-143-0,17-46-0,19-69-0,31-177-1,19-35-0,28-118-0,34-112-1,17-56-0,23-103-0,35-84-1,46-211-1,29-159-1,29-110-0
DEN,Sacked-Yards,4-38,2-29,3-4,4-24,4-28,5-25,3-11,3-17,0-0,3-25,5-30,3-33,2-11,2-10,4-22,5-28
DEN,Third Down Conv.,8-15,9-15,6-14,5-16,5-17,3-14,5-13,3-13,8-15,12-21,5-14,1-13,7-17,7-15,5-17,5-12
DEN,Time of Possession,34:13,33:50,29:34,32:57,29:24,31:04,31:23,30:06,30:17,35:11,24:06,25:38,37:35,36:51,30:27,30:57
DEN,Total Yards,321,380,366,298,412,251,364,226,339,341,216,270,273,462,330,336
DEN,Turnovers,2,2,2,0,3,3,5,2,2,2,1,3,0,1,3,3
