,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
den,Cmp-Att-Yd-TD-INT,26-42-138-0-2,13-20-117-1-0,25-36-216-0-0,12-25-60-1-0,22-37-231-1-3,21-34-237-1-0,16-26-164-0-0,24-38-224-2-2,20-34-225-1-1,22-30-215-2-0,20-31-197-0-1,25-42-273-2-0,34-58-497-4-3,17-38-172-0-2,29-40-263-2-0,24-31-219-3-1,10-17-98-0-0,14-23-159-1-0
den,First Downs,13,16,18,12,20,22,22,16,20,16,13,19,28,18,22,19,5,13
den,Fourth Down Conv.,1-1,0-0,2-3,0-0,0-1,0-0,0-0,1-4,1-5,0-0,2-2,0-0,2-2,2-4,2-2,1-1,1-2,1-3
den,Fumbles-Lost,2-1,1-0,1-1,1-1,0-0,1-0,1-1,0-0,0-0,1-0,1-0,0-0,0-0,3-3,1-0,2-0,2-0,0-0
den,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
den,Net Pass Yards,132,110,216,60,215,222,164,215,197,182,176,262,475,161,245,206,71,145
den,Opp Score,26,6,7,9,34,16,10,28,41,16,38,19,41,31,34,30,38,31
den,Opp_Cmp-Att-Yd-TD-INT,18-25-171-1-1,20-35-246-0-2,25-33-163-1-1,24-42-225-0-0,19-27-206-2-0,19-33-216-2-1,28-39-210-1-0,30-39-315-3-0,16-19-280-3-0,28-42-266-1-0,28-33-307-4-0,31-53-328-1-1,18-35-294-1-2,20-33-130-3-3,23-31-284-2-1,39-49-412-3-0,26-29-321-4-0,20-26-272-2-0
den,Opp_First Downs,19,13,17,16,18,17,15,23,25,19,22,21,19,13,23,34,29,26
den,Opp_Fourth Down Conv.,0-0,1-2,0-2,0-1,1-1,2-2,3-4,1-2,0-0,2-2,1-1,2-2,0-0,0-0,0-1,1-3,2-2,2-2
den,Opp_Fumbles-Lost,1-1,0-0,1-1,1-1,1-0,1-1,2-2,2-2,2-0,0-0,1-0,2-1,0-0,0-0,1-0,1-1,0-0,0-0
den,Opp_Net Pass Yards,158,231,132,184,180,206,174,298,269,243,295,300,294,121,263,384,321,261
den,Opp_Penalties-Yards,6-41,9-124,5-19,13-90,9-44,7-37,5-35,4-43,6-53,3-10,4-45,4-44,4-57,6-58,2-8,3-15,5-41,7-45
den,Opp_Rush-Yds-TDs,33-146-2,19-64-0,16-91-0,23-64-0,28-109-1,18-110-0,21-97-0,32-102-1,34-127-2,19-57-0,26-105-1,16-69-0,26-106-2,27-72-0,28-117-2,28-115-1,43-158-1,44-210-1
den,Opp_Sacked-Yards,2-13,2-15,7-31,5-41,3-26,2-10,6-36,2-17,1-11,4-23,1-12,5-28,0-0,1-9,2-21,7-28,0-0,2-11
den,Opp_Third Down Conv.,4-12,2-12,3-11,4-17,3-12,3-11,5-17,11-17,3-8,7-16,6-11,4-14,6-13,6-17,6-12,7-13,10-14,8-15
den,Opp_Time of Possession,28:46,27:41,27:52,31:44,28:37,22:37,26:44,33:10,31:51,33:21,30:05,28:49,27:50,28:28,27:37,41:56,41:49,41:43
den,Opp_Total Yards,304,295,223,248,289,316,271,400,396,300,400,369,400,193,380,499,479,471
den,Opp_Turnovers,2,2,2,1,0,2,2,2,0,0,0,2,2,3,1,1,0,0
den,Penalties-Yards,8-60,10-78,5-51,5-74,11-79,3-20,7-47,8-49,9-71,6-35,6-52,6-58,5-46,8-69,7-61,7-35,3-15,3-27
den,Rush-Yds-TDs,25-99-1,36-141-0,28-136-2,31-126-0,25-115-1,38-128-1,35-225-2,20-69-0,30-122-0,23-78-0,21-50-0,22-63-0,23-77-0,32-149-1,21-110-1,27-123-0,11-27-0,17-79-0
den,Sacked-Yards,2-6,2-7,0-0,0-0,3-16,3-15,0-0,2-9,4-28,2-33,4-21,1-11,3-22,2-11,2-18,2-13,5-27,2-14
den,Third Down Conv.,5-18,4-13,4-13,3-14,7-15,11-18,4-11,5-14,6-14,7-13,4-13,6-15,9-19,4-15,5-13,4-12,1-9,2-9
den,Time of Possession,31:14,32:19,32:08,28:16,31:23,37:23,33:16,26:50,28:09,26:39,29:55,31:11,32:10,31:32,32:23,26:57,18:11,18:17
den,Total Yards,231,251,352,186,330,350,389,284,319,260,226,325,552,310,355,329,98,224
den,Turnovers,3,0,1,1,3,0,1,2,1,0,1,0,3,5,0,1,0,0
den,den Score,20,13,26,10,18,23,33,14,10,14,6,29,32,13,27,24,0,7
