,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CLE,CLE Score,21,18,21,42,12,14,23,18,21,28,35,13,26,17,26,24
CLE,Cmp-Att-Yd-TD-INT,15-40-197-1-1,22-30-246-1-1,21-37-220-0-0,21-41-295-2-2,25-43-342-1-1,22-46-238-1-2,23-34-215-2-0,22-36-180-2-1,30-43-308-2-1,17-21-216-3-1,19-26-258-4-0,29-43-397-1-3,18-23-238-1-0,18-31-188-2-1,28-38-347-3-0,23-42-376-3-3
CLE,First Downs,22,16,20,21,20,18,17,17,26,19,24,20,12,21,23,18
CLE,Fourth Down Conv.,0-1,1-2,0-0,1-1,0-1,1-3,0-2,1-1,2-3,0-0,1-1,0-2,0-0,1-2,1-1,0-1
CLE,Fumbles-Lost,1-0,3-0,2-0,3-2,1-0,1-0,2-1,0-0,0-0,1-0,0-0,1-1,3-2,1-1,0-0,0-0
CLE,HomeTeam,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False
CLE,Net Pass Yards,150,234,190,279,304,214,186,163,286,216,258,397,232,175,347,376
CLE,Opp Score,21,21,17,45,9,38,26,33,37,16,20,29,20,16,18,26
CLE,Opp_Cmp-Att-Yd-TD-INT,23-41-335-1-3,28-35-243-2-0,15-31-169-0-2,35-58-437-4-2,29-57-298-0-1,12-21-215-2-1,32-52-365-0-2,24-36-257-2-1,23-32-375-3-1,38-52-330-2-0,27-46-255-2-1,22-31-224-1-0,27-43-298-0-1,31-48-257-0-2,13-19-133-2-0,14-24-179-0-0
CLE,Opp_First Downs,25,18,14,27,25,24,34,25,27,25,25,25,22,22,15,24
CLE,Opp_Fourth Down Conv.,0-0,0-0,1-1,0-1,1-1,0-0,1-1,1-1,0-0,2-4,2-4,0-0,2-3,1-2,1-1,1-1
CLE,Opp_Fumbles-Lost,3-3,2-2,2-1,0-0,2-1,2-0,3-2,3-1,0-0,4-2,1-1,2-0,0-0,0-0,1-0,2-1
CLE,Opp_Net Pass Yards,313,213,161,426,294,203,342,253,360,311,243,197,297,238,107,167
CLE,Opp_Penalties-Yards,12-116,4-53,6-55,6-65,4-41,10-72,8-65,8-60,11-86,1-5,13-96,5-77,10-68,8-51,3-15,10-65
CLE,Opp_Rush-Yds-TDs,35-159-2,23-62-0,30-107-2,29-139-0,25-116-0,36-246-3,32-114-3,31-168-2,24-139-2,19-71-0,20-129-1,39-187-0,25-96-2,20-32-1,24-102-0,47-296-2
CLE,Opp_Sacked-Yards,4-22,3-30,2-8,3-11,2-4,1-12,4-23,1-4,2-15,2-19,1-12,4-27,1-1,2-19,3-26,2-12
CLE,Opp_Third Down Conv.,7-15,3-12,6-15,5-16,4-16,1-9,6-13,6-13,6-10,5-14,4-12,8-16,5-14,5-14,1-8,3-13
CLE,Opp_Time of Possession,35:12,32:41,29:08,36:51,33:42,31:37,37:43,32:12,29:09,31:23,27:56,37:35,33:50,32:42,24:29,38:30
CLE,Opp_Total Yards,472,275,268,565,410,449,456,421,499,382,372,384,393,270,209,463
CLE,Opp_Turnovers,6,2,3,2,2,1,4,2,1,2,2,0,1,2,0,1
CLE,Penalties-Yards,11-87,4-43,5-41,8-55,10-66,6-53,14-114,7-52,4-20,7-38,7-61,6-45,7-52,6-75,6-57,4-35
CLE,Rush-Yds-TDs,38-177-2,27-93-1,33-133-2,31-208-3,28-112-0,21-103-0,23-119-1,21-74-0,25-102-1,29-211-1,35-84-1,9-31-1,21-116-2,28-134-0,28-146-0,14-50-0
CLE,Sacked-Yards,7-47,3-12,4-30,2-16,5-38,5-24,5-29,2-17,2-22,0-0,0-0,0-0,1-6,2-13,0-0,0-0
CLE,Third Down Conv.,5-18,4-12,7-18,5-15,6-19,6-16,3-14,3-13,5-13,4-8,5-10,2-8,4-9,5-12,5-12,4-11
CLE,Time of Possession,34:48,27:19,30:52,31:23,36:16,28:23,30:27,27:48,30:51,28:37,32:04,22:25,26:10,27:18,35:31,21:30
CLE,Total Yards,327,327,323,487,416,317,305,237,388,427,342,428,348,309,493,426
CLE,Turnovers,1,1,0,4,1,2,1,1,1,1,0,4,2,2,0,3
