,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CLE,CLE Score,29,31,26,14,42,14,17,10,41,7,13,10,24,14,22,14,21
CLE,Cmp-Att-Yd-TD-INT,21-28-321-0-1,19-21-213-1-1,19-31-246-1-0,15-33-155-0-0,23-32-305-2-0,20-31-240-2-1,21-33-199-1-0,20-31-225-0-0,14-21-218-2-0,19-33-154-1-1,15-29-176-1-2,18-37-247-1-0,22-32-190-2-1,20-30-147-1-0,21-36-222-2-4,16-38-185-2-2,17-24-176-2-1
CLE,First Downs,24,22,26,20,25,16,23,19,14,17,22,14,20,13,28,15,24
CLE,Fourth Down Conv.,3-4,0-0,1-3,0-1,1-3,1-4,1-1,0-2,0-0,2-4,0-0,0-1,0-0,1-1,1-1,1-3,0-1
CLE,Fumbles-Lost,2-1,3-1,0-0,0-0,1-0,2-2,0-0,1-1,2-0,2-0,1-0,2-2,2-0,0-0,0-0,0-0,2-1
CLE,HomeTeam,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True
CLE,Net Pass Yards,304,199,203,143,301,217,194,210,208,118,165,222,190,147,189,139,171
CLE,Opp Score,33,21,6,7,47,37,14,15,16,45,10,16,22,16,24,26,16
CLE,Opp_Cmp-Att-Yd-TD-INT,27-36-337-3-0,18-29-227-2-1,6-20-68-0-0,20-38-203-1-1,26-43-398-4-0,20-30-229-4-0,23-33-187-2-1,22-35-266-1-0,29-42-288-0-2,22-26-283-4-0,15-23-77-0-2,20-32-165-1-4,31-42-287-1-0,25-38-236-1-1,24-34-202-3-0,24-46-123-1-1,15-29-136-1-0
CLE,Opp_First Downs,21,17,6,16,27,24,15,21,25,30,12,22,21,20,19,20,11
CLE,Opp_Fourth Down Conv.,0-0,0-0,0-1,1-3,3-3,1-1,1-1,2-4,0-2,0-0,0-0,1-1,3-4,1-1,1-1,1-2,1-1
CLE,Opp_Fumbles-Lost,0-0,2-1,1-0,0-0,2-1,4-0,0-0,1-0,4-1,0-0,0-0,0-0,2-2,5-1,0-0,2-0,1-0
CLE,Opp_Net Pass Yards,324,220,1,190,381,208,182,255,263,268,77,155,271,230,202,109,103
CLE,Opp_Penalties-Yards,5-36,9-78,5-49,7-42,6-49,5-45,2-15,8-65,4-31,6-46,7-67,5-54,10-129,7-64,3-29,5-51,4-32
CLE,Opp_Rush-Yds-TDs,23-73-1,28-82-1,13-46-0,23-65-0,23-112-3,37-144-0,14-41-0,32-115-1,23-85-2,34-184-2,23-168-1,43-148-0,23-118-1,25-98-0,24-109-0,31-190-1,18-79-0
CLE,Opp_Sacked-Yards,2-13,1-7,9-67,2-13,2-17,2-21,2-5,2-11,5-25,2-15,0-0,2-10,4-16,2-6,0-0,2-14,4-33
CLE,Opp_Third Down Conv.,9-13,8-14,1-11,5-16,6-13,8-15,5-11,4-13,3-11,7-9,3-11,7-15,1-12,6-13,3-10,5-18,5-14
CLE,Opp_Time of Possession,32:47,24:55,20:26,24:28,23:32,34:39,23:09,31:45,35:22,34:02,25:04,37:04,26:10,33:24,28:19,34:55,29:04
CLE,Opp_Total Yards,397,302,47,255,493,352,223,370,348,452,245,303,389,328,311,299,182
CLE,Opp_Turnovers,0,2,0,1,1,0,1,0,3,0,2,4,2,2,0,1,0
CLE,Penalties-Yards,5-30,5-62,7-98,7-73,7-77,9-88,9-60,5-30,10-84,6-42,10-82,5-45,4-42,3-61,6-38,10-77,4-46
CLE,Rush-Yds-TDs,26-153-4,34-156-3,42-215-1,38-184-1,35-230-3,19-73-0,33-182-1,23-96-1,23-153-2,20-99-0,36-184-1,17-40-0,29-100-0,24-89-1,25-219-1,20-93-0,41-205-1
CLE,Sacked-Yards,2-17,2-14,5-43,3-12,1-4,5-23,1-5,4-15,2-10,5-36,1-11,3-25,0-0,0-0,5-33,9-46,1-5
CLE,Third Down Conv.,2-7,4-9,8-17,7-18,4-12,3-10,9-15,3-10,3-9,1-11,5-13,4-13,6-13,6-14,7-12,5-17,6-12
CLE,Time of Possession,27:13,35:05,39:34,35:32,36:28,25:21,36:51,28:15,24:38,25:58,34:56,22:56,33:50,26:36,31:41,25:05,30:56
CLE,Total Yards,457,355,418,327,531,290,376,306,361,217,349,262,290,236,408,232,376
CLE,Turnovers,2,2,0,0,0,3,0,1,0,1,2,2,1,0,4,2,2
