,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
CLE,CLE Score,24,22,27,3,19,39,20,27,33,13,12,19,31,20,36,37,14,14
CLE,Cmp-Att-Yd-TD-INT,16-29-154-1-1,22-40-235-1-1,27-33-289-2-0,19-36-121-0-3,18-34-192-0-2,16-37-183-0-2,16-32-257-1-2,19-30-219-2-0,20-35-213-1-1,24-43-165-0-1,20-42-190-1-0,23-44-254-2-1,26-45-311-3-1,29-45-379-2-3,28-44-374-3-2,19-29-309-3-1,13-26-166-2-2,34-46-307-1-2
CLE,First Downs,21,20,23,13,18,18,23,17,24,20,19,20,16,14,26,20,13,18
CLE,Fourth Down Conv.,0-0,0-2,1-1,1-1,1-1,1-2,0-1,1-2,1-2,1-1,2-5,0-2,3-3,1-1,4-6,0-1,1-1,0-4
CLE,Fumbles-Lost,2-1,4-3,3-1,1-0,1-0,1-0,1-1,0-0,2-1,0-0,5-3,0-0,2-2,1-0,0-0,4-2,0-0,0-0
CLE,HomeTeam,True,False,True,True,True,False,False,True,False,True,False,False,True,True,False,True,False,False
CLE,Net Pass Yards,144,210,263,73,174,166,230,213,195,163,162,240,307,348,364,301,140,268
CLE,Opp Score,3,26,3,28,17,38,24,0,31,10,29,36,27,17,22,20,31,45
CLE,Opp_Cmp-Att-Yd-TD-INT,14-32-82-0-0,15-30-222-1-1,13-25-104-0-0,15-19-186-2-0,12-27-125-1-1,15-23-305-2-1,23-37-254-2-2,11-20-58-0-2,13-23-223-1-2,15-28-106-0-0,13-22-134-1-0,22-37-279-3-0,28-50-257-3-3,19-40-166-1-2,26-49-211-2-2,32-45-261-1-1,21-28-176-3-1,17-22-280-3-0
CLE,Opp_First Downs,6,9,6,16,15,20,17,7,18,12,17,20,20,12,20,17,22,14
CLE,Opp_Fourth Down Conv.,0-1,0-0,1-1,1-1,0-0,0-0,1-1,0-1,0-0,1-1,0-1,0-0,0-1,0-2,1-3,1-2,0-0,0-0
CLE,Opp_Fumbles-Lost,0-0,1-1,1-0,2-1,1-0,4-3,1-0,1-1,0-0,0-0,2-1,0-0,1-1,4-1,1-0,1-1,1-0,0-0
CLE,Opp_Net Pass Yards,67,200,68,165,107,288,248,17,200,77,125,279,235,148,178,253,145,280
CLE,Opp_Penalties-Yards,4-20,5-31,8-80,8-92,12-105,8-67,7-43,4-40,7-64,6-46,8-71,7-45,7-40,4-19,10-76,12-74,1-10,3-20
CLE,Opp_Rush-Yds-TDs,20-75-0,21-55-0,15-26-0,33-131-2,25-108-1,40-168-3,17-114-1,21-41-0,24-106-2,26-172-1,39-169-2,25-120-1,20-58-1,27-88-0,16-72-0,21-107-0,30-183-1,22-76-1
CLE,Opp_Sacked-Yards,2-15,2-22,5-36,3-21,3-18,4-17,1-6,7-41,3-23,3-29,1-9,0-0,4-22,3-18,3-33,2-8,3-31,0-0
CLE,Opp_Third Down Conv.,2-15,4-14,2-12,4-12,3-12,7-15,4-12,1-12,2-8,3-14,6-14,4-12,7-17,4-18,5-15,6-16,3-12,2-8
CLE,Opp_Time of Possession,24:10,24:32,21:31,29:50,26:57,32:31,23:20,23:35,25:45,28:33,32:48,25:57,28:11,29:00,26:26,31:51,35:46,24:34
CLE,Opp_Total Yards,142,255,94,296,215,456,362,58,306,249,294,399,293,236,250,360,328,356
CLE,Opp_Turnovers,0,2,0,1,1,4,2,3,2,0,1,0,4,3,2,2,1,0
CLE,Penalties-Yards,5-43,8-81,5-46,7-42,13-119,4-20,4-25,6-65,10-55,1-10,8-66,7-86,8-75,9-48,9-55,4-26,7-35,4-32
CLE,Rush-Yds-TDs,40-206-1,35-198-1,31-78-1,25-93-0,34-160-1,33-150-3,40-155-1,40-113-1,36-178-1,29-96-1,24-107-0,23-87-0,28-82-1,18-29-0,30-54-2,28-127-1,24-104-0,20-56-1
CLE,Sacked-Yards,3-10,6-25,3-26,4-48,2-18,2-17,3-27,1-6,4-18,1-2,4-28,2-14,1-4,4-31,1-10,1-8,3-26,4-39
CLE,Third Down Conv.,4-14,5-16,6-13,4-16,3-13,4-16,6-15,6-17,8-16,4-17,2-13,7-16,4-18,4-16,6-16,5-10,2-11,7-15
CLE,Time of Possession,35:50,35:28,38:29,30:10,33:03,27:29,36:40,36:25,34:15,31:27,27:12,34:03,31:49,31:00,33:34,28:09,24:14,35:26
CLE,Total Yards,350,408,341,166,334,316,385,326,373,259,269,327,389,377,418,428,244,324
CLE,Turnovers,2,4,1,3,2,2,3,0,2,1,3,1,3,3,2,3,2,2
