,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
cle,Cmp-Att-Yd-TD-INT,24-36-263-2-1,20-42-300-1-4,22-47-242-2-3,25-30-286-4-0,23-30-194-2-1,20-37-140-1-3,21-34-203-0-0,27-43-288-2-1,22-40-237-1-1,17-30-154-1-0,18-32-268-0-0,15-32-215-1-1,35-46-265-3-0,26-42-288-1-0,18-36-182-0-2,16-30-314-2-1
cle,First Downs,16,20,25,25,14,16,16,26,26,15,21,17,24,23,12,17
cle,Fourth Down Conv.,0-0,1-2,0-0,0-0,0-0,0-0,0-1,0-0,4-4,1-1,2-3,0-1,2-3,0-1,0-1,0-1
cle,Fumbles-Lost,1-0,2-1,1-0,3-1,1-0,1-0,1-1,1-0,1-1,5-1,1-0,1-1,0-0,0-0,2-1,1-1
cle,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cle,Net Pass Yards,255,293,235,264,178,113,189,287,212,145,236,202,256,279,178,272
cle,Opp Score,18,24,31,7,14,33,9,16,38,7,30,19,21,10,20,28
cle,Opp_Cmp-Att-Yd-TD-INT,20-30-222-1-1,25-34-217-2-1,17-24-259-1-0,21-42-183-0-1,24-36-281-2-2,17-29-225-3-1,22-39-235-0-3,18-34-179-0-0,17-26-249-3-1,16-32-179-1-2,18-28-214-2-0,31-43-344-1-0,20-28-214-3-2,20-37-146-0-2,14-23-193-0-0,23-27-239-1-1
cle,Opp_First Downs,20,24,16,16,22,18,19,16,16,11,23,23,17,15,16,20
cle,Opp_Fourth Down Conv.,2-2,0-0,0-0,1-2,1-2,0-0,1-2,0-1,0-0,0-1,0-0,1-1,0-0,0-1,1-1,0-2
cle,Opp_Fumbles-Lost,1-0,1-1,1-1,1-0,2-1,0-0,0-0,2-2,0-0,6-3,0-0,2-0,1-0,2-2,1-0,4-1
cle,Opp_Net Pass Yards,180,201,243,170,279,217,218,161,241,134,209,335,209,136,161,224
cle,Opp_Penalties-Yards,4-61,7-45,11-99,4-28,6-60,4-44,12-81,5-74,7-81,0-0,4-35,5-62,6-45,6-35,4-25,3-15
cle,Opp_Rush-Yds-TDs,25-57-1,32-136-1,36-92-3,17-45-1,33-140-0,33-123-0,26-66-0,22-115-2,19-104-1,18-50-0,30-152-1,25-94-0,27-136-0,19-130-1,31-97-3,28-124-2
cle,Opp_Sacked-Yards,7-42,2-16,3-16,2-13,1-2,1-8,2-17,3-18,4-8,5-45,1-5,1-9,2-5,2-10,5-32,3-15
cle,Opp_Third Down Conv.,3-12,4-11,8-17,5-16,6-14,5-13,3-13,4-13,5-11,3-13,4-10,8-15,7-13,5-14,7-16,3-10
cle,Opp_Time of Possession,31:10,33:24,33:27,24:58,34:26,29:04,32:42,22:08,25:26,23:05,30:32,34:57,28:38,23:12,33:14,29:05
cle,Opp_Total Yards,237,337,335,215,419,340,284,276,345,184,361,429,345,266,258,348
cle,Opp_Turnovers,1,2,1,1,3,1,3,2,1,5,0,0,2,4,0,2
cle,Penalties-Yards,13-144,11-65,10-113,8-66,9-80,11-72,5-35,5-58,7-60,6-40,7-69,4-24,3-20,7-57,8-60,9-77
cle,Rush-Yds-TDs,17-35-0,21-93-0,21-111-2,30-86-0,18-34-0,22-134-0,32-80-0,34-88-1,33-201-2,44-139-0,31-169-1,22-89-0,27-85-1,31-97-1,20-76-0,27-102-1
cle,Sacked-Yards,1-8,3-7,1-7,3-22,3-16,4-27,2-14,1-1,4-25,2-9,4-32,3-13,1-9,1-9,1-4,6-42
cle,Third Down Conv.,5-13,2-12,5-13,6-11,4-12,3-14,5-17,6-16,5-15,6-20,6-15,5-11,8-16,7-16,4-13,7-15
cle,Time of Possession,28:50,26:36,26:33,35:02,25:34,30:56,35:23,37:52,34:34,36:55,29:28,25:03,36:17,36:48,26:46,30:55
cle,Total Yards,290,386,346,350,212,247,269,375,413,284,405,291,341,376,254,374
cle,Turnovers,1,5,3,1,1,3,1,1,2,1,0,2,0,0,3,2
cle,cle Score,21,10,28,31,17,17,12,33,24,19,16,10,27,27,3,24
