,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
CLE,CLE Score,17,18,15,16,13,16,14,29,10,14,24,32,14,7,6,3,10
CLE,Cmp-Att-Yd-TD-INT,24-45-169-1-2,22-34-186-0-0,21-37-196-2-0,24-32-176-1-1,16-29-141-1-0,16-23-168-0-0,31-52-277-1-2,27-41-334-3-0,26-46-235-1-3,30-47-395-2-0,18-27-219-0-1,34-58-497-4-3,24-41-212-2-2,20-34-164-0-4,20-34-157-0-2,24-47-170-0-1,18-34-183-1-2
CLE,First Downs,15,17,16,16,12,14,18,22,21,22,17,28,20,16,18,18,13
CLE,Fourth Down Conv.,3-5,3-3,1-3,0-1,2-3,1-1,1-2,0-0,2-3,1-3,4-4,2-2,3-4,0-1,1-3,0-4,0-2
CLE,Fumbles-Lost,1-0,1-0,2-2,1-0,1-1,0-0,1-0,1-1,1-0,0-0,3-2,0-0,2-1,3-2,2-1,1-1,0-0
CLE,HomeTeam,True,False,True,False,False,False,True,True,True,False,True,False,False,True,False,True,False
CLE,Net Pass Yards,137,172,148,149,108,144,259,321,213,377,219,475,196,127,125,162,174
CLE,Opp Score,33,13,21,20,34,20,21,24,27,35,19,41,27,21,24,20,35
CLE,Opp_Cmp-Att-Yd-TD-INT,19-32-179-1-0,14-30-220-0-0,24-35-236-2-0,14-24-130-0-0,15-28-236-1-1,16-25-264-2-0,15-25-181-2-0,23-38-289-2-0,18-27-282-2-0,22-29-266-2-1,21-29-270-1-0,18-35-294-1-2,15-26-158-2-0,21-40-179-2-0,23-30-252-3-0,22-26-225-1-0,16-32-217-2-0
CLE,Opp_First Downs,15,18,21,17,19,19,12,22,13,19,17,19,15,18,21,18,20
CLE,Opp_Fourth Down Conv.,0-0,0-0,1-1,0-0,2-2,2-2,0-1,0-2,1-1,1-1,1-3,0-0,0-0,0-1,0-0,0-1,0-3
CLE,Opp_Fumbles-Lost,1-0,1-0,3-2,1-1,2-1,1-0,0-0,0-0,0-0,2-1,2-1,0-0,1-1,0-0,1-1,1-0,0-0
CLE,Opp_Net Pass Yards,163,196,228,116,219,256,164,263,246,259,248,294,147,179,210,206,217
CLE,Opp_Penalties-Yards,11-85,6-52,9-68,6-49,5-31,5-40,3-37,7-53,5-35,5-41,6-39,4-57,6-61,4-30,5-35,11-94,10-83
CLE,Opp_Rush-Yds-TDs,25-102-1,21-127-1,32-112-1,29-152-2,34-215-3,36-116-0,25-59-0,21-124-1,23-96-2,28-214-3,34-120-1,26-106-2,35-120-1,35-132-1,22-116-0,27-74-1,35-220-2
CLE,Opp_Sacked-Yards,3-16,4-24,2-8,2-14,3-17,1-8,3-17,3-26,6-36,1-7,4-22,0-0,1-11,0-0,4-42,4-19,0-0
CLE,Opp_Third Down Conv.,4-14,3-9,4-14,4-12,8-17,5-14,2-13,2-10,5-14,5-10,7-16,6-13,6-14,7-18,4-11,2-11,7-14
CLE,Opp_Time of Possession,29:06,25:37,33:56,29:18,31:18,28:33,25:31,28:54,25:51,30:38,35:02,27:50,30:00,31:37,30:48,30:41,31:40
CLE,Opp_Total Yards,265,323,340,268,434,372,223,387,342,473,368,400,267,311,326,280,437
CLE,Opp_Turnovers,0,0,2,1,2,0,0,0,0,2,1,2,1,0,1,0,0
CLE,Penalties-Yards,11-64,13-100,5-48,5-38,9-52,7-55,10-80,7-74,4-25,3-14,8-48,5-46,9-81,6-45,5-41,9-84,3-20
CLE,Rush-Yds-TDs,19-93-1,29-125-1,18-69-0,22-92-0,23-104-0,25-100-0,21-77-1,23-80-0,24-79-0,20-66-0,27-85-3,23-77-0,25-104-0,21-139-1,24-148-1,28-114-0,19-56-0
CLE,Sacked-Yards,6-32,2-14,8-48,3-27,7-33,5-24,4-18,2-13,6-22,3-18,1-0,3-22,3-16,5-37,5-32,1-8,2-9
CLE,Third Down Conv.,2-15,2-14,4-14,3-10,1-13,3-12,8-19,8-15,6-17,3-13,1-10,9-19,2-13,4-12,3-12,7-17,4-12
CLE,Time of Possession,30:54,34:23,26:04,30:42,28:42,31:27,34:29,31:06,34:09,29:22,24:58,32:10,30:00,28:23,29:12,29:19,28:20
CLE,Total Yards,230,297,217,241,212,244,336,401,292,443,304,552,300,266,273,276,230
CLE,Turnovers,2,0,2,1,1,0,2,1,3,0,3,3,3,6,3,2,2
