,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
TAM,Cmp-Att-Yd-TD-INT,20-36-194-1-3,16-25-208-1-0,23-37-380-3-1,28-41-385-4-1,15-27-204-2-0,30-54-400-1-5,21-43-301-2-2,29-44-335-2-0,30-48-358-1-2,30-51-313-2-4,18-28-313-3-2,21-33-268-0-0,35-49-474-4-3,28-42-458-4-1,25-48-335-1-4,13-24-201-2-2
TAM,First Downs,21,16,24,27,19,23,23,29,26,21,20,19,29,23,19,14
TAM,Fourth Down Conv.,0-2,0-0,1-1,0-0,1-1,1-2,1-2,1-1,0-0,0-1,0-0,1-2,1-1,1-2,0-1,1-1
TAM,Fumbles-Lost,3-1,1-0,0-0,0-0,1-0,4-2,3-2,1-1,2-1,1-0,0-0,1-1,1-1,1-0,1-1,3-1
TAM,HomeTeam,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True
TAM,Net Pass Yards,174,189,355,376,158,365,283,319,339,298,313,241,467,446,329,193
TAM,Opp Score,31,14,32,40,31,37,27,40,27,34,22,11,35,17,23,28
TAM,Opp_Cmp-Att-Yd-TD-INT,18-27-166-1-1,25-51-333-0-0,23-36-336-2-0,45-68-517-2-3,28-36-345-4-1,20-32-227-2-0,21-33-193-3-0,29-43-378-5-0,28-45-350-3-1,28-35-228-3-0,28-55-326-1-1,23-41-240-1-2,19-36-251-2-0,24-43-260-0-2,19-32-184-0-1,30-51-313-1-0
TAM,Opp_First Downs,17,20,17,36,25,17,16,31,20,21,22,14,16,16,15,28
TAM,Opp_Fourth Down Conv.,0-0,0-3,1-1,0-1,1-2,1-1,0-1,0-0,2-3,1-1,2-3,1-3,2-3,0-1,1-1,1-3
TAM,Opp_Fumbles-Lost,1-1,3-1,3-2,1-1,1-0,1-1,2-1,2-1,1-1,1-0,2-1,3-2,1-1,2-1,2-1,1-1
TAM,Opp_Net Pass Yards,158,313,312,490,345,209,174,347,342,219,280,193,243,250,161,286
TAM,Opp_Penalties-Yards,11-87,5-50,6-59,13-106,6-40,3-30,6-77,4-45,11-87,9-76,7-60,16-121,3-35,2-10,4-35,5-53
TAM,Opp_Rush-Yds-TDs,32-98-0,19-39-0,19-72-2,11-28-2,31-112-0,29-59-2,21-72-0,22-145-0,18-75-0,28-109-0,19-57-1,17-49-0,22-66-1,18-45-2,26-68-1,30-87-0
TAM,Opp_Sacked-Yards,1-8,3-20,5-24,2-27,0-0,2-18,3-19,3-31,2-8,1-9,6-46,5-47,1-8,2-10,5-23,6-27
TAM,Opp_Third Down Conv.,5-13,3-14,6-13,4-11,8-15,3-15,5-13,2-8,1-10,7-13,4-16,4-14,6-16,6-15,4-14,7-18
TAM,Opp_Time of Possession,30:04,26:07,26:48,27:24,33:27,31:10,28:26,28:13,23:57,37:00,31:38,26:28,25:45,26:41,29:32,36:22
TAM,Opp_Total Yards,256,352,384,518,457,268,246,492,417,328,337,242,309,295,229,373
TAM,Opp_Turnovers,2,1,2,4,1,1,1,1,2,0,2,4,1,3,2,1
TAM,Penalties-Yards,8-87,12-66,4-30,12-99,4-30,9-70,9-87,10-82,9-94,7-55,8-51,8-44,6-104,9-70,6-45,12-97
TAM,Rush-Yds-TDs,26-121-0,31-100-1,32-144-0,30-88-2,22-94-1,14-42-2,30-106-0,26-99-2,26-118-2,8-36-0,34-133-1,31-74-2,28-75-1,29-49-0,21-106-1,21-136-0
TAM,Sacked-Yards,3-20,3-19,4-25,2-9,6-46,7-35,3-18,2-16,4-19,2-15,0-0,4-27,1-7,2-12,3-6,1-8
TAM,TAM Score,17,20,31,55,24,26,23,34,30,17,35,28,38,38,20,22
TAM,Third Down Conv.,5-11,2-12,4-14,8-13,3-11,5-15,7-15,6-14,7-15,5-13,6-13,7-17,8-15,7-14,9-17,1-8
TAM,Time of Possession,29:56,33:53,33:12,32:36,26:33,28:50,31:34,35:25,36:03,23:00,28:22,33:32,34:15,33:19,30:28,23:45
TAM,Total Yards,295,289,499,464,252,407,389,418,457,334,446,315,542,495,435,329
TAM,Turnovers,4,0,1,1,0,7,4,1,3,4,2,1,4,1,5,3
