,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
TAM,Cmp-Att-Yd-TD-INT,23-36-239-2-2,23-35-217-1-1,25-38-297-3-0,30-46-369-5-1,25-41-253-1-0,17-28-166-2-0,33-45-369-4-0,28-40-279-2-0,22-38-209-0-3,28-39-341-3-0,26-48-216-2-2,27-41-345-3-2,15-23-196-2-0,31-45-390-2-0,31-42-491-6-0,26-41-399-4-1,22-40-381-2-0,18-33-199-2-0,20-36-280-3-3,21-29-201-3-0
TAM,First Downs,23,20,17,28,18,21,29,23,13,30,20,20,17,27,30,28,26,20,19,26
TAM,Fourth Down Conv.,1-1,0-0,1-1,0-0,1-2,0-0,1-1,1-1,0-3,1-1,0-1,1-1,0-0,0-0,1-2,0-0,0-0,1-1,1-1,0-1
TAM,Fumbles-Lost,2-1,1-1,1-0,0-0,2-1,0-0,1-0,2-1,0-0,1-1,0-0,0-0,0-0,1-0,1-0,0-0,2-1,1-0,0-0,1-0
TAM,HomeTeam,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,True
TAM,Net Pass Yards,224,217,285,369,233,166,369,263,186,334,209,342,196,365,477,391,365,189,275,195
TAM,Opp Score,34,17,10,31,20,10,20,23,38,23,27,27,14,27,7,27,23,20,26,9
TAM,Opp_Cmp-Att-Yd-TD-INT,19-31-198-2-0,33-42-367-0-2,25-39-229-1-2,20-25-290-3-1,30-42-243-1-1,16-35-160-0-2,24-36-284-2-1,26-42-274-2-2,29-35-282-4-0,20-28-148-2-1,39-51-376-3-2,37-50-462-3-0,24-37-225-1-0,34-49-356-3-0,21-31-152-0-1,29-44-265-2-0,26-44-306-1-1,20-35-190-2-3,33-48-346-3-1,26-49-270-0-2
TAM,Opp_First Downs,18,24,13,15,18,13,19,24,27,13,22,26,27,23,12,25,23,20,23,22
TAM,Opp_Fourth Down Conv.,0-1,1-2,0-1,1-1,0-0,0-0,1-2,2-2,1-2,1-3,0-0,0-0,4-5,1-2,0-1,2-3,0-1,0-0,0-0,1-3
TAM,Opp_Fumbles-Lost,0-0,3-2,1-0,1-1,1-0,1-0,1-0,0-0,3-2,0-0,1-0,1-1,2-1,0-0,1-1,4-2,0-0,1-1,2-1,1-0
TAM,Opp_Net Pass Yards,189,340,184,278,208,107,271,256,282,122,376,456,173,332,113,258,289,190,314,243
TAM,Opp_Penalties-Yards,6-119,9-77,4-30,7-60,6-66,6-76,4-35,7-73,3-28,5-40,5-65,10-82,5-71,3-28,11-117,4-48,2-25,5-34,4-30,11-120
TAM,Opp_Rush-Yds-TDs,34-82-1,24-87-2,14-42-0,23-46-0,14-35-1,21-94-1,24-76-0,24-101-1,37-138-1,16-65-1,20-37-0,20-87-0,33-162-1,13-37-0,15-73-0,26-127-1,23-86-2,25-104-0,16-67-0,17-107-0
TAM,Opp_Sacked-Yards,1-9,5-27,6-45,2-12,3-35,5-53,3-13,3-18,1-0,3-26,0-0,2-6,6-52,3-24,4-39,1-7,2-17,0-0,5-32,3-27
TAM,Opp_Third Down Conv.,5-15,6-11,5-14,4-10,3-10,7-17,5-13,4-11,9-14,1-9,8-15,6-12,5-15,6-15,1-10,7-14,7-14,6-11,8-14,3-13
TAM,Opp_Time of Possession,31:23,34:32,26:58,25:05,28:28,31:37,31:04,29:50,40:04,23:55,33:13,36:47,39:03,28:11,24:07,33:12,28:48,28:29,34:37,28:37
TAM,Opp_Total Yards,271,427,226,324,243,201,347,357,420,187,413,543,335,369,186,385,375,294,381,350
TAM,Opp_Turnovers,0,4,2,2,1,2,1,2,2,1,2,1,1,0,2,2,1,4,2,2
TAM,Penalties-Yards,9-103,5-37,9-71,8-90,11-109,0-0,4-20,3-20,5-39,3-30,2-7,8-57,5-34,1-10,8-65,3-23,3-24,7-62,2-8,4-39
TAM,Rush-Yds-TDs,26-86-1,22-122-3,25-68-0,27-115-0,20-106-0,35-158-2,25-85-2,24-81-0,5-8-0,37-210-2,18-42-1,13-75-0,26-107-1,18-51-2,26-111-1,22-94-1,29-142-1,35-127-1,24-76-1,33-145-1
TAM,Sacked-Yards,3-15,0-0,2-12,0-0,3-20,0-0,0-0,2-16,3-23,1-7,1-7,1-3,0-0,3-25,2-14,1-8,3-16,1-10,1-5,1-6
TAM,TAM Score,23,31,28,38,19,38,45,25,3,46,24,24,26,31,47,44,31,30,31,31
TAM,Third Down Conv.,5-13,5-11,8-16,5-11,4-14,5-12,7-12,4-12,1-9,10-16,7-14,3-9,5-11,4-10,4-10,6-11,6-14,8-17,9-14,4-12
TAM,Time of Possession,28:37,25:28,33:02,34:55,31:32,28:23,28:56,30:10,19:56,36:05,26:47,23:13,20:57,31:49,35:53,26:48,31:12,31:31,25:23,31:23
TAM,Total Yards,310,339,353,484,339,324,454,344,194,544,251,417,303,416,588,485,507,316,351,340
TAM,Turnovers,3,2,0,1,1,0,0,1,3,1,2,2,0,0,0,1,1,0,3,0
