,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
TAM,Cmp-Att-Yd-TD-INT,32-50-379-4-2,24-36-276-5-0,41-55-432-1-0,22-43-269-0-0,33-44-452-5-0,34-42-297-2-1,22-39-226-4-0,28-41-375-4-2,23-34-220-2-2,32-48-318-2-1,25-34-226-1-1,38-51-368-4-1,31-46-363-2-0,26-48-214-0-1,18-31-232-1-0,34-50-410-3-1,29-39-326-3-0,29-37-271-2-0,30-54-329-1-1
TAM,First Downs,24,21,27,22,33,27,28,16,14,28,28,25,26,17,21,26,21,23,20
TAM,Fourth Down Conv.,0-0,1-2,1-2,0-0,0-0,0-1,1-2,0-1,2-2,1-1,0-0,1-1,0-1,0-1,0-0,1-1,1-1,0-1,2-4
TAM,Fumbles-Lost,2-2,2-1,2-0,0-0,0-0,0-0,2-1,1-1,0-0,0-0,1-1,0-0,1-0,1-1,0-0,0-0,0-0,0-0,1-1
TAM,HomeTeam,True,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,True
TAM,Net Pass Yards,379,259,411,261,437,297,226,350,220,308,217,368,351,184,232,405,324,243,308
TAM,Opp Score,29,25,34,17,17,22,3,36,29,10,31,17,27,9,6,24,17,15,30
TAM,Opp_Cmp-Att-Yd-TD-INT,42-58-403-3-1,35-48-300-2-3,27-38-343-4-0,33-42-320-2-1,27-39-275-2-1,12-26-115-1-1,22-32-184-0-3,22-39-215-2-0,26-32-256-1-0,23-39-167-1-2,27-44-306-3-2,30-41-297-0-0,36-54-308-2-1,13-27-154-0-0,22-45-251-0-1,19-33-234-1-0,29-43-219-2-1,23-43-258-1-2,28-38-366-2-0
TAM,Opp_First Downs,30,19,22,20,17,16,17,26,23,15,24,21,27,11,16,22,18,14,24
TAM,Opp_Fourth Down Conv.,0-0,1-4,0-0,0-0,0-0,1-1,0-1,2-3,2-2,1-3,2-2,0-0,2-3,0-0,0-2,0-1,2-6,1-3,0-0
TAM,Opp_Fumbles-Lost,1-0,1-0,1-0,1-1,1-1,0-0,4-2,1-0,1-1,1-1,3-3,5-1,0-0,1-0,1-0,1-1,1-1,3-1,4-4
TAM,Opp_Net Pass Yards,391,293,331,295,262,113,168,209,226,149,285,259,293,151,206,224,207,244,355
TAM,Opp_Penalties-Yards,8-55,6-49,1-4,8-77,5-37,4-41,4-32,2-10,3-33,4-30,6-66,6-39,7-65,6-41,6-32,2-14,1-10,4-45,4-45
TAM,Opp_Rush-Yds-TDs,18-60-0,20-55-1,24-76-0,8--1-0,9-39-0,19-100-2,29-143-0,32-152-1,34-94-2,13-66-0,20-107-1,23-121-1,19-173-1,31-61-0,15-67-0,26-150-2,26-110-0,17-95-1,30-73-1
TAM,Opp_Sacked-Yards,1-12,1-7,1-12,4-25,3-13,2-2,4-16,1-6,5-30,2-18,3-21,5-38,3-15,2-3,7-45,1-10,2-12,2-14,2-11
TAM,Opp_Third Down Conv.,9-17,6-15,10-15,2-9,2-7,3-10,2-11,5-14,11-19,1-9,5-11,9-17,2-13,3-16,7-18,6-11,4-14,5-14,4-11
TAM,Opp_Time of Possession,34:27,33:31,30:10,26:05,22:53,20:04,28:55,33:16,39:08,24:21,30:01,32:46,32:21,29:45,26:36,26:57,35:05,26:57,34:08
TAM,Opp_Total Yards,451,348,407,294,301,213,311,361,320,215,392,380,466,212,273,374,317,339,428
TAM,Opp_Turnovers,1,3,0,2,2,1,5,0,1,3,5,1,1,0,1,1,2,3,4
TAM,Penalties-Yards,11-106,9-83,7-41,7-74,6-47,7-120,1-10,11-99,6-43,6-39,4-44,3-15,4-24,3-30,6-50,4-39,2-10,4-35,4-61
TAM,Rush-Yds-TDs,14-52-0,21-82-0,13-35-2,30-120-1,25-121-1,31-102-2,31-182-1,14-71-0,13-53-0,27-94-1,27-142-4,17-57-0,29-137-2,21-118-0,31-159-2,21-62-0,20-85-2,31-106-2,14-51-2
TAM,Sacked-Yards,0-0,3-17,3-21,1-8,2-15,0-0,0-0,3-25,0-0,1-10,2-9,0-0,2-12,4-30,0-0,1-5,1-2,4-28,3-21
TAM,TAM Score,31,48,24,19,45,28,38,27,19,30,38,30,33,0,32,28,41,31,27
TAM,Third Down Conv.,5-11,4-12,6-13,9-19,8-11,7-13,4-12,8-13,4-10,6-13,2-8,8-13,8-16,6-19,7-14,9-15,4-11,4-13,3-14
TAM,Time of Possession,25:33,26:29,29:50,33:55,37:07,39:56,31:05,26:44,20:52,35:39,29:59,27:14,32:08,30:15,33:24,33:03,24:55,33:03,25:52
TAM,Total Yards,431,341,446,381,558,399,408,421,273,402,359,425,488,302,391,467,409,349,359
TAM,Turnovers,4,1,0,0,0,1,1,3,2,1,2,1,0,2,0,1,0,0,2
