,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
TAM,Cmp-Att-Yd-TD-INT,18-27-212-1-1,18-34-190-1-0,31-42-271-1-0,39-52-385-3-0,35-52-351-1-0,25-40-243-1-0,32-49-290-0-0,26-44-325-1-0,36-58-280-1-0,22-30-258-2-2,29-43-246-2-0,36-54-281-2-1,34-55-253-1-2,30-44-312-3-2,32-48-281-1-2,34-45-432-3-0,22-34-136-2-0,35-66-351-2-1
TAM,First Downs,18,13,19,27,26,20,17,20,18,26,16,25,18,25,21,25,12,24
TAM,Fourth Down Conv.,0-0,0-1,1-1,0-0,0-1,2-2,1-3,1-1,0-2,0-0,1-1,0-0,4-7,2-3,1-2,2-2,0-1,1-3
TAM,Fumbles-Lost,0-0,1-1,3-2,2-2,0-0,1-0,1-0,1-1,0-0,0-0,0-0,1-1,2-1,3-2,0-0,1-1,1-1,2-0
TAM,HomeTeam,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,True
TAM,Net Pass Yards,195,188,251,373,351,229,276,305,272,258,229,274,253,304,281,411,136,334
TAM,Opp Score,3,10,14,41,15,20,21,27,13,16,23,16,35,34,16,24,30,31
TAM,Opp_Cmp-Att-Yd-TD-INT,21-42-198-0-1,25-40-236-1-3,27-35-255-2-1,23-37-249-3-1,14-25-147-1-0,20-30-211-2-0,16-22-177-2-0,27-38-238-2-0,13-27-165-1-0,23-33-275-2-0,23-37-210-1-1,21-29-250-1-0,17-23-195-2-0,27-39-200-4-1,25-46-221-0-1,23-37-341-3-1,19-30-224-2-0,25-33-305-4-0
TAM,Opp_First Downs,12,18,14,27,19,15,14,27,9,19,22,14,24,20,16,22,22,26
TAM,Opp_Fourth Down Conv.,2-5,0-1,0-0,0-1,1-1,1-1,0-0,0-1,0-0,2-2,2-4,0-0,1-2,0-0,1-1,1-2,3-3,2-2
TAM,Opp_Fumbles-Lost,0-0,4-2,2-1,0-0,1-0,1-0,0-0,0-0,3-0,1-1,0-0,2-0,1-1,1-0,2-2,6-2,1-1,0-0
TAM,Opp_Net Pass Yards,173,208,248,228,110,193,170,222,138,244,178,232,195,184,204,326,208,297
TAM,Opp_Penalties-Yards,10-73,9-60,8-65,4-32,6-55,7-45,3-15,7-101,4-53,6-46,5-42,6-84,2-15,4-27,6-74,8-58,2-18,2-15
TAM,Opp_Rush-Yds-TDs,18-71-0,20-100-0,25-67-0,37-189-2,31-151-1,29-77-0,27-173-1,33-231-1,24-68-0,14-39-0,34-189-2,25-66-0,36-209-3,21-53-0,27-121-1,22-74-0,35-174-1,35-128-1
TAM,Opp_Sacked-Yards,4-25,6-28,1-7,3-21,5-37,2-18,1-7,3-16,4-27,3-31,4-32,2-18,0-0,2-16,1-17,2-15,2-16,1-8
TAM,Opp_Third Down Conv.,3-15,4-13,6-15,12-17,6-14,7-15,4-12,6-13,4-15,1-9,5-17,5-14,4-9,5-13,5-19,4-11,6-15,7-13
TAM,Opp_Time of Possession,27:18,30:18,33:25,38:38,30:34,29:59,29:24,38:23,28:44,23:05,39:04,29:55,32:40,29:25,29:22,26:50,34:49,34:34
TAM,Opp_Total Yards,244,308,315,417,261,270,343,453,206,283,367,298,404,237,325,400,382,425
TAM,Opp_Turnovers,1,5,2,1,0,0,0,0,0,1,1,0,1,1,3,3,1,0
TAM,Penalties-Yards,5-25,8-101,6-40,5-40,6-45,6-42,4-30,4-35,7-55,4-40,9-70,4-39,8-62,7-58,5-30,8-51,3-30,3-34
TAM,Rush-Yds-TDs,33-152-0,30-72-0,14-34-0,6-3-1,23-69-1,26-75-0,16-46-0,15-44-1,20-51-0,44-161-1,20-96-0,20-76-0,19-69-0,25-92-0,30-115-0,25-67-1,20-86-0,12-52-0
TAM,Sacked-Yards,2-17,1-2,3-20,1-12,0-0,2-14,1-14,3-20,1-8,0-0,3-17,1-7,0-0,1-8,0-0,3-21,0-0,2-17
TAM,TAM Score,19,20,12,31,21,18,3,22,16,21,17,17,7,23,19,30,17,14
TAM,Third Down Conv.,5-14,5-17,2-11,6-10,9-16,4-14,2-12,4-13,9-21,10-15,4-15,8-15,4-16,4-12,6-17,4-15,6-13,10-18
TAM,Time of Possession,32:42,29:42,26:35,21:22,29:26,30:01,30:36,21:37,31:16,36:55,30:37,30:05,27:20,30:35,36:57,33:10,25:11,25:26
TAM,Total Yards,347,260,285,376,420,304,322,349,323,419,325,350,322,396,396,478,222,386
TAM,Turnovers,1,1,2,2,0,0,0,1,0,2,0,2,3,4,2,1,1,1
