,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
TAM,Cmp-Att-Yd-TD-INT,18-31-204-1-0,28-40-328-2-3,22-38-332-3-0,26-46-334-1-0,27-42-351-3-2,32-44-384-3-1,21-38-210-0-2,15-28-135-1-0,17-34-187-1-1,22-37-275-2-0,27-44-283-0-0,21-32-270-2-0,26-38-285-2-2,27-35-299-3-0,21-27-367-1-0,28-51-363-1-3
TAM,First Downs,22,20,20,26,21,27,16,14,17,19,27,25,28,22,20,28
TAM,Fourth Down Conv.,0-0,0-0,0-1,0-0,2-3,0-0,0-1,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,1-1
TAM,Fumbles-Lost,1-1,2-0,1-0,2-0,0-0,6-2,1-1,1-1,1-0,0-0,0-0,3-1,3-3,2-1,3-3,1-0
TAM,HomeTeam,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True
TAM,Net Pass Yards,194,316,323,319,344,378,194,113,181,268,279,230,267,289,326,345
TAM,Opp Score,7,34,23,19,38,30,17,30,10,20,34,26,24,24,22,24
TAM,Opp_Cmp-Att-Yd-TD-INT,31-45-301-1-2,25-33-369-3-0,30-49-288-2-0,30-40-303-1-1,18-22-283-3-1,20-33-268-1-0,18-32-154-1-1,22-27-263-2-0,23-39-262-1-1,23-40-365-2-3,27-36-368-2-0,13-22-84-0-1,36-44-381-1-2,17-31-212-1-0,16-26-160-0-1,22-30-245-1-0
TAM,Opp_First Downs,19,25,24,23,23,23,14,21,15,18,23,16,21,24,20,18
TAM,Opp_Fourth Down Conv.,0-2,0-0,0-1,0-0,0-1,0-0,0-0,0-0,1-2,0-1,0-0,0-0,0-0,0-0,1-1,0-1
TAM,Opp_Fumbles-Lost,2-2,0-0,1-0,1-1,3-1,1-1,1-0,4-2,2-1,4-2,1-1,0-0,2-1,2-0,1-0,1-1
TAM,Opp_Net Pass Yards,290,369,288,289,272,261,154,256,219,365,368,77,381,209,140,231
TAM,Opp_Penalties-Yards,8-59,5-53,1-0,12-108,7-61,4-35,5-51,4-28,8-77,17-123,4-42,7-47,8-105,6-60,6-50,7-38
TAM,Opp_Rush-Yds-TDs,16-20-0,37-125-1,28-91-1,23-113-0,35-160-2,33-173-2,31-100-1,32-151-1,19-56-0,19-83-0,28-148-2,29-199-2,18-53-2,35-201-1,31-115-1,26-92-1
TAM,Opp_Sacked-Yards,1-11,0-0,0-0,3-14,2-11,1-7,0-0,1-7,6-43,1-0,0-0,2-7,0-0,1-3,2-20,2-14
TAM,Opp_Third Down Conv.,7-14,7-13,8-17,4-12,4-9,10-16,8-17,7-13,3-15,6-13,11-14,5-12,5-11,9-15,4-13,6-12
TAM,Opp_Time of Possession,26:49,37:46,34:13,30:50,32:23,26:50,32:11,32:18,28:06,28:11,30:06,26:44,29:47,33:15,30:30,28:27
TAM,Opp_Total Yards,310,494,379,402,432,434,254,407,275,448,516,276,434,410,255,323
TAM,Opp_Turnovers,4,0,0,2,2,1,1,2,2,5,1,1,3,0,1,1
TAM,Penalties-Yards,4-34,7-37,4-19,9-70,9-49,5-55,6-55,7-50,6-50,9-82,2-15,8-74,7-65,7-53,12-72,2-15
TAM,Rush-Yds-TDs,34-117-1,9-26-0,23-111-0,20-90-1,21-68-1,25-69-0,22-85-0,25-87-0,31-90-0,24-53-0,23-94-2,35-165-0,28-133-1,18-84-0,24-66-0,28-110-2
TAM,Sacked-Yards,2-10,2-12,1-9,2-15,2-7,1-6,3-16,4-22,1-6,1-7,1-4,7-40,3-18,2-10,6-41,2-18
TAM,TAM Score,29,17,25,14,33,27,3,10,15,30,20,20,21,21,19,31
TAM,Third Down Conv.,8-15,1-6,3-11,4-13,7-14,6-11,2-12,4-13,7-16,3-13,4-11,9-16,4-8,4-8,6-11,13-18
TAM,Time of Possession,33:11,22:14,25:47,29:10,27:37,33:10,27:49,27:42,31:54,31:49,29:54,37:17,30:13,26:45,29:30,31:33
TAM,Total Yards,311,342,434,409,412,447,279,200,271,321,373,395,400,373,392,455
TAM,Turnovers,1,3,0,0,2,3,3,1,1,0,0,1,5,1,3,3
