,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
TAM,Cmp-Att-Yd-TD-INT,24-30-289-4-0,12-19-185-1-1,25-33-163-1-1,30-47-347-2-0,19-24-180-3-0,24-36-325-4-3,31-45-370-3-2,37-50-330-3-2,23-31-200-2-0,18-29-116-1-0,24-30-294-0-0,22-34-240-1-2,18-29-295-3-2,22-27-288-4-1,31-43-303-2-1,27-32-359-5-0,21-32-221-2-1,15-18-185-2-0
TAM,First Downs,22,14,17,29,21,31,28,24,17,18,24,27,21,24,25,33,20,19
TAM,Fourth Down Conv.,0-0,0-0,0-2,1-1,0-0,0-0,1-1,1-2,0-0,1-1,1-2,1-1,1-1,1-1,0-1,0-0,1-1,0-0
TAM,Fumbles-Lost,0-0,2-0,1-1,1-0,2-1,1-0,1-0,2-1,0-0,3-0,4-1,2-0,2-1,1-1,3-1,0-0,1-0,1-1
TAM,HomeTeam,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,True
TAM,Net Pass Yards,280,146,132,334,173,317,356,330,189,105,294,209,268,283,276,349,216,183
TAM,Opp Score,20,16,26,16,36,27,41,31,30,23,7,23,13,17,26,14,19,23
TAM,Opp_Cmp-Att-Yd-TD-INT,17-24-184-0-0,35-56-324-0-2,25-36-216-0-0,18-30-158-1-0,42-59-509-4-1,22-40-243-1-2,17-22-281-5-0,23-29-276-4-0,34-44-291-3-0,25-36-353-2-0,22-32-192-0-0,26-46-298-1-0,23-37-205-0-1,22-34-199-2-1,26-35-292-1-0,15-28-203-2-0,26-42-240-1-0,24-35-268-2-0
TAM,Opp_First Downs,22,26,18,16,28,19,22,20,28,24,17,19,16,14,15,13,19,22
TAM,Opp_Fourth Down Conv.,1-1,3-5,2-3,1-2,2-3,1-1,1-1,2-2,1-1,0-0,0-2,0-0,3-3,0-2,0-0,0-1,2-3,3-5
TAM,Opp_Fumbles-Lost,3-0,0-0,1-1,3-2,1-0,3-1,2-1,1-0,1-1,2-1,2-1,1-1,2-1,2-1,0-0,2-0,0-0,0-0
TAM,Opp_Net Pass Yards,161,324,216,114,477,222,264,265,260,338,169,289,195,174,286,165,228,268
TAM,Opp_Penalties-Yards,7-51,4-71,5-51,5-41,8-74,7-70,9-85,4-43,3-30,6-49,4-42,7-62,3-31,7-60,5-30,4-30,8-77,5-39
TAM,Opp_Rush-Yds-TDs,30-138-3,27-139-1,28-136-2,20-113-1,18-73-0,21-81-1,30-244-0,29-129-0,35-124-1,22-75-0,20-76-1,21-78-1,25-91-1,11-32-0,20-31-1,13-39-0,19-64-0,33-82-0
TAM,Opp_Sacked-Yards,2-23,0-0,0-0,6-44,4-32,5-21,2-17,2-11,4-31,3-15,4-23,1-9,2-10,3-25,1-6,5-38,2-12,1-0
TAM,Opp_Third Down Conv.,2-8,7-17,4-13,6-13,6-14,4-13,3-8,6-12,12-18,5-11,5-11,6-16,4-13,0-6,5-15,2-9,3-13,8-15
TAM,Opp_Time of Possession,26:19,33:53,32:08,23:43,33:37,25:58,24:55,27:26,40:42,31:48,26:01,27:39,31:30,23:12,27:12,18:49,27:44,35:26
TAM,Opp_Total Yards,299,463,352,227,550,303,508,394,384,413,245,367,286,206,317,204,292,350
TAM,Opp_Turnovers,0,2,1,2,1,3,1,0,1,1,1,1,2,2,0,0,0,0
TAM,Penalties-Yards,7-46,4-35,5-19,3-20,5-47,12-86,8-75,6-45,6-50,5-42,4-29,7-54,5-31,8-83,6-47,5-40,12-90,7-65
TAM,Rush-Yds-TDs,30-112-0,23-70-1,16-91-0,25-111-2,26-160-0,35-277-2,30-125-1,22-102-0,19-95-1,27-110-1,32-157-4,39-236-1,26-152-1,39-223-0,23-134-1,40-202-0,31-179-1,25-101-0
TAM,Sacked-Yards,1-9,5-39,7-31,2-13,1-7,1-8,3-14,0-0,2-11,2-11,0-0,4-31,4-27,1-5,4-27,2-10,1-5,1-2
TAM,TAM Score,37,20,7,33,30,51,31,26,24,20,30,26,28,40,24,48,27,20
TAM,Third Down Conv.,9-13,2-10,3-11,6-13,6-11,6-10,11-17,9-14,5-11,5-14,6-11,2-12,5-12,9-15,6-12,10-14,10-16,5-9
TAM,Time of Possession,33:41,26:07,27:52,36:17,27:38,34:02,35:05,32:34,25:10,28:12,33:59,39:31,28:30,36:48,32:48,41:11,32:16,24:34
TAM,Total Yards,392,216,223,445,333,594,481,432,284,215,451,445,420,506,410,551,395,284
TAM,Turnovers,0,1,2,0,1,3,2,3,0,0,1,2,3,2,2,0,1,1
