,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
Crd,Cmp-Att-Yd-TD-INT,20-34-153-0-1,17-27-90-0-1,17-26-193-2-3,15-27-180-1-0,10-25-170-1-0,21-31-240-0-1,21-39-194-1-3,23-40-252-2-1,21-28-249-2-0,19-31-192-2-0,28-32-259-3-0,11-26-149-0-0,15-23-101-0-0,22-36-231-2-0,19-24-216-1-0,12-21-152-1-1
Crd,Crd Score,6,0,14,17,28,17,10,18,26,23,45,20,17,40,31,27
Crd,First Downs,14,5,13,18,10,16,14,20,20,19,30,18,16,23,33,16
Crd,Fourth Down Conv.,0-1,1-1,0-1,0-0,0-0,0-2,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0
Crd,Fumbles-Lost,1-1,0-0,2-1,2-1,1-0,1-1,3-2,1-1,1-0,1-0,1-1,3-0,2-1,0-0,1-1,0-0
Crd,HomeTeam,True,False,True,True,False,False,True,True,True,False,True,False,False,True,False,True
Crd,Net Pass Yards,145,83,168,171,164,208,154,233,212,173,236,133,96,220,192,109
Crd,Opp Score,24,34,16,20,18,27,45,15,14,21,10,17,3,14,9,24
Crd,Opp_Cmp-Att-Yd-TD-INT,21-30-255-2-0,24-32-354-1-1,24-35-220-0-1,19-26-172-0-0,34-54-349-2-2,24-34-233-1-1,15-22-189-2-1,14-28-190-1-0,22-39-208-1-2,9-20-136-3-2,12-19-105-1-1,31-50-233-1-0,26-41-240-0-1,23-36-243-1-2,18-31-182-1-0,18-34-149-1-0
Crd,Opp_First Downs,30,24,21,19,33,20,15,16,21,13,10,22,22,18,15,12
Crd,Opp_Fourth Down Conv.,1-1,1-3,1-1,1-2,1-2,0-1,0-0,0-0,1-2,0-0,0-1,2-2,0-1,2-2,1-2,1-2
Crd,Opp_Fumbles-Lost,3-1,0-0,1-1,3-0,4-3,1-1,0-0,2-0,1-0,1-0,1-0,0-0,2-0,1-1,0-0,3-2
Crd,Opp_Net Pass Yards,247,342,194,160,300,216,178,160,166,128,87,227,218,193,159,113
Crd,Opp_Penalties-Yards,9-63,5-49,7-45,8-57,9-65,9-52,5-50,5-59,3-30,7-62,3-35,7-43,8-83,8-75,7-54,3-20
Crd,Opp_Rush-Yds-TDs,42-182-1,33-90-3,31-122-1,34-171-2,34-147-1,32-195-2,31-131-2,31-107-0,25-94-1,31-154-0,24-62-0,23-98-1,21-61-0,22-60-1,18-104-0,24-85-0
Crd,Opp_Sacked-Yards,3-8,2-12,3-26,2-12,4-49,4-17,2-11,4-30,5-42,1-8,2-18,1-6,3-22,7-50,4-23,6-36
Crd,Opp_Third Down Conv.,6-13,8-15,5-14,0-10,10-17,5-14,5-13,5-14,7-14,3-11,4-12,3-14,6-16,3-13,2-11,4-17
Crd,Opp_Time of Possession,38:08,34:08,36:21,31:46,40:12,34:22,30:49,32:19,31:47,23:59,24:42,32:26,31:44,29:20,22:56,30:51
Crd,Opp_Total Yards,429,432,316,331,447,411,309,267,260,282,149,325,279,253,263,198
Crd,Opp_Turnovers,1,1,2,0,5,2,1,0,2,2,1,0,1,3,0,2
Crd,Penalties-Yards,9-67,9-47,6-43,5-38,5-46,5-30,7-45,9-62,8-63,4-20,4-30,7-49,7-68,6-50,6-66,1-10
Crd,Rush-Yds-TDs,15-68-1,15-54-0,18-53-0,28-92-1,23-56-2,20-60-1,21-69-0,21-88-0,23-118-1,33-152-0,30-178-3,29-182-2,31-122-1,27-215-2,41-269-3,34-182-2
Crd,Sacked-Yards,2-8,1-7,4-25,1-9,1-6,4-32,6-40,3-19,5-37,4-19,4-23,2-16,1-5,2-11,2-24,6-43
Crd,Third Down Conv.,1-8,3-12,3-10,5-12,2-12,0-10,4-14,6-14,4-11,5-15,3-7,5-13,4-12,5-13,6-9,4-14
Crd,Time of Possession,21:52,25:52,23:39,28:14,19:48,25:38,29:11,27:41,28:13,36:01,35:18,27:34,28:16,30:40,37:04,29:09
Crd,Total Yards,213,137,221,263,220,268,223,321,330,325,414,315,218,435,461,291
Crd,Turnovers,2,1,4,1,0,2,5,2,0,0,1,0,1,0,1,1
