,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Crd,Cmp-Att-Yd-TD-INT,21-32-289-4-1,22-32-244-3-0,28-34-316-0-1,24-32-268-2-0,15-29-192-0-1,20-30-229-4-0,23-32-135-0-0,22-37-184-2-0,23-27-282-1-0,25-33-175-1-1,35-44-328-2-0,11-15-123-2-0,23-30-287-3-0,29-50-313-1-1,18-28-225-2-0,27-39-286-2-0,15-26-238-3-1,19-34-137-0-2
Crd,Crd Score,38,33,31,37,10,37,5,24,31,34,23,33,30,12,22,25,38,11
Crd,First Downs,22,22,23,27,19,24,8,24,22,24,29,14,18,23,20,23,19,14
Crd,Fourth Down Conv.,0-0,0-0,2-2,0-0,1-5,1-1,0-2,2-4,1-2,0-0,1-1,1-2,0-0,1-3,0-1,2-2,0-0,1-2
Crd,Fumbles-Lost,1-0,2-0,1-0,1-0,0-0,4-0,1-1,2-0,1-0,2-1,4-0,2-0,1-0,1-0,0-0,0-0,1-1,1-0
Crd,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Crd,Net Pass Yards,280,242,316,249,186,208,118,184,274,175,318,120,267,293,220,272,229,122
Crd,Opp Score,13,34,19,20,17,14,31,21,17,10,13,22,23,30,16,22,30,34
Crd,Opp_Cmp-Att-Yd-TD-INT,22-36-218-1-1,29-36-400-3-2,22-34-219-1-2,26-41-280-2-1,22-31-239-1-0,20-31-240-2-1,20-28-261-3-1,22-33-274-0-2,28-40-326-2-1,17-29-143-0-1,14-26-207-0-0,26-41-229-2-4,32-49-383-0-2,21-26-216-3-0,27-43-245-1-0,25-39-257-3-0,28-39-240-1-0,14-18-242-2-0
Crd,Opp_First Downs,17,21,20,24,20,16,24,22,22,11,16,26,22,22,20,19,20,16
Crd,Opp_Fourth Down Conv.,1-3,1-1,1-1,0-1,0-0,1-4,1-1,2-2,0-0,0-3,0-1,4-4,2-4,1-1,1-3,3-3,1-2,0-0
Crd,Opp_Fumbles-Lost,2-2,1-0,4-2,1-1,4-1,2-2,1-0,2-1,2-2,2-1,2-0,2-0,1-0,1-1,2-0,3-1,2-1,0-0
Crd,Opp_Net Pass Yards,162,371,202,280,210,217,225,260,298,104,180,217,344,212,245,256,187,235
Crd,Opp_Penalties-Yards,7-57,5-40,4-40,5-36,6-62,9-88,7-54,7-59,3-35,4-58,2-17,6-45,7-54,6-49,11-85,10-88,6-46,6-48
Crd,Opp_Rush-Yds-TDs,22-86-1,21-103-1,29-159-1,23-121-0,27-94-1,19-73-0,37-172-1,20-74-3,11-39-0,20-65-1,19-86-1,27-112-1,22-103-2,34-126-0,21-133-1,17-45-0,28-118-1,38-140-1
Crd,Opp_Sacked-Yards,6-56,3-29,3-17,0-0,2-29,5-23,4-36,2-14,5-28,4-39,4-27,3-12,4-39,2-4,0-0,1-1,5-53,1-7
Crd,Opp_Third Down Conv.,5-14,3-9,2-11,6-11,3-10,3-10,6-12,4-10,4-10,4-13,2-10,6-15,8-15,6-13,6-13,3-11,9-18,6-13
Crd,Opp_Time of Possession,26:39,31:52,27:06,24:50,28:06,25:21,34:03,22:25,23:13,22:18,19:38,34:45,30:56,31:52,24:31,25:18,35:49,35:46
Crd,Opp_Total Yards,248,474,361,401,304,290,397,334,337,169,266,329,447,338,378,301,305,375
Crd,Opp_Turnovers,3,2,4,2,1,3,1,3,3,2,0,4,2,1,0,1,1,0
Crd,Penalties-Yards,8-59,3-16,7-58,7-63,7-60,5-45,8-80,7-60,9-84,9-115,3-32,8-63,5-40,7-83,5-40,7-45,4-30,7-50
Crd,Rush-Yds-TDs,33-136-1,27-177-0,30-91-3,40-216-2,28-152-1,37-144-0,15-42-0,34-151-1,39-163-3,37-166-2,33-95-1,35-137-2,21-89-0,21-105-0,33-126-0,32-127-0,30-202-2,18-61-1
Crd,Sacked-Yards,2-9,1-2,0-0,3-19,2-6,2-21,2-17,1-0,2-8,0-0,2-10,1-3,3-20,2-20,2-5,1-14,1-9,2-15
Crd,Third Down Conv.,7-13,2-10,1-9,8-13,3-11,8-15,2-13,6-14,7-15,7-15,7-14,5-11,6-12,7-15,8-15,7-16,8-12,0-9
Crd,Time of Possession,33:21,28:08,32:54,35:10,31:54,34:39,25:57,37:35,36:47,37:42,40:22,25:15,29:04,28:08,35:29,34:42,24:11,24:14
Crd,Total Yards,416,419,407,465,338,352,160,335,437,341,413,257,356,398,346,399,431,183
Crd,Turnovers,1,0,1,0,1,0,1,0,0,2,0,0,0,1,0,0,2,2
