,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Crd,Cmp-Att-Yd-TD-INT,21-30-132-0-0,26-37-321-2-1,25-40-249-1-1,28-41-265-2-0,36-46-317-3-1,21-41-235-0-1,20-34-150-0-0,18-27-157-1-0,11-20-58-0-2,12-21-94-1-0,20-30-214-1-1,25-33-229-4-1,13-23-145-1-0,18-28-262-4-0,24-38-230-2-0,25-31-232-3-1,16-28-189-2-0
Crd,Crd Score,16,31,16,16,34,9,10,31,0,23,16,37,24,45,16,35,21
Crd,First Downs,13,26,26,23,27,20,15,21,7,20,20,25,18,24,16,32,18
Crd,Fourth Down Conv.,0-1,1-1,0-1,2-3,0-3,2-4,0-3,0-0,0-1,1-2,1-4,2-2,0-0,0-0,0-1,2-2,0-0
Crd,Fumbles-Lost,3-2,0-0,0-0,1-0,1-0,1-1,2-0,1-0,1-1,0-0,2-1,0-0,2-0,0-0,1-0,1-0,0-0
Crd,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Crd,Net Pass Yards,114,312,231,257,287,215,122,138,17,70,196,229,132,262,213,228,189
Crd,Opp Score,20,28,28,35,20,26,20,24,27,25,21,14,10,29,27,31,20
Crd,Opp_Cmp-Att-Yd-TD-INT,19-31-202-1-1,21-31-228-1-0,17-21-189-1-0,20-21-283-1-0,15-32-166-2-2,15-24-226-1-0,18-24-219-2-1,25-37-208-2-2,19-30-219-2-0,19-32-249-0-1,28-38-338-2-3,27-45-256-1-0,18-27-187-1-0,26-39-211-1-2,15-27-170-1-1,19-24-184-3-1,22-30-262-1-0
Crd,Opp_First Downs,21,24,20,30,15,17,18,22,17,20,22,19,18,22,22,17,24
Crd,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,0-3,0-0,0-0,0-2,1-2,1-1,0-1,2-3,0-1,3-4,0-0,1-1,2-2
Crd,Opp_Fumbles-Lost,2-2,0-0,0-0,0-0,1-1,1-1,2-2,1-0,0-0,0-0,0-0,0-0,2-1,5-0,0-0,0-0,0-0
Crd,Opp_Net Pass Yards,156,228,178,271,152,203,203,181,213,230,308,219,187,202,170,184,260
Crd,Opp_Penalties-Yards,8-70,8-57,8-69,4-21,2-16,6-59,5-32,6-70,6-65,11-112,3-19,5-34,9-77,4-28,5-35,4-49,5-27
Crd,Opp_Rush-Yds-TDs,28-92-1,29-151-2,30-222-2,31-124-4,22-142-1,28-179-1,32-115-0,32-129-1,40-113-1,26-122-2,25-111-1,15-73-1,31-130-0,30-234-2,39-250-2,23-91-0,38-206-1
Crd,Opp_Sacked-Yards,6-46,0-0,2-11,1-12,3-14,3-23,2-16,2-27,1-6,2-19,4-30,4-37,0-0,3-9,1-0,0-0,1-2
Crd,Opp_Third Down Conv.,4-12,4-10,5-10,3-5,4-11,4-12,7-13,5-12,6-17,3-11,9-13,6-17,4-11,7-16,8-15,4-9,5-13
Crd,Opp_Time of Possession,31:24,30:37,25:27,29:14,21:50,29:30,30:32,30:21,36:25,28:18,31:15,25:08,30:43,34:11,34:32,20:21,36:03
Crd,Opp_Total Yards,248,379,400,395,294,382,318,310,326,352,419,292,317,436,420,275,466
Crd,Opp_Turnovers,3,0,0,0,3,1,3,2,0,1,3,0,1,2,1,1,0
Crd,Penalties-Yards,9-122,9-75,13-107,9-55,4-40,5-36,7-59,6-45,4-40,4-43,5-50,5-23,6-51,1-5,2-8,5-25,0-0
Crd,Rush-Yds-TDs,25-96-0,27-127-2,33-185-0,25-105-0,30-93-0,30-130-0,25-127-1,29-130-3,21-41-0,41-184-2,25-123-1,33-228-1,38-150-2,26-144-1,20-93-0,40-221-1,25-138-0
Crd,Sacked-Yards,3-18,3-9,2-18,1-8,3-30,2-20,4-28,4-19,7-41,3-24,3-18,0-0,2-13,0-0,2-17,1-4,0-0
Crd,Third Down Conv.,4-14,7-12,9-16,8-15,5-14,6-16,5-15,4-11,1-12,7-14,3-10,6-12,10-17,4-7,7-16,5-10,6-12
Crd,Time of Possession,28:36,29:23,34:33,30:46,38:10,30:30,29:28,29:39,23:35,31:42,28:45,34:52,29:17,25:49,25:28,39:39,23:57
Crd,Total Yards,210,439,416,362,380,345,249,268,58,254,319,457,282,406,306,449,327
Crd,Turnovers,2,1,1,0,1,2,0,0,3,0,2,1,0,0,0,1,0
