,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
crd,Cmp-Att-Yd-TD-INT,27-48-268-1-3,19-36-332-1-1,13-18-183-2-0,24-49-234-0-1,28-44-291-1-0,27-42-351-3-2,15-32-188-0-2,15-30-201-2-1,22-32-238-2-0,22-34-257-3-2,19-33-160-0-1,21-31-220-2-1,16-31-159-0-2,16-41-189-0-1,27-45-263-0-2,15-34-145-1-1
crd,First Downs,24,17,15,20,16,21,10,20,14,17,19,18,14,19,12,19
crd,Fourth Down Conv.,1-1,0-1,0-0,1-1,2-3,2-3,1-2,0-0,0-0,0-1,1-1,1-1,0-2,2-3,1-4,0-0
crd,Fumbles-Lost,2-1,1-0,0-0,1-0,1-1,0-0,1-0,1-1,1-0,1-0,3-2,1-0,0-0,3-1,2-1,1-0
crd,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
crd,Net Pass Yards,263,306,174,210,276,344,171,201,212,244,128,213,139,145,250,143
crd,Opp Score,35,13,17,18,34,38,33,10,16,31,27,16,12,20,23,24
crd,Opp_Cmp-Att-Yd-TD-INT,29-41-292-4-1,20-37-216-0-1,29-48-325-2-0,33-51-357-1-1,21-30-304-4-1,18-22-283-3-1,22-37-235-1-1,24-51-294-0-1,24-47-273-1-0,22-32-230-2-1,22-38-241-2-1,18-32-221-1-2,17-26-178-0-0,18-26-196-2-0,21-35-230-2-2,18-29-221-2-0
crd,Opp_First Downs,19,18,22,25,19,23,28,17,24,22,20,19,16,14,19,13
crd,Opp_Fourth Down Conv.,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-2,1-3,0-0,0-0,0-0,0-0,0-0,0-0,1-1
crd,Opp_Fumbles-Lost,1-0,3-0,0-0,0-0,0-0,3-1,0-0,1-1,1-1,4-1,2-1,1-0,0-0,1-1,1-0,2-0
crd,Opp_Net Pass Yards,285,190,283,317,297,272,228,266,256,223,236,187,125,187,215,195
crd,Opp_Penalties-Yards,10-100,8-70,6-50,10-80,5-60,7-61,6-45,8-53,9-58,6-42,10-98,4-25,5-30,7-82,6-45,8-100
crd,Opp_Rush-Yds-TDs,27-82-0,29-76-1,21-49-0,22-51-0,33-122-0,35-160-2,40-197-2,17-63-1,24-34-1,34-134-2,31-108-0,24-118-1,29-136-0,20-31-0,27-74-0,22-101-0
crd,Opp_Sacked-Yards,1-7,4-26,6-42,6-40,1-7,2-11,1-7,5-28,2-17,1-7,1-5,7-34,8-53,1-9,2-15,3-26
crd,Opp_Third Down Conv.,8-16,8-18,8-18,5-16,9-14,4-9,13-19,6-17,6-15,8-15,7-17,7-15,3-14,1-9,5-14,1-12
crd,Opp_Time of Possession,33:20,33:09,36:15,36:15,35:47,32:23,39:01,23:38,29:07,33:46,34:39,31:02,33:49,23:44,33:13,27:44
crd,Opp_Total Yards,367,266,332,368,419,432,425,329,290,357,344,305,261,218,289,296
crd,Opp_Turnovers,1,1,0,1,1,2,1,2,1,2,2,2,0,1,2,0
crd,Penalties-Yards,6-55,6-41,9-76,13-113,7-61,9-49,10-65,2-25,12-108,10-90,5-45,7-36,6-48,8-71,10-101,4-25
crd,Rush-Yds-TDs,18-45-1,25-83-0,26-99-2,27-95-0,14-31-0,21-68-1,12-25-0,43-167-0,23-75-0,18-48-0,22-91-2,24-90-0,22-65-1,34-141-0,20-43-0,33-116-1
crd,Sacked-Yards,1-5,4-26,1-9,3-24,2-15,2-7,3-17,0-0,5-26,2-13,3-32,1-7,3-20,5-44,2-13,1-2
crd,Third Down Conv.,6-15,6-15,2-9,5-19,4-14,7-14,3-12,7-16,3-13,3-10,1-12,3-11,4-12,4-19,1-14,4-14
crd,Time of Possession,26:40,28:49,23:45,33:13,24:13,27:37,20:59,36:22,30:53,26:14,25:21,28:58,26:11,36:16,26:47,32:16
crd,Total Yards,308,389,273,305,307,412,196,368,287,292,219,303,204,286,293,259
crd,Turnovers,4,1,0,1,1,2,2,2,0,2,3,1,2,2,3,1
crd,crd Score,23,16,28,15,7,33,0,20,22,21,24,32,7,15,0,26
