,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
crd,Cmp-Att-Yd-TD-INT,21-31-162-1-0,19-27-216-0-0,18-23-199-2-1,26-30-233-1-1,19-30-195-1-1,22-32-214-1-0,27-39-349-0-0,26-36-307-2-0,22-41-217-0-0,22-35-151-0-0,24-37-285-0-1,31-45-260-1-2,24-30-233-1-0,19-23-202-1-1,20-32-202-1-1,33-48-321-1-2,29-43-326-2-2
crd,First Downs,18,14,23,29,19,16,20,22,16,17,15,25,18,17,23,24,26
crd,Fourth Down Conv.,0-1,1-3,0-1,1-1,1-1,0-0,1-1,0-0,2-4,1-3,0-1,0-1,0-0,1-2,1-1,0-2,1-2
crd,Fumbles-Lost,1-1,1-1,0-0,0-0,1-0,3-3,3-2,1-0,1-0,1-1,0-0,1-0,1-0,3-0,1-1,0-0,3-1
crd,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
crd,Net Pass Yards,146,192,186,233,189,214,336,307,172,128,249,252,233,195,176,283,298
crd,Opp Score,34,41,13,14,23,34,17,27,29,31,16,23,18,30,36,13,47
crd,Opp_Cmp-Att-Yd-TD-INT,18-23-232-2-0,17-21-266-3-0,21-34-207-1-1,16-22-142-1-0,19-35-244-1-2,22-32-258-4-1,14-26-145-1-1,28-38-234-1-0,13-20-154-0-0,22-24-266-1-0,22-31-254-1-1,21-31-235-2-0,25-38-259-2-2,25-32-232-0-0,17-26-158-2-0,17-32-189-0-0,25-35-242-4-0
crd,Opp_First Downs,23,24,17,17,22,27,22,22,18,28,17,19,21,21,22,12,26
crd,Opp_Fourth Down Conv.,2-2,0-0,0-2,2-3,0-1,1-1,0-1,0-0,0-1,1-1,0-0,1-1,1-1,0-0,2-2,0-0,2-2
crd,Opp_Fumbles-Lost,1-1,2-1,0-0,3-1,1-1,0-0,1-0,4-0,2-2,1-0,1-0,2-1,1-0,2-0,0-0,0-0,1-0
crd,Opp_Net Pass Yards,222,258,200,115,231,258,145,227,137,259,220,205,235,232,149,189,242
crd,Opp_Penalties-Yards,9-65,5-52,4-30,4-82,4-21,5-40,3-15,2-15,2-15,5-58,5-51,3-56,6-49,4-35,9-64,7-46,1-5
crd,Opp_Rush-Yds-TDs,33-130-2,40-231-1,18-77-0,32-181-1,26-153-0,38-179-0,29-181-1,25-150-2,34-213-3,32-147-3,25-65-0,15-68-0,23-121-0,32-163-2,36-243-3,22-68-1,27-151-2
crd,Opp_Sacked-Yards,2-10,1-8,1-7,4-27,2-13,0-0,0-0,1-7,3-17,1-7,5-34,5-30,2-24,0-0,3-9,0-0,0-0
crd,Opp_Third Down Conv.,3-9,7-11,1-9,4-11,6-11,7-12,2-7,11-15,5-13,5-7,7-14,1-8,4-12,10-15,6-14,6-15,4-11
crd,Opp_Time of Possession,30:30,36:54,23:11,26:38,32:58,36:35,25:46,30:31,28:59,32:42,33:13,24:11,26:58,34:08,33:18,23:05,28:09
crd,Opp_Total Yards,352,489,277,296,384,437,326,377,350,406,285,273,356,395,392,257,393
crd,Opp_Turnovers,1,1,1,1,3,1,1,0,2,0,1,1,2,0,0,0,0
crd,Penalties-Yards,5-31,2-10,9-79,5-49,1-5,13-100,5-57,4-29,6-33,3-25,5-60,10-96,9-62,4-45,11-82,9-62,13-85
crd,Rush-Yds-TDs,25-124-1,20-53-1,43-187-1,37-216-4,26-169-1,23-89-0,22-59-0,26-82-1,23-69-0,17-79-0,14-49-0,31-154-0,31-176-2,24-116-1,29-206-2,22-113-0,28-138-1
crd,Sacked-Yards,4-16,5-24,2-13,0-0,1-6,0-0,3-13,0-0,6-45,3-23,5-36,1-8,0-0,2-7,3-26,4-38,2-28
crd,Third Down Conv.,7-13,2-11,6-12,9-12,3-10,4-10,6-14,7-13,3-14,6-13,3-12,5-13,7-15,0-6,6-13,6-13,5-13
crd,Time of Possession,29:30,23:06,36:49,33:22,27:02,23:25,34:14,29:29,31:01,27:18,26:47,35:49,33:02,25:52,33:24,36:55,31:51
crd,Total Yards,270,245,373,449,358,303,395,389,241,207,298,406,409,311,382,396,436
crd,Turnovers,1,1,1,1,1,3,2,0,0,1,1,2,0,1,2,2,3
crd,crd Score,28,10,20,42,24,13,15,28,9,6,6,22,30,17,30,9,24
