,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
SDG,Cmp-Att-Yd-TD-INT,22-33-192-3-1,31-39-331-1-0,20-40-237-0-3,22-38-347-2-0,21-44-258-3-1,25-36-268-1-0,15-26-183-2-0,17-30-212-1-1,28-51-273-1-2,21-39-224-1-5,20-27-179-0-2,15-32-215-1-1,19-34-322-2-1,23-30-231-2-0,22-40-290-1-0,19-28-243-1-1
SDG,First Downs,17,24,24,18,21,20,14,16,20,18,14,17,24,20,21,14
SDG,Fourth Down Conv.,1-2,0-0,0-0,0-0,0-0,1-2,0-1,1-1,1-2,1-2,0-0,0-1,0-0,1-1,0-0,0-3
SDG,Fumbles-Lost,0-0,0-0,0-0,2-1,2-0,1-1,0-0,2-0,0-0,2-1,1-0,1-1,0-0,1-0,1-0,2-1
SDG,HomeTeam,False,True,True,True,False,False,True,False,True,False,True,False,True,True,False,False
SDG,Net Pass Yards,185,323,226,342,258,263,162,192,263,220,168,202,314,223,290,231
SDG,Opp Score,24,19,24,26,22,16,0,21,17,54,28,19,13,13,7,30
SDG,Opp_Cmp-Att-Yd-TD-INT,17-28-219-2-1,24-34-230-1-0,16-21-155-2-0,17-31-242-1-0,21-36-225-2-1,21-30-171-1-2,25-35-207-0-1,32-47-333-1-0,21-37-235-2-1,25-37-284-2-0,27-33-434-3-0,31-43-344-1-0,15-27-151-1-1,20-36-227-1-3,15-28-119-0-1,28-37-387-3-0
SDG,Opp_First Downs,22,21,16,26,18,15,12,27,16,28,25,23,9,20,13,26
SDG,Opp_Fourth Down Conv.,0-0,0-1,0-1,1-1,0-1,0-1,0-2,1-1,0-0,0-0,0-1,1-1,1-2,1-2,0-1,0-1
SDG,Opp_Fumbles-Lost,1-1,0-0,2-0,1-0,2-1,3-0,3-2,0-0,2-1,1-0,1-0,2-0,0-0,1-1,2-2,2-0
SDG,Opp_Net Pass Yards,181,225,122,240,183,165,182,317,235,283,434,335,136,209,98,380
SDG,Opp_Penalties-Yards,3-62,5-23,13-122,9-58,10-67,5-40,10-68,6-80,7-77,1-13,5-56,5-62,4-48,9-61,5-34,7-65
SDG,Opp_Rush-Yds-TDs,36-140-1,32-111-0,25-189-1,42-214-1,25-152-1,22-109-1,19-69-0,32-97-0,30-87-0,35-146-2,33-81-0,25-94-0,21-65-0,22-98-1,30-197-1,30-115-0
SDG,Opp_Sacked-Yards,4-38,2-5,5-33,1-2,5-42,1-6,5-25,3-16,0-0,1-1,0-0,1-9,2-15,2-18,3-21,1-7
SDG,Opp_Third Down Conv.,8-15,5-13,4-12,9-16,5-15,6-12,3-14,9-19,3-15,7-14,9-14,8-15,2-12,4-11,3-14,7-13
SDG,Opp_Time of Possession,34:13,33:22,30:26,39:18,28:15,27:57,31:04,36:59,31:47,36:05,36:05,34:57,24:40,26:39,27:02,33:20
SDG,Opp_Total Yards,321,336,311,454,335,274,251,414,322,429,515,429,201,307,295,495
SDG,Opp_Turnovers,2,0,0,0,2,2,3,0,2,0,0,0,1,4,3,0
SDG,Penalties-Yards,4-40,6-56,8-61,9-39,11-87,4-32,9-81,10-77,9-106,6-48,7-60,4-24,5-40,7-71,8-80,6-85
SDG,Rush-Yds-TDs,22-64-0,14-44-1,26-104-1,13-58-1,29-124-0,28-80-1,26-80-0,21-157-1,27-135-1,22-173-2,20-79-1,22-89-0,35-174-1,32-174-1,30-89-1,23-105-0
SDG,SDG Score,21,17,10,24,27,17,21,13,20,24,6,10,30,30,14,10
SDG,Sacked-Yards,1-7,1-8,2-11,2-5,0-0,1-5,3-21,1-20,3-10,1-4,2-11,3-13,2-8,1-8,0-0,2-12
SDG,Third Down Conv.,3-12,2-8,5-13,5-10,8-18,6-14,3-12,3-10,5-18,6-14,6-11,5-11,6-15,6-14,5-15,4-11
SDG,Time of Possession,25:47,26:38,29:34,20:42,31:45,32:03,28:56,23:01,35:01,23:55,23:55,25:03,35:20,33:21,32:58,26:40
SDG,Total Yards,249,367,330,400,382,343,242,349,398,393,247,291,488,397,379,336
SDG,Turnovers,1,0,3,1,1,1,0,1,2,6,2,2,1,0,0,2
