,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
sdg,Cmp-Att-Yd-TD-INT,28-45-466-3-1,27-41-305-2-0,41-48-454-4-0,24-39-238-0-1,21-30-272-1-0,17-30-259-1-2,25-37-232-0-2,16-30-136-0-0,23-33-333-2-0,21-36-260-2-0,18-32-177-1-0,22-37-212-0-0,21-33-224-2-1,23-32-257-3-1,15-21-237-1-1,24-38-220-0-0,15-30-154-0-1
sdg,First Downs,30,19,24,22,20,16,17,14,23,17,20,13,19,18,16,17,12
sdg,Fourth Down Conv.,1-1,3-3,1-2,3-3,1-2,1-1,1-4,0-0,4-5,0-2,1-3,0-0,0-0,0-1,0-0,1-2,1-1
sdg,Fumbles-Lost,2-1,0-0,4-1,3-2,1-1,0-0,1-0,3-0,0-0,2-1,1-0,0-0,0-0,5-4,3-2,2-1,1-0
sdg,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sdg,Net Pass Yards,466,281,445,188,246,219,222,107,333,244,164,212,216,234,230,215,145
sdg,Opp Score,34,27,24,24,17,31,30,6,38,23,10,0,7,63,22,16,12
sdg,Opp_Cmp-Att-Yd-TD-INT,23-33-229-1-0,20-24-246-1-0,32-50-367-3-1,13-24-167-1-1,22-37-227-2-1,32-42-424-4-1,31-40-298-3-0,33-49-263-0-0,27-40-323-4-1,27-40-322-2-0,29-44-217-1-1,13-25-141-0-0,22-42-275-0-1,22-36-260-5-0,23-33-215-0-0,20-32-224-1-0,28-47-258-0-0
sdg,Opp_First Downs,30,22,29,16,18,25,20,17,24,23,16,13,17,20,18,16,22
sdg,Opp_Fourth Down Conv.,0-1,0-1,2-3,1-2,1-2,0-0,0-1,3-4,3-3,0-1,1-3,1-3,1-6,0-0,0-0,1-1,2-3
sdg,Opp_Fumbles-Lost,0-0,0-0,1-1,1-0,0-0,1-1,1-1,4-3,0-0,3-0,3-3,2-1,2-1,0-0,0-0,0-0,2-1
sdg,Opp_Net Pass Yards,200,200,345,150,219,415,298,206,323,295,193,109,207,254,175,212,235
sdg,Opp_Penalties-Yards,6-70,7-45,6-45,4-34,9-79,6-43,2-15,8-40,3-36,7-46,5-41,3-14,2-10,4-30,6-29,7-49,1-5
sdg,Opp_Rush-Yds-TDs,40-233-3,34-141-2,24-130-0,37-155-2,23-53-0,21-68-0,25-54-0,20-64-0,28-98-1,28-102-1,19-86-0,32-148-0,19-76-1,26-124-2,27-98-1,33-101-0,30-118-0
sdg,Opp_Sacked-Yards,3-29,5-46,4-22,2-17,1-8,1-9,0-0,8-57,0-0,3-27,3-24,5-32,6-68,1-6,5-40,2-12,3-23
sdg,Opp_Third Down Conv.,9-15,6-13,4-14,5-14,5-14,6-11,7-13,3-17,7-14,7-14,7-15,4-14,0-12,9-16,4-14,7-17,7-19
sdg,Opp_Time of Possession,32:41,36:49,33:13,27:09,30:08,31:40,31:28,34:27,29:26,31:58,26:37,31:10,26:31,29:51,33:04,33:46,32:55
sdg,Opp_Total Yards,433,341,475,305,272,483,352,270,421,397,279,257,283,378,273,313,353
sdg,Opp_Turnovers,0,0,2,1,1,2,1,3,1,0,4,1,2,0,0,0,1
sdg,Penalties-Yards,6-38,4-43,12-94,9-80,11-85,4-43,7-53,4-39,4-44,4-54,5-42,4-20,4-26,6-65,7-64,3-48,3-57
sdg,Rush-Yds-TDs,20-70-1,21-61-0,15-30-0,23-76-2,26-96-1,26-139-1,25-73-2,21-84-2,31-200-3,24-150-0,35-197-1,24-29-0,31-106-1,28-92-0,30-105-2,24-86-0,28-123-0
sdg,Sacked-Yards,0-0,3-24,1-9,7-50,5-26,5-40,1-10,5-29,0-0,2-16,2-13,0-0,2-8,3-23,1-7,1-5,1-9
sdg,Third Down Conv.,4-9,2-14,5-11,1-11,5-13,6-14,6-14,7-16,4-13,7-14,4-13,5-15,8-17,6-12,5-10,2-11,6-16
sdg,Time of Possession,27:19,28:09,26:47,32:51,29:52,28:20,28:32,25:33,30:34,28:02,33:23,28:50,33:29,30:09,26:56,26:14,27:05
sdg,Total Yards,536,342,475,264,342,358,295,191,533,394,361,241,322,326,335,301,268
sdg,Turnovers,2,0,1,3,1,2,2,0,0,1,0,0,1,5,3,1,1
sdg,sdg Score,36,24,28,17,20,17,13,27,41,20,20,6,24,21,24,9,13
