,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
SDG,Cmp-Att-Yd-TD-INT,17-26-144-1-0,14-20-130-2-1,14-20-149-1-0,16-27-179-1-0,19-33-216-2-1,27-39-349-0-0,22-42-281-0-0,26-46-235-1-3,18-23-175-2-0,17-36-297-2-0,21-36-218-0-0,24-39-245-0-4,21-30-213-1-0,22-27-288-4-1,23-31-284-2-1,13-24-115-1-0,28-36-346-2-0,14-32-242-1-4
SDG,First Downs,11,21,10,12,17,20,15,21,19,24,19,24,20,24,23,11,26,15
SDG,Fourth Down Conv.,0-0,0-0,0-0,0-1,2-2,1-1,1-1,2-3,0-0,1-1,2-2,2-4,1-1,1-1,0-1,0-3,1-1,0-1
SDG,Fumbles-Lost,0-0,1-1,2-0,2-0,1-1,3-2,0-0,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,1-0,1-0
SDG,HomeTeam,True,False,False,True,True,False,False,True,False,True,True,True,False,False,True,True,False,False
SDG,Net Pass Yards,140,130,105,169,206,336,249,213,157,280,202,234,194,283,263,85,336,211
SDG,Opp Score,10,3,20,17,23,17,26,27,27,27,30,17,19,17,27,40,20,32
SDG,Opp_Cmp-Att-Yd-TD-INT,25-33-257-1-1,18-26-84-0-1,25-32-245-1-1,19-29-245-1-1,21-34-237-1-0,14-26-145-1-1,20-32-279-2-0,18-27-282-2-0,14-18-164-1-0,28-50-356-3-0,16-22-177-2-0,17-24-150-0-0,24-37-210-1-0,22-34-199-2-1,29-40-263-2-0,26-40-281-3-0,25-36-225-2-1,22-33-282-1-1
SDG,Opp_First Downs,14,7,20,16,22,22,19,13,23,24,19,10,20,14,22,29,16,20
SDG,Opp_Fourth Down Conv.,0-1,1-3,0-0,0-0,0-0,0-1,0-1,1-1,1-1,3-3,3-3,0-1,0-0,0-2,2-2,2-2,1-2,2-2
SDG,Opp_Fumbles-Lost,2-2,0-0,0-0,1-1,1-0,1-0,2-0,0-0,0-0,0-0,0-0,2-1,0-0,2-1,1-0,0-0,0-0,3-2
SDG,Opp_Net Pass Yards,225,69,232,228,222,145,256,246,164,342,177,131,202,174,245,281,225,261
SDG,Opp_Penalties-Yards,2-15,9-90,3-15,5-40,3-20,3-15,4-34,5-35,5-30,8-56,9-102,7-33,8-98,7-60,7-61,6-54,3-28,8-86
SDG,Opp_Rush-Yds-TDs,22-71-0,18-90-0,31-114-1,26-101-1,38-128-1,29-181-1,29-122-1,23-96-2,39-145-2,25-110-0,37-212-2,17-56-0,25-96-0,11-32-0,21-110-1,37-147-1,12-39-0,34-168-1
SDG,Opp_Sacked-Yards,4-32,2-15,2-13,3-17,3-15,0-0,3-23,6-36,0-0,3-14,1-0,5-19,3-8,3-25,2-18,0-0,0-0,3-21
SDG,Opp_Third Down Conv.,5-14,1-12,7-14,9-16,11-18,2-7,3-12,5-14,4-10,5-17,8-15,3-11,8-15,0-6,5-13,10-17,2-9,5-14
SDG,Opp_Time of Possession,31:44,23:42,33:51,29:08,37:23,25:46,31:08,25:51,30:59,34:08,30:57,24:05,29:07,23:12,32:23,40:34,21:02,34:25
SDG,Opp_Total Yards,296,159,346,329,350,326,378,342,309,452,389,187,298,206,355,428,264,429
SDG,Opp_Turnovers,3,1,1,2,0,1,0,0,0,0,0,1,0,2,0,0,1,3
SDG,Penalties-Yards,7-50,3-15,7-69,9-51,7-37,5-57,7-66,4-25,9-68,5-50,7-62,2-10,7-50,8-83,2-8,7-60,7-40,2-10
SDG,Rush-Yds-TDs,27-176-1,44-219-1,20-61-0,24-55-0,18-110-0,22-59-0,21-117-0,24-79-0,21-132-0,25-155-2,20-83-2,37-116-1,24-94-1,39-223-0,28-117-2,20-96-0,35-137-1,18-50-0
SDG,SDG Score,22,26,10,10,16,15,8,10,17,34,23,13,17,40,34,7,34,12
SDG,Sacked-Yards,1-4,1-0,5-44,2-10,2-10,3-13,5-32,6-22,7-18,2-17,4-16,1-11,3-19,1-5,2-21,4-30,1-10,4-31
SDG,Third Down Conv.,4-15,9-16,3-11,4-13,3-11,6-14,2-16,6-17,3-9,3-11,5-14,3-14,6-13,9-15,6-12,2-10,7-14,3-11
SDG,Time of Possession,28:16,36:18,26:09,30:52,22:37,34:14,28:52,34:09,29:01,25:52,29:03,35:55,30:53,36:48,27:37,19:26,38:58,25:35
SDG,Total Yards,316,349,166,224,316,395,366,292,289,435,285,350,288,506,380,181,473,261
SDG,Turnovers,0,2,0,0,2,2,0,3,0,1,0,4,0,2,1,1,0,4
