,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
0,Attendance,"15,895",,,"12,729","13,311",,"5,314","11,932","12,073",,"15,950","12,578","13,057","3,000","13,470","13,240","16,730","16,993","24,835"
0,Duration,2:53,3:19,2:58,2:42,3:27,2:53,2:58,2:56,3:20,3:04,3:03,3:00,3:15,3:30,2:53,2:56,3:01,3:26,3:35
0,Over/Under,53.5 (over),47.0 (under),55.0 (under),48.5 (under),54.5 (over),55.0 (under),46.0 (over),49.0 (under),51.5 (over),56.5 (over),56.0 (under),51.5 (under),52.0 (over),54.0 (over),54.0 (under),43.0 (over),55.5 (under),55.0 (over),54.5 (under)
0,Roof,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,Tom Brady
0,Surface,grass,matrixturf,grass,grass,grass,astroturf,grass,grass,grass,grass,grass,grass,grass,astroturf,grass,grass,grass,grass,grass
0,Vegas Line,Kansas City Chiefs -9.5,Kansas City Chiefs -8.5,Baltimore Ravens -3.5,Kansas City Chiefs -11.0,Kansas City Chiefs -11.0,Kansas City Chiefs -5.5,Kansas City Chiefs -7.0,Kansas City Chiefs -20.0,Kansas City Chiefs -10.0,Kansas City Chiefs -7.5,Kansas City Chiefs -3.5,Kansas City Chiefs -13.0,Kansas City Chiefs -7.5,Kansas City Chiefs -2.5,Kansas City Chiefs -11.0,Los Angeles Chargers -7.0,Kansas City Chiefs -7.5,Kansas City Chiefs -3.0,Kansas City Chiefs -3.0
0,Weather,"56 degrees, relative humidity 95%, wind 7 mph",,"73 degrees, relative humidity 84%, wind 8 mph","73 degrees, relative humidity 39%, wind 14 mph","80 degrees, relative humidity 57%, wind 16 mph","51 degrees, relative humidity 92%, wind 6 mph","14 degrees, relative humidity 78%, wind 11 mph","52 degrees, relative humidity 0%, wind 11 mph","71 degrees, relative humidity 63%, wind 19 mph",,"81 degrees, relative humidity 50%, wind 5 mph","41 degrees, relative humidity 70%, wind 9 mph","81 degrees, relative humidity 56%, wind 8 mph",,"49 degrees, relative humidity 44%, wind 8 mph","35 degrees, relative humidity 88%, wind 6 mph, wind chill 0","40 degrees, relative humidity 62%, wind 13 mph","40 degrees, relative humidity 70%, wind 7 mph","63 degrees, relative humidity 78%, wind 9 mph"
0,Won OT Toss,,Chargers,,,,,,,,,,,,,,,,,
0,Won Toss,Chiefs (deferred),Chargers,Chiefs (deferred),Patriots (deferred),Raiders (deferred),Chiefs (deferred),Broncos,Jets (deferred),Panthers,Chiefs (deferred),Buccaneers (deferred),Chiefs (deferred),Chiefs (deferred),Saints (deferred),Chiefs (deferred),Chargers (deferred),Browns (deferred),Chiefs (deferred),Chiefs (deferred)
