,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
0,Attendance,"63,697","73,461","65,975","68,348","73,523","73,586","71,746","73,475","73,493","70,240","73,557","66,243","76,072","70,541","73,331","73,571","62,136","73,220","73,426",
0,Duration,3:00,2:58,3:05,3:09,3:08,3:10,3:05,3:29,2:58,2:58,2:55,2:56,3:11,3:11,2:58,3:04,2:50,3:01,3:23,3:31
0,Over/Under,54.0 (over),54.0 (under),51.0 (under),46.0 (over),51.5 (over),54.0 (under),49.0 (over),45.5 (under),51.0 (under),52.5 (over),42.0 (under),53.0 (under),44.0 (over),48.5 (over),49.5 (under),45.0 (over),52.5 (under),52.5 (under),48.0 (under),51.0 (over)
0,Roof,retractable roof (closed),outdoors,retractable roof (open),outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,dome,outdoors,outdoors,retractable roof (open)
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,Patrick Mahomes
0,Surface,grass,grass,fieldturf,grass,grass,grass,grass,grass,grass,matrixturf,grass,fieldturf,grass,astroturf,grass,grass,grass,grass,grass,grass
0,Vegas Line,Kansas City Chiefs -6.5,Kansas City Chiefs -4.0,Kansas City Chiefs -5.5,Tampa Bay Buccaneers -1.0,Kansas City Chiefs -7.0,Buffalo Bills -2.5,Kansas City Chiefs -1.0,Kansas City Chiefs -12.5,Kansas City Chiefs -9.0,Kansas City Chiefs -5.0,Kansas City Chiefs -15.5,Kansas City Chiefs -2.5,Kansas City Chiefs -8.5,Kansas City Chiefs -14.5,Kansas City Chiefs -10.0,Kansas City Chiefs -12.5,Kansas City Chiefs -9.0,Kansas City Chiefs -9.0,Kansas City Chiefs -1.5,Philadelphia Eagles -1.0
0,Weather,,,,"75 degrees, relative humidity 64%, wind 2 mph","77 degrees, relative humidity 37%, wind 5 mph",,"64 degrees, relative humidity 34%, wind 10 mph","54 degrees, relative humidity 61%, wind 7 mph","33 degrees, relative humidity 56%, wind 7 mph",,"44 degrees, relative humidity 65%, wind 6 mph","57 degrees, relative humidity 77%, wind 2 mph","55 degrees, relative humidity 19%, wind 4 mph",,"12 degrees, relative humidity 61%, wind 9 mph","47 degrees, relative humidity 80%, wind 2 mph",,"36 degrees, relative humidity 92%, wind 6 mph","22 degrees, relative humidity 55%, wind 13 mph",
0,Won OT Toss,,,,,,,,Chiefs,,,,,,Chiefs,,,,,,
0,Won Toss,Cardinals (deferred),Chargers (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred),49ers,Titans (deferred),Chiefs,Chargers (deferred),Rams (deferred),Bengals,Broncos (deferred),Chiefs (deferred),Chiefs,Chiefs (deferred),Raiders (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred)
