,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
0,Attendance,"73,522","69,915","73,562","80,461","67,003","73,528","73,642","76,286","50,023","73,754","62,441","78,124","73,639","64,628","73,480","73,565","68,274",,"70,808","71,439","61,629"
0,Duration,3:02,3:08,2:55,2:55,3:00,2:50,2:55,3:00,3:04,3:04,2:48,3:05,3:16,2:53,3:02,2:56,2:59,3:07,3:02,3:09,4:06
0,Over/Under,53.5 (under),51.0 (under),48.5 (over),41.5 (over),52.5 (under),47.5 (under),48.5 (under),45.5 (under),51.5 (under),46.0 (under),43.0 (over),42.5 (over),48.5 (under),37.0 (over),40.5 (under),44.0 (under),35.5 (under),43.5 (under),45.5 (over),44.0 (under),47.5 (under)
0,Roof,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,retractable roof (closed),outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,outdoors,dome
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,,Patrick Mahomes
0,Surface,grass,grass,grass,fieldturf,sportturf,grass,grass,grass,grass,grass,grass,grass,grass,fieldturf,grass,grass,matrixturf,grass,a_turf,grass,grass
0,Vegas Line,Kansas City Chiefs -3.5,Kansas City Chiefs -3.5,Kansas City Chiefs -13.0,Kansas City Chiefs -9.5,Kansas City Chiefs -3.5,Kansas City Chiefs -10.5,Kansas City Chiefs -5.5,Kansas City Chiefs -7.0,Kansas City Chiefs -1.5,Kansas City Chiefs -2.5,Kansas City Chiefs -10.0,Kansas City Chiefs -5.5,Kansas City Chiefs -1.5,Kansas City Chiefs -8.5,Kansas City Chiefs -10.5,Kansas City Chiefs -6.5,Los Angeles Chargers -3.5,Kansas City Chiefs -4.5,Buffalo Bills -2.5,Baltimore Ravens -4.0,San Francisco 49ers -2.0
0,Weather,,"87 degrees, relative humidity 68%, wind 5 mph",,"69 degrees, relative humidity 71%, wind 5 mph",,,"72 degrees, relative humidity 35%, wind 10 mph","26 degrees, relative humidity 55%, wind 7 mph",,"45 degrees, relative humidity 90%, wind 12 mph",,"31 degrees, relative humidity 85%, wind 9 mph","45 degrees, relative humidity 43%, wind 5 mph","53 degrees, relative humidity 74%, wind 7 mph","38 degrees, relative humidity 82%, wind 11 mph","36 degrees, relative humidity 59%, wind 12 mph",,"-4 degrees, relative humidity 64%, wind 19 mph","25 degrees, relative humidity 67%, wind 11 mph","47 degrees, relative humidity 83%, wind 7 mph",
0,Won OT Toss,,,,,,,,,,,,,,,,,,,,,49ers
0,Won Toss,Chiefs (deferred),Chiefs (deferred),Bears (deferred),Jets (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred),Broncos (deferred),Dolphins (deferred),Eagles (deferred),Chiefs (deferred),Chiefs (deferred),Bills (deferred),Chiefs (deferred),Raiders (deferred),Chiefs (deferred),Chargers (deferred),Dolphins (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred)
