,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Kan,Cmp-Att-Yd-TD-INT,15-27-256-4-0,23-28-326-6-0,20-30-251-2-0,28-45-304-1-0,33-61-430-1-4,23-36-352-4-2,19-33-187-1-1,23-34-262-2-1,23-32-375-3-1,22-39-208-1-2,33-46-478-6-3,23-38-295-4-0,13-26-147-2-0,26-38-313-2-2,23-40-273-3-0,24-33-185-0-2,19-36-203-1-0,30-46-348-1-2
Kan,First Downs,19,24,26,22,29,18,15,22,27,21,27,25,24,30,22,20,15,36
Kan,Fourth Down Conv.,0-0,0-0,2-2,2-2,3-5,1-1,0-1,1-1,0-0,1-2,1-1,1-1,1-3,1-1,1-1,1-1,1-1,1-2
Kan,Fumbles-Lost,0-0,3-1,3-0,1-0,1-1,0-0,2-0,3-1,0-0,1-0,2-2,1-1,1-1,2-0,3-2,3-2,1-1,0-0
Kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kan,Kan Score,38,42,27,27,14,40,10,23,37,14,51,40,24,29,31,3,13,37
Kan,Net Pass Yards,256,322,228,304,401,352,174,222,360,166,448,295,127,288,265,165,179,348
Kan,Opp Score,28,37,38,23,30,43,45,30,21,26,54,33,27,28,38,35,31,31
Kan,Opp_Cmp-Att-Yd-TD-INT,34-51-424-3-1,39-60-452-3-0,24-38-314-3-0,21-33-245-0-1,22-38-313-0-2,24-35-340-1-0,28-39-358-4-1,24-34-303-4-1,30-43-308-2-1,21-28-249-2-0,31-49-413-4-0,29-38-285-3-0,35-53-377-2-1,24-34-243-2-0,18-29-271-3-0,16-27-310-2-1,27-41-278-0-0,16-31-295-3-0
Kan,Opp_First Downs,33,33,31,21,26,31,33,20,26,20,29,28,30,22,31,18,29,18
Kan,Opp_Fourth Down Conv.,1-1,2-2,1-1,2-3,0-0,0-1,0-1,1-1,2-3,0-0,1-1,0-0,3-3,0-0,0-0,1-3,3-4,0-0
Kan,Opp_Fumbles-Lost,2-1,1-0,2-0,0-0,0-0,2-1,2-0,0-0,0-0,1-0,3-2,4-3,1-0,2-0,1-0,0-0,3-1,1-0
Kan,Opp_Net Pass Yards,418,442,307,226,298,327,353,291,286,212,379,271,348,234,254,310,253,249
Kan,Opp_Penalties-Yards,7-45,12-90,6-48,3-25,11-105,0-0,8-49,7-50,4-20,8-63,8-60,8-74,7-53,10-66,3-20,4-50,6-54,4-28
Kan,Opp_Rush-Yds-TDs,22-123-0,13-33-2,28-77-2,22-159-2,30-126-2,38-173-3,29-198-1,18-49-0,25-102-1,23-118-1,21-76-1,28-171-1,27-94-1,17-60-2,43-210-2,27-99-2,33-180-4,12-41-1
Kan,Opp_Sacked-Yards,1-6,1-10,2-7,4-19,1-15,2-13,2-5,2-12,2-22,5-37,5-34,3-14,3-29,2-9,3-17,0-0,4-25,4-46
Kan,Opp_Third Down Conv.,3-11,3-11,7-11,2-11,4-12,7-13,9-12,3-10,5-13,4-11,5-14,9-12,6-16,6-10,7-14,5-9,4-14,4-9
Kan,Opp_Time of Possession,34:26,32:11,30:01,24:58,32:43,36:09,33:43,27:19,30:51,28:13,30:23,30:46,37:00,26:44,35:02,26:04,39:49,20:53
Kan,Opp_Total Yards,541,475,384,385,424,500,551,340,388,330,455,442,442,294,464,409,433,290
Kan,Opp_Turnovers,2,0,0,1,2,1,1,1,1,0,2,3,1,0,0,1,1,0
Kan,Penalties-Yards,6-50,12-76,14-147,10-93,5-45,5-58,8-58,10-83,11-86,3-30,13-135,11-94,11-112,7-50,8-76,4-22,10-70,6-61
Kan,Rush-Yds-TDs,27-106-0,25-127-0,29-178-1,26-142-2,17-101-1,17-94-0,19-65-0,30-189-1,24-139-2,25-94-1,20-98-0,30-174-1,40-194-1,24-119-2,19-154-0,29-127-0,14-87-0,48-176-4
Kan,Sacked-Yards,1-0,1-4,4-23,1-0,5-29,0-0,2-13,5-40,2-15,5-42,3-30,0-0,2-20,5-25,1-8,3-20,3-24,0-0
Kan,Third Down Conv.,4-10,2-5,2-9,7-15,7-16,4-10,4-11,4-12,6-10,7-14,5-10,6-13,5-12,6-10,5-12,4-10,0-9,13-19
Kan,Time of Possession,25:34,27:49,29:59,35:02,27:17,23:51,26:17,32:41,29:09,31:47,29:37,29:14,31:27,33:16,24:58,33:56,20:11,43:59
Kan,Total Yards,362,449,406,446,502,446,239,411,499,260,546,469,321,407,419,292,266,524
Kan,Turnovers,0,1,0,0,5,2,1,2,1,2,5,1,1,2,2,4,1,2
