,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
Kan,Cmp-Att-Yd-TD-INT,20-32-253-1-1,27-47-302-2-0,31-42-385-4-0,20-37-190-1-3,22-31-347-3-1,21-26-225-2-0,17-25-213-1-0,18-30-133-0-0,37-50-338-2-0,35-46-352-2-1,37-50-462-3-0,15-28-151-2-2,24-34-393-2-3,26-47-254-3-0,27-35-300-2-0,22-31-302-3-0,23-37-204-1-1,28-48-287-2-1,26-49-270-0-2
Kan,First Downs,21,23,29,21,22,27,17,13,30,36,26,19,22,34,23,29,21,24,22
Kan,Fourth Down Conv.,1-1,1-1,0-2,2-3,2-2,1-1,0-0,2-2,3-3,2-2,0-0,0-1,1-1,0-0,0-0,0-1,3-3,2-2,1-3
Kan,Fumbles-Lost,0-0,0-0,1-1,1-1,0-0,2-1,2-1,1-1,1-0,0-0,1-1,0-0,2-1,3-1,4-1,0-0,1-1,0-0,1-0
Kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kan,Kan Score,20,23,34,10,40,26,43,9,31,35,27,16,33,32,14,38,17,24,9
Kan,Net Pass Yards,242,289,385,172,346,221,185,128,331,352,456,151,354,232,277,281,196,234,243
Kan,Opp Score,34,20,20,26,32,17,16,35,33,31,24,22,27,29,17,21,22,38,31
Kan,Opp_Cmp-Att-Yd-TD-INT,24-32-211-3-0,22-33-311-1-1,15-28-97-1-0,19-29-236-2-0,22-43-340-2-1,14-27-122-2-1,24-40-254-0-2,35-47-446-5-0,30-45-372-4-0,23-31-275-3-1,27-41-345-3-2,25-40-318-1-0,28-49-316-2-1,15-34-234-3-1,24-45-278-2-2,23-32-218-2-0,27-38-321-1-1,29-38-325-3-0,21-29-201-3-0
Kan,Opp_First Downs,28,28,16,19,21,20,24,25,24,25,20,25,27,15,23,18,24,29,26
Kan,Opp_Fourth Down Conv.,1-1,1-2,0-1,0-0,1-2,0-0,0-2,1-3,0-0,0-0,1-1,0-0,0-0,1-1,1-2,0-1,2-2,1-1,0-1
Kan,Opp_Fumbles-Lost,0-0,1-0,3-1,2-1,0-0,0-0,4-2,2-0,1-1,0-0,0-0,0-0,1-0,0-0,0-0,3-1,0-0,1-1,1-0
Kan,Opp_Net Pass Yards,203,296,70,229,333,122,234,446,361,275,342,313,287,225,278,217,315,325,195
Kan,Opp_Penalties-Yards,1-5,6-40,6-45,4-38,10-94,4-39,5-34,7-61,8-75,8-72,8-57,5-44,3-35,10-93,6-41,5-69,7-55,3-32,4-39
Kan,Opp_Rush-Yds-TDs,34-166-1,44-183-1,21-158-0,25-94-0,20-80-2,23-84-0,33-177-2,20-50-0,11-36-0,26-89-1,13-75-0,22-134-0,24-80-1,17-60-1,21-117-0,17-51-1,24-123-1,25-114-2,33-145-1
Kan,Opp_Sacked-Yards,1-8,2-15,4-27,1-7,3-7,0-0,3-20,0-0,2-11,0-0,1-3,1-5,4-29,1-9,0-0,1-1,1-6,1-0,1-6
Kan,Opp_Third Down Conv.,7-13,6-13,3-9,4-11,6-14,4-9,5-14,7-13,6-11,6-9,3-9,3-10,7-15,1-11,5-13,6-9,5-10,6-10,4-12
Kan,Opp_Time of Possession,34:47,39:27,26:04,28:26,24:42,22:15,33:24,31:30,21:59,27:55,23:13,29:29,31:30,18:46,26:48,25:11,30:37,31:09,31:23
Kan,Opp_Total Yards,369,479,228,323,413,206,411,496,397,364,417,447,367,285,395,268,438,439,340
Kan,Opp_Turnovers,0,1,1,1,1,1,4,0,1,1,2,0,1,1,2,1,1,1,0
Kan,Penalties-Yards,5-37,11-90,6-38,4-43,8-59,8-68,1-15,3-25,12-82,10-89,10-82,4-31,8-56,5-54,7-45,4-23,3-25,4-38,11-120
Kan,Rush-Yds-TDs,22-118-2,22-125-0,31-132-1,35-185-0,35-144-2,46-245-1,22-101-2,25-93-0,24-104-2,27-108-3,20-87-0,33-179-0,24-94-1,41-179-1,23-90-0,35-135-2,22-112-1,18-129-0,17-107-0
Kan,Sacked-Yards,4-11,1-13,0-0,2-18,1-1,1-4,4-28,1-5,2-7,0-0,2-6,0-0,3-39,4-22,4-23,3-21,1-8,4-53,3-27
Kan,Third Down Conv.,4-10,7-15,10-13,6-15,7-14,9-14,0-8,2-12,7-16,5-9,6-12,7-13,5-11,9-18,6-12,3-7,6-13,5-14,3-13
Kan,Time of Possession,25:13,28:38,33:56,31:34,35:18,37:45,26:36,28:30,38:01,32:05,36:47,30:31,28:30,41:14,33:12,34:49,29:23,28:51,28:37
Kan,Total Yards,360,414,517,357,490,466,286,221,435,460,543,330,448,411,367,416,308,363,350
Kan,Turnovers,1,0,1,4,1,1,1,1,0,1,1,2,4,1,1,0,2,1,2
