,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
Kan,Cmp-Att-Yd-TD-INT,30-39-360-5-0,33-48-334-3-1,20-36-262-1-1,23-37-249-3-1,19-30-241-2-0,27-40-329-3-0,25-36-423-3-1,5-16-80-0-0,29-40-259-2-0,20-34-329-3-0,14-24-106-1-2,16-27-223-1-0,28-42-352-3-3,36-41-336-2-0,25-40-215-1-1,26-38-222-1-1,18-26-202-1-0,24-39-217-1-1,26-41-270-1-2,21-27-182-3-0
Kan,First Downs,33,21,20,27,18,26,24,9,17,23,13,20,20,33,19,21,21,20,18,21
Kan,Fourth Down Conv.,1-1,4-4,1-2,0-1,1-2,1-3,0-0,0-1,2-2,0-0,3-3,2-2,0-0,0-0,3-6,1-2,0-0,0-0,1-1,0-0
Kan,Fumbles-Lost,5-1,0-0,2-1,0-0,1-0,1-1,2-1,0-0,0-0,2-1,0-0,1-1,0-0,3-2,0-0,1-1,0-0,1-1,0-0,1-0
Kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kan,Kan Score,44,24,17,41,29,24,44,17,17,30,10,24,34,30,10,24,31,20,20,38
Kan,Net Pass Yards,360,326,257,228,223,318,417,57,240,322,82,211,342,313,200,190,181,205,238,182
Kan,Opp Score,21,27,20,31,30,20,23,20,27,27,26,27,28,24,24,27,13,27,23,35
Kan,Opp_Cmp-Att-Yd-TD-INT,24-38-205-2-0,24-35-235-2-0,27-37-222-2-0,39-52-385-3-0,29-43-292-4-0,25-40-338-2-2,29-46-369-2-2,43-68-446-1-1,26-35-331-4-1,23-30-280-2-1,27-42-320-1-1,25-31-286-2-0,27-44-263-4-2,14-29-129-2-0,16-28-224-2-0,29-42-328-3-1,22-36-219-1-1,27-37-218-3-0,29-43-326-2-0,27-38-304-1-0
Kan,Opp_First Downs,18,15,19,27,29,23,25,29,26,22,29,26,17,18,14,22,21,23,23,25
Kan,Opp_Fourth Down Conv.,3-4,0-0,1-3,0-0,0-0,1-1,0-0,2-2,1-1,0-0,0-0,0-1,1-2,0-0,0-1,1-1,0-2,0-0,1-1,2-2
Kan,Opp_Fumbles-Lost,3-0,0-0,2-1,2-2,0-0,1-0,1-1,0-0,3-2,1-1,1-1,0-0,1-0,1-1,0-0,1-1,2-1,0-0,2-1,2-1
Kan,Opp_Net Pass Yards,179,226,177,373,265,319,343,422,331,250,320,279,214,125,220,328,180,218,315,302
Kan,Opp_Penalties-Yards,5-49,6-54,4-34,5-40,5-72,5-58,10-80,10-69,0-0,4-25,3-25,6-65,6-38,4-33,5-39,5-31,6-47,3-30,4-55,6-33
Kan,Opp_Rush-Yds-TDs,22-103-1,18-93-0,27-82-0,6-3-1,23-103-0,18-68-0,21-101-0,19-77-1,27-155-0,30-115-1,30-117-1,34-152-1,19-106-0,28-94-1,22-77-1,16-46-1,25-99-0,30-144-0,20-42-0,32-115-3
Kan,Opp_Sacked-Yards,3-26,1-9,5-45,1-12,3-27,3-19,5-26,4-24,0-0,5-30,0-0,1-7,6-49,1-4,1-4,0-0,6-39,0-0,3-11,2-2
Kan,Opp_Third Down Conv.,3-12,4-12,6-15,6-10,7-12,4-11,8-14,8-19,7-10,8-14,5-11,7-11,6-17,4-10,3-11,2-9,8-16,6-12,7-14,11-18
Kan,Opp_Time of Possession,25:18,26:23,33:32,21:22,31:07,28:32,33:45,41:28,28:21,32:19,32:26,32:06,29:47,27:25,24:58,26:54,34:13,35:01,32:51,35:47
Kan,Opp_Total Yards,282,319,259,376,368,387,444,499,486,365,437,431,320,219,297,374,279,362,357,417
Kan,Opp_Turnovers,0,0,1,2,0,2,3,1,3,2,2,0,2,1,0,2,2,0,1,1
Kan,Penalties-Yards,3-25,3-25,6-45,4-32,11-99,7-35,8-84,8-51,5-30,4-54,5-25,4-35,4-70,10-102,6-35,3-23,5-43,5-40,9-71,3-14
Kan,Rush-Yds-TDs,27-128-1,24-75-0,23-58-1,37-189-2,24-155-1,31-125-0,21-112-3,29-172-2,16-75-0,27-163-0,28-116-0,25-138-2,23-89-0,33-189-2,31-133-0,24-117-2,28-168-3,19-144-1,17-71-1,26-158-1
Kan,Sacked-Yards,0-0,2-8,1-5,3-21,2-18,1-11,1-6,3-23,5-19,1-7,3-24,2-12,2-10,2-23,2-15,4-32,2-21,2-12,5-32,0-0
Kan,Third Down Conv.,5-8,5-16,3-10,12-17,5-12,4-11,6-9,1-11,4-14,5-10,5-13,6-11,6-12,6-12,2-14,3-12,5-9,7-13,6-14,4-8
Kan,Time of Possession,34:42,33:37,26:28,38:38,28:53,31:28,26:15,26:23,31:39,27:41,27:34,27:54,30:13,37:22,35:02,33:06,25:47,24:59,27:09,24:13
Kan,Total Yards,488,401,315,417,378,443,529,229,315,485,198,349,431,502,333,307,349,349,309,340
Kan,Turnovers,1,1,2,1,0,1,2,0,0,1,2,1,3,2,1,2,0,2,2,0
