,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
Kan,Cmp-Att-Yd-TD-INT,22-35-253-1-0,29-41-305-2-1,11-22-99-1-1,18-30-203-1-2,31-41-281-2-0,13-22-95-1-2,17-30-259-1-2,24-38-240-0-2,21-34-193-1-0,14-22-150-0-1,27-34-298-2-0,21-33-210-1-1,23-42-233-1-1,28-38-309-3-2,9-21-62-0-0,19-33-197-1-0,15-30-154-0-1,20-39-199-1-1,17-23-215-2-0,30-39-241-1-0,24-39-276-2-0
Kan,First Downs,19,19,11,24,21,14,16,18,20,16,23,25,21,19,12,20,12,13,21,22,23
Kan,Fourth Down Conv.,1-3,2-2,1-2,0-0,0-0,0-1,1-1,1-3,0-1,0-0,0-0,0-1,1-1,0-1,0-0,1-3,1-1,3-6,0-0,1-2,1-1
Kan,Fumbles-Lost,2-1,4-2,1-1,1-0,0-0,1-1,0-0,3-3,3-1,1-0,0-0,0-0,1-0,2-0,1-0,0-0,1-0,0-0,2-1,2-0,2-2
Kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kan,Kan Score,21,17,10,23,27,8,17,9,14,21,31,19,20,27,20,17,13,7,27,17,22
Kan,Net Pass Yards,250,298,87,197,266,82,219,212,175,124,291,189,209,283,48,159,145,188,215,230,272
Kan,Opp Score,20,9,41,20,20,19,31,24,21,17,17,27,17,17,14,25,12,26,24,10,25
Kan,Opp_Cmp-Att-Yd-TD-INT,21-39-226-2-1,23-42-215-0-0,27-38-303-3-2,28-39-245-2-0,29-47-284-2-0,30-41-306-1-1,32-42-424-4-1,12-19-114-3-0,20-30-185-2-0,24-43-177-2-1,23-34-248-1-0,25-36-267-3-0,25-43-271-1-1,23-31-180-1-1,28-45-246-1-1,21-29-245-1-0,28-47-258-0-0,23-41-262-1-0,26-39-186-1-0,20-37-272-1-1,34-46-333-2-1
Kan,Opp_First Downs,17,18,31,18,24,22,25,19,16,23,16,24,21,10,19,15,22,25,27,16,24
Kan,Opp_Fourth Down Conv.,0-1,0-2,0-0,0-0,4-5,0-1,0-0,0-1,0-0,2-3,0-2,1-1,0-1,1-2,3-5,1-1,2-3,1-1,2-3,2-2,1-1
Kan,Opp_Fumbles-Lost,0-0,3-1,0-0,2-1,2-1,2-0,1-1,2-1,1-1,1-1,0-0,0-0,1-1,2-0,2-1,1-1,2-1,3-1,2-0,2-2,5-1
Kan,Opp_Net Pass Yards,226,197,303,228,259,293,415,87,174,168,235,253,264,154,223,241,235,262,186,255,325
Kan,Opp_Penalties-Yards,3-25,2-10,3-15,7-42,4-51,7-84,6-43,6-35,9-69,7-55,0-0,7-63,7-45,5-45,5-44,3-39,1-5,5-45,5-28,8-95,6-55
Kan,Opp_Rush-Yds-TDs,23-90-0,18-74-0,37-153-2,16-108-0,18-70-0,27-96-0,21-68-0,40-153-0,24-93-0,30-168-0,23-123-1,25-129-0,18-82-1,16-52-1,25-85-1,22-132-0,30-118-0,34-147-1,39-182-2,16-81-0,30-130-0
Kan,Opp_Sacked-Yards,0-0,4-18,0-0,2-17,3-25,2-13,1-9,6-27,2-11,1-9,1-13,2-14,1-7,4-26,4-23,2-4,3-23,0-0,0-0,4-17,3-8
Kan,Opp_Third Down Conv.,5-14,3-12,10-14,5-12,6-14,4-13,6-11,6-14,3-10,8-17,7-14,5-10,6-12,2-12,5-16,3-12,7-19,6-15,7-14,3-11,9-19
Kan,Opp_Time of Possession,27:22,28:11,36:13,27:51,28:01,35:49,31:40,33:47,29:36,32:01,29:15,30:32,24:39,28:46,34:18,25:43,32:55,34:05,37:03,22:30,36:26
Kan,Opp_Total Yards,316,271,456,336,329,389,483,240,267,336,358,382,346,206,308,373,353,409,368,336,455
Kan,Opp_Turnovers,1,1,2,1,1,1,2,1,1,2,0,0,2,1,2,1,1,1,0,3,2
Kan,Penalties-Yards,4-63,12-94,6-32,5-46,10-86,3-34,4-43,5-38,6-45,7-61,4-40,5-50,4-35,2-15,4-20,3-20,3-57,8-62,2-15,3-30,6-40
Kan,Rush-Yds-TDs,34-118-1,22-101-0,26-116-0,35-204-1,21-67-1,23-115-0,26-139-1,16-62-0,21-117-1,27-114-3,23-69-2,25-148-1,28-118-1,20-43-0,29-157-0,32-104-1,28-123-0,18-76-0,24-146-1,32-89-1,31-110-0
Kan,Sacked-Yards,1-3,1-7,3-12,1-6,2-15,4-13,5-40,3-28,3-18,5-26,1-7,3-21,3-24,3-26,2-14,6-38,1-9,2-11,0-0,2-11,1-4
Kan,Third Down Conv.,5-15,4-13,4-12,7-12,9-15,4-10,6-14,3-10,3-12,3-11,5-11,7-11,6-15,5-13,3-12,8-16,6-16,1-12,1-5,8-18,3-12
Kan,Time of Possession,32:38,31:49,23:47,32:09,31:59,24:11,28:20,26:13,30:24,27:59,30:45,29:28,35:21,31:14,25:42,34:17,27:05,25:55,22:57,37:30,38:31
Kan,Total Yards,368,399,203,401,333,197,358,274,292,238,360,337,327,326,205,263,268,264,361,319,382
Kan,Turnovers,1,3,2,2,0,3,2,5,1,1,0,1,1,2,0,0,1,1,1,0,2
