,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
0,Attendance,"73,611","73,558","72,441","70,240","73,592","71,309","62,533","73,574","73,704","71,112","73,216","73,627","73,571","67,983","73,600","67,311",,"73,458","73,487","65,719"
0,Duration,3:10,3:01,2:58,2:53,3:04,3:02,2:56,3:10,2:48,3:01,3:11,3:14,2:59,3:08,3:04,2:52,2:39,2:54,3:10,3:36
0,Over/Under,47.0 (push),48.0 (over),46.5 (under),41.0 (under),43.0 (under),47.0 (under),41.5 (over),45.5 (over),42.0 (under),46.0 (over),43.0 (over),42.5 (under),43.0 (under),41.5 (under),42.0 (over),44.0 (under),40.0 (under),41.5 (under),48.5 (over),48.5 (over)
0,Roof,outdoors,outdoors,retractable roof (open),dome,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,Jalen Hurts
0,Surface,grass,grass,fieldturf,matrixturf,grass,grass,grass,grass,grass,a_turf,grass,grass,grass,grass,grass,grass,grass,grass,grass,sportturf
0,Vegas Line,Kansas City Chiefs -3.0,Kansas City Chiefs -6.0,Kansas City Chiefs -3.0,Kansas City Chiefs -7.0,Kansas City Chiefs -5.5,San Francisco 49ers -1.5,Kansas City Chiefs -10.0,Kansas City Chiefs -9.0,Kansas City Chiefs -7.5,Buffalo Bills -1.5,Kansas City Chiefs -11.0,Kansas City Chiefs -13.0,Kansas City Chiefs -4.0,Kansas City Chiefs -4.0,Kansas City Chiefs -3.5,Kansas City Chiefs -2.5,Denver Broncos -10.5,Kansas City Chiefs -9.0,Kansas City Chiefs -1.5,Kansas City Chiefs -1.0
0,Weather,"67 degrees, relative humidity 53%, wind 8 mph","89 degrees, relative humidity 44%, wind 8 mph",,,"70 degrees, relative humidity 27%, wind 1 mph","78 degrees, relative humidity 24%, wind 3 mph",,"63 degrees, relative humidity 90%, wind 6 mph","57 degrees, relative humidity 58%, wind 12 mph","50 degrees, relative humidity 62%, wind 3 mph","61 degrees, relative humidity 52%, wind 5 mph","37 degrees, relative humidity 40%, wind 5 mph","50 degrees, relative humidity 80%, wind 10 mph","40 degrees, relative humidity 87%, wind 18 mph","30 degrees, relative humidity 60%, wind 5 mph","39 degrees, relative humidity 82%, wind 2 mph","28 degrees, relative humidity 69%, wind 5 mph","23 degrees, relative humidity 43%, wind 17 mph","31 degrees, relative humidity 45%, wind 8 mph",
0,Won OT Toss,,,,,,,,Chiefs,,,,,,,,,,,,
0,Won Toss,Chiefs (deferred),Chiefs (deferred),Chiefs (deferred),Chargers (deferred),Saints,Chiefs (deferred),Raiders (deferred),Buccaneers (deferred),Chiefs (deferred),Bills (deferred),Panthers (deferred),Raiders (deferred),Chargers (deferred),Browns (deferred),Chiefs (deferred),Chiefs (deferred),Chiefs (deferred),Texans (deferred),Chiefs (deferred),Chiefs (deferred)
