,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
KAN,Cmp-Att-Yd-TD-INT,28-35-368-4-0,21-28-251-1-0,16-21-155-2-0,27-37-293-1-0,29-37-324-3-0,19-34-246-1-0,25-36-342-3-0,14-32-202-1-1,25-34-263-2-1,27-41-230-0-3,23-36-199-1-1,19-33-366-4-0,20-34-268-0-1,23-30-231-2-0,25-39-304-1-0,22-36-284-0-1,24-33-264-2-0
KAN,First Downs,26,16,16,29,29,12,19,16,17,22,14,17,23,20,23,23,19
KAN,Fourth Down Conv.,0-0,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-1,1-1,0-1,0-1,0-0,1-1,0-1,1-1,0-1
KAN,Fumbles-Lost,2-1,0-0,2-0,2-0,1-0,1-0,1-0,1-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,2-1,0-0
KAN,HomeTeam,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,True
KAN,KAN Score,42,27,24,29,42,13,30,29,17,9,10,31,26,30,29,27,21
KAN,Net Pass Yards,352,232,122,261,323,223,331,197,255,229,181,362,243,223,301,269,256
KAN,Opp Score,27,20,10,20,34,19,31,19,28,12,16,38,15,13,13,24,22
KAN,Opp_Cmp-Att-Yd-TD-INT,16-36-267-0-0,25-46-333-2-1,20-40-237-0-3,14-24-220-2-0,16-31-261-5-0,17-25-252-1-1,29-52-417-3-0,19-36-198-1-3,21-33-249-2-0,19-36-205-0-1,19-29-183-1-0,26-36-331-1-0,24-41-211-1-2,20-36-227-1-3,19-38-286-1-0,21-31-254-2-2,19-31-205-2-1
KAN,Opp_First Downs,25,27,24,15,20,23,32,23,24,20,17,30,15,20,15,22,23
KAN,Opp_Fourth Down Conv.,0-2,0-0,0-0,1-1,1-1,0-0,1-1,0-1,0-0,2-3,0-0,1-1,1-1,1-2,0-2,1-2,0-0
KAN,Opp_Fumbles-Lost,1-0,3-1,0-0,3-1,1-1,1-0,0-0,2-2,0-0,1-0,1-0,0-0,1-1,1-1,3-2,1-1,2-1
KAN,Opp_Net Pass Yards,247,299,226,220,248,245,417,187,244,205,164,331,198,209,286,226,195
KAN,Opp_Penalties-Yards,6-55,4-30,8-61,7-44,7-59,6-57,10-97,7-53,5-65,5-48,6-50,5-40,7-39,9-61,11-75,4-30,8-50
KAN,Opp_Rush-Yds-TDs,35-124-3,17-107-0,26-104-1,26-111-0,23-144-0,37-194-1,21-88-1,31-177-1,31-131-2,32-112-1,37-104-0,49-157-3,11-70-1,22-98-1,16-59-0,29-110-0,31-202-1
KAN,Opp_Sacked-Yards,3-20,6-34,2-11,0-0,3-13,1-7,0-0,3-11,1-5,0-0,2-19,0-0,3-13,2-18,0-0,5-28,2-10
KAN,Opp_Third Down Conv.,5-15,8-15,5-13,4-11,3-10,4-11,6-13,5-13,7-12,3-13,6-17,13-20,5-13,4-11,0-8,5-12,8-13
KAN,Opp_Time of Possession,29:46,30:49,29:34,22:51,21:43,36:39,29:24,31:23,31:17,30:50,33:18,42:49,23:20,26:39,22:07,30:57,32:28
KAN,Opp_Total Yards,371,406,330,331,392,439,505,364,375,317,268,488,268,307,345,336,397
KAN,Opp_Turnovers,0,2,3,1,1,1,0,5,0,1,0,0,3,4,2,3,2
KAN,Penalties-Yards,15-139,5-40,13-122,3-15,6-64,7-48,8-108,7-69,8-52,9-87,6-50,8-30,7-69,7-71,5-40,4-40,8-68
KAN,Rush-Yds-TDs,27-185-2,19-112-2,25-189-1,31-168-1,35-127-0,15-28-0,23-94-0,26-79-0,19-68-0,29-134-0,19-55-0,11-112-0,33-165-2,32-174-1,34-103-1,27-110-2,16-69-1
KAN,Sacked-Yards,3-16,4-19,5-33,4-32,1-1,3-23,1-11,1-5,2-8,1-1,2-18,2-4,4-25,1-8,1-3,2-15,4-8
KAN,Third Down Conv.,4-11,5-12,4-12,8-13,9-16,3-11,8-15,2-12,4-11,3-11,2-13,3-8,5-13,6-14,8-16,4-11,4-11
KAN,Time of Possession,30:14,29:11,30:26,37:09,38:17,23:21,30:36,28:37,28:43,37:16,26:42,17:11,36:40,33:21,37:53,29:03,27:32
KAN,Total Yards,537,344,311,429,450,251,425,276,323,363,236,474,408,397,404,379,325
KAN,Turnovers,1,0,0,0,0,0,0,2,1,3,1,0,1,0,0,2,0
