,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
kan,Cmp-Att-Yd-TD-INT,26-41-273-1-0,23-36-258-2-0,26-39-217-2-1,19-29-245-1-1,20-35-182-2-1,16-27-154-0-2,27-38-262-2-1,23-31-200-2-0,22-30-215-2-0,23-33-196-3-2,27-37-269-3-0,23-35-340-2-0,21-30-213-1-0,21-40-179-2-0,23-39-244-2-2,29-38-320-3-0,10-17-98-0-0,19-28-245-0-0,22-34-237-2-0,21-32-257-3-2
kan,First Downs,25,18,22,16,14,22,23,17,16,19,27,20,20,18,20,20,5,18,22,12
kan,Fourth Down Conv.,1-2,2-2,1-1,0-0,0-2,1-2,0-0,0-0,0-0,0-1,1-1,0-1,1-1,0-1,0-0,1-1,1-2,0-1,4-6,0-1
kan,Fumbles-Lost,1-1,3-1,0-0,1-1,0-0,0-0,1-0,0-0,1-0,0-0,1-0,2-1,1-0,0-0,1-0,1-0,2-0,1-0,4-0,2-1
kan,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kan,Net Pass Yards,267,246,217,228,174,145,252,189,182,181,226,318,194,179,227,320,71,187,227,226
kan,Opp Score,27,26,17,10,26,18,20,30,16,30,27,19,19,7,27,10,38,23,32,40
kan,Opp_Cmp-Att-Yd-TD-INT,20-28-291-1-1,18-25-151-2-2,20-29-230-1-1,16-27-179-1-0,28-39-331-0-1,17-31-212-0-3,24-30-209-2-0,34-44-291-3-0,28-42-266-1-0,27-40-262-1-1,21-35-263-1-0,26-46-306-1-0,24-37-210-1-0,20-34-164-0-4,28-41-260-1-0,23-37-205-0-1,26-29-321-4-0,16-25-177-1-0,18-26-245-1-0,17-23-221-2-1
kan,Opp_First Downs,21,19,19,12,28,19,15,28,19,24,21,18,20,16,25,23,29,14,28,21
kan,Opp_Fourth Down Conv.,0-0,2-2,1-3,0-1,1-1,1-1,1-2,1-1,2-2,1-2,2-2,0-0,0-0,0-1,1-2,0-1,2-2,1-2,1-1,0-1
kan,Opp_Fumbles-Lost,0-0,1-1,2-0,2-0,1-0,1-0,1-1,1-1,0-0,0-0,1-0,1-0,0-0,3-2,0-0,2-1,0-0,2-0,1-1,0-0
kan,Opp_Net Pass Yards,281,137,229,169,321,209,195,260,243,262,249,266,202,127,251,162,321,162,233,210
kan,Opp_Penalties-Yards,6-45,4-44,6-44,9-51,6-55,6-40,5-32,3-30,3-10,3-24,9-53,7-40,8-98,6-45,2-20,4-25,5-41,4-29,5-21,8-59
kan,Opp_Rush-Yds-TDs,20-72-2,32-149-0,25-82-1,24-55-0,39-139-2,24-101-2,21-33-0,35-124-1,19-57-0,31-104-3,21-85-1,16-63-0,25-96-0,21-139-1,28-124-2,31-202-1,43-158-1,22-50-1,35-135-3,45-135-1
kan,Opp_Sacked-Yards,2-10,2-14,2-1,2-10,2-10,1-3,5-14,4-31,4-23,0-0,2-14,5-40,3-8,5-37,1-9,5-43,0-0,3-15,2-12,2-11
kan,Opp_Third Down Conv.,4-9,1-8,2-9,4-13,6-14,2-11,6-13,12-18,7-16,9-15,5-13,7-16,8-15,4-12,7-13,8-16,10-14,4-11,5-9,3-12
kan,Opp_Time of Possession,26:17,28:31,25:03,30:52,39:56,24:56,27:30,40:42,33:21,34:03,27:44,28:48,29:07,28:23,33:52,31:22,41:49,26:34,29:28,36:58
kan,Opp_Total Yards,353,286,311,224,460,310,228,384,300,366,334,329,298,266,375,364,479,212,368,345
kan,Opp_Turnovers,1,3,1,0,1,3,1,1,0,1,0,0,0,6,0,2,0,0,1,1
kan,Penalties-Yards,7-64,8-79,6-61,5-40,5-70,4-48,8-55,6-50,6-35,6-57,10-91,9-101,7-50,4-30,6-45,9-90,3-15,8-82,6-48,7-75
kan,Rush-Yds-TDs,32-185-1,22-74-0,33-128-0,26-101-1,15-46-0,39-184-4,29-82-1,19-95-1,23-78-0,17-78-0,26-165-0,25-116-0,24-94-1,35-132-1,17-84-0,20-69-1,11-27-0,29-149-1,32-147-2,11-49-0
kan,Sacked-Yards,1-6,3-12,0-0,3-17,1-8,2-9,1-10,2-11,2-33,2-15,5-43,3-22,3-19,0-0,2-17,0-0,5-27,8-58,2-10,6-31
kan,Third Down Conv.,7-14,4-13,6-14,9-16,4-10,8-14,12-16,5-11,7-13,5-10,8-13,3-12,6-13,7-18,7-13,3-10,1-9,10-17,5-14,3-11
kan,Time of Possession,33:43,31:29,34:57,29:08,20:04,35:04,32:30,25:10,26:39,25:57,32:16,31:12,30:53,31:37,26:08,28:38,18:11,33:26,30:32,23:02
kan,Total Yards,452,320,345,329,220,329,334,284,260,259,391,434,288,311,311,389,98,336,374,275
kan,Turnovers,1,1,1,2,1,2,1,0,0,2,0,1,0,0,2,0,0,0,0,3
kan,kan Score,20,25,22,17,13,28,27,24,14,21,30,17,17,21,19,29,0,14,29,22
