,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
CLT,CLT Score,9,16,28,18,23,22,27,23,20,20,20,10,7,25,16,13
CLT,Cmp-Att-Yd-TD-INT,11-21-179-0-2,19-36-332-1-1,22-47-242-2-3,16-29-157-1-1,29-46-353-2-0,21-37-212-1-0,18-27-330-1-0,25-39-233-2-1,20-30-308-2-0,19-31-236-2-1,17-25-184-1-2,21-36-174-1-2,11-22-69-1-0,17-26-261-2-1,16-33-215-1-0,14-24-137-0-1
CLT,First Downs,10,17,25,16,23,18,23,19,17,18,19,17,16,23,17,15
CLT,Fourth Down Conv.,0-1,0-1,0-0,0-0,2-2,0-1,0-1,0-1,0-0,0-0,0-0,4-4,3-4,1-3,1-2,0-0
CLT,Fumbles-Lost,3-1,1-0,1-0,2-1,2-0,1-1,3-2,0-0,1-1,1-0,0-0,1-0,0-0,2-0,0-0,0-0
CLT,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLT,Net Pass Yards,150,306,235,139,336,212,330,216,279,228,184,149,64,251,203,124
CLT,Opp Score,46,13,31,46,26,36,0,24,14,17,16,30,13,13,23,22
CLT,Opp_Cmp-Att-Yd-TD-INT,22-30-318-1-0,20-37-216-0-1,17-24-259-1-0,21-26-295-2-2,22-34-314-0-1,23-32-306-1-1,22-37-200-0-0,17-29-243-2-0,19-44-219-1-0,14-24-222-2-1,17-29-196-0-0,27-36-338-2-0,7-16-92-1-1,17-30-158-0-0,29-38-237-2-0,15-25-114-1-0
CLT,Opp_First Downs,19,18,16,22,25,25,15,17,19,13,15,22,14,15,23,20
CLT,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,0-0,1-1,0-3,0-0,0-1,0-0,0-0,1-1,0-2,0-1,1-1,0-0
CLT,Opp_Fumbles-Lost,2-1,3-0,1-1,0-0,3-0,0-0,2-0,4-2,2-1,0-0,2-1,1-0,2-1,1-0,2-0,0-0
CLT,Opp_Net Pass Yards,310,190,243,283,288,305,136,218,194,196,165,330,92,158,220,104
CLT,Opp_Penalties-Yards,7-50,8-70,11-99,6-45,7-62,4-45,5-55,5-54,7-74,9-82,9-67,6-55,2-10,4-39,5-25,4-20
CLT,Opp_Rush-Yds-TDs,33-63-2,29-76-1,36-92-3,33-194-2,35-159-2,34-168-2,20-96-0,21-58-0,21-94-0,29-71-0,24-89-1,27-96-1,51-227-1,22-70-1,32-103-0,36-146-1
CLT,Opp_Sacked-Yards,1-8,4-26,3-16,3-12,4-26,1-1,10-64,3-25,2-25,3-26,8-31,1-8,0-0,1-0,1-17,1-10
CLT,Opp_Third Down Conv.,5-14,8-18,8-17,10-15,8-16,6-13,5-15,4-11,4-14,6-15,6-14,9-15,10-18,6-13,6-14,6-13
CLT,Opp_Time of Possession,34:25,33:09,33:27,32:12,37:17,35:53,27:13,26:47,29:01,30:02,31:22,33:47,32:25,23:09,35:48,31:13
CLT,Opp_Total Yards,373,266,335,477,447,473,232,276,288,267,254,426,319,228,323,250
CLT,Opp_Turnovers,1,1,1,2,1,1,0,2,1,1,1,0,2,0,0,0
CLT,Penalties-Yards,4-20,6-41,10-113,5-31,10-77,5-51,4-34,7-45,6-68,9-70,2-15,4-31,2-20,12-80,2-19,7-34
CLT,Rush-Yds-TDs,24-75-1,25-83-0,21-111-2,25-98-1,22-66-0,19-85-0,37-188-2,28-115-0,28-92-0,30-88-0,28-92-1,26-141-0,46-163-0,46-211-1,24-93-0,27-85-1
CLT,Sacked-Yards,4-29,4-26,1-7,3-18,2-17,1-0,1-0,4-17,3-29,1-8,0-0,4-25,1-5,2-10,2-12,2-13
CLT,Third Down Conv.,0-10,6-15,5-13,6-14,4-14,2-9,8-14,8-16,4-14,5-13,3-8,5-15,4-16,7-15,5-13,5-11
CLT,Time of Possession,25:35,28:49,26:33,27:48,31:05,24:07,32:47,33:13,30:59,29:58,28:38,26:13,36:02,36:51,24:12,28:47
CLT,Total Yards,225,389,346,237,402,297,518,331,371,316,276,290,227,462,296,209
CLT,Turnovers,3,1,3,2,0,1,2,1,1,1,2,2,0,1,0,1
