,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
clt,Cmp-Att-Yd-TD-INT,21-28-243-2-1,21-31-179-2-2,25-41-164-1-0,29-42-375-2-1,38-59-365-3-2,23-43-301-4-3,20-31-175-0-3,22-31-239-3-0,27-39-324-2-0,21-29-203-1-2,17-25-204-2-0,33-52-248-0-1,27-41-399-2-1,24-39-206-0-1,25-33-309-1-1,24-35-285-3-1,19-32-222-2-1,19-36-203-1-0
clt,First Downs,19,17,14,30,26,24,15,28,24,16,14,19,24,19,22,24,26,15
clt,Fourth Down Conv.,0-0,0-0,1-2,1-1,2-3,0-1,0-1,0-0,1-1,0-0,0-0,0-3,0-0,1-5,0-0,1-1,0-0,1-1
clt,Fumbles-Lost,2-1,1-0,0-0,0-0,1-1,1-1,2-2,0-0,1-1,1-0,2-1,1-1,1-0,1-0,0-0,1-1,0-0,1-1
clt,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
clt,Net Pass Yards,229,177,141,347,355,301,168,239,324,176,201,224,386,180,309,278,222,179
clt,Opp Score,23,9,20,34,38,42,37,28,29,38,27,6,21,23,28,17,7,31
clt,Opp_Cmp-Att-Yd-TD-INT,39-53-319-2-1,33-46-292-0-0,25-37-255-1-1,40-62-464-4-0,34-44-341-3-2,24-30-280-2-1,17-23-156-4-0,21-28-244-3-0,21-29-285-3-1,24-32-295-3-0,31-38-347-3-2,18-24-150-0-0,27-38-267-1-0,16-27-192-0-0,31-47-357-2-1,18-29-165-1-2,29-49-235-1-1,27-41-278-0-0
clt,Opp_First Downs,24,20,26,28,26,18,22,19,17,26,26,11,25,25,27,11,20,29
clt,Opp_Fourth Down Conv.,0-0,1-2,0-0,0-1,0-0,0-0,1-2,1-2,0-0,0-0,2-2,0-0,2-2,0-0,0-0,0-1,2-5,3-4
clt,Opp_Fumbles-Lost,1-1,2-1,4-1,3-2,0-0,3-1,1-0,1-1,0-0,2-0,2-1,2-1,0-0,2-1,0-0,1-1,0-0,3-1
clt,Opp_Net Pass Yards,305,269,227,437,341,267,156,244,285,295,337,132,226,192,353,165,217,253
clt,Opp_Penalties-Yards,7-91,7-90,10-110,10-85,7-50,7-49,4-35,10-79,7-45,7-60,7-52,8-74,7-35,6-55,6-29,9-75,8-67,6-54
clt,Opp_Rush-Yds-TDs,22-75-0,22-65-0,35-152-1,17-41-0,23-97-2,36-107-0,37-220-1,19-103-1,23-81-1,28-102-2,26-118-0,27-79-0,25-89-2,39-178-2,16-49-2,16-93-0,16-105-0,33-180-4
clt,Opp_Sacked-Yards,2-14,3-23,5-28,4-27,0-0,2-13,0-0,0-0,0-0,0-0,1-10,3-18,5-41,0-0,1-4,0-0,3-18,4-25
clt,Opp_Third Down Conv.,11-17,5-15,6-14,10-17,5-10,6-15,7-13,4-8,6-11,5-10,4-12,6-15,5-15,8-12,7-11,1-9,3-13,4-14
clt,Opp_Time of Possession,32:48,33:20,40:12,29:56,27:34,37:02,33:19,23:30,24:50,31:16,31:54,29:33,31:57,31:48,28:19,19:47,28:46,39:49
clt,Opp_Total Yards,380,334,379,478,438,374,376,347,366,397,455,211,315,370,402,258,322,433
clt,Opp_Turnovers,2,1,2,2,2,2,0,1,1,0,3,1,0,1,1,3,1,1
clt,Penalties-Yards,8-94,6-26,11-77,10-54,4-35,8-66,7-59,10-77,8-61,8-112,10-75,6-65,9-59,9-74,6-24,12-96,2-10,10-70
clt,Rush-Yds-TDs,20-101-1,28-104-1,13-68-0,35-119-1,21-84-0,23-127-0,22-135-0,40-222-2,34-91-1,27-91-0,25-113-1,16-41-0,23-50-1,22-112-0,29-83-2,36-158-1,35-200-1,14-87-0
clt,Sacked-Yards,2-14,1-2,2-23,7-28,1-10,0-0,2-7,0-0,0-0,5-27,1-3,3-24,2-13,3-26,0-0,1-7,0-0,3-24
clt,Third Down Conv.,4-8,9-16,2-12,8-16,7-15,5-12,2-9,9-13,9-17,6-14,4-11,5-18,4-12,4-12,7-12,5-13,9-14,0-9
clt,Time of Possession,27:12,26:40,19:48,40:04,32:26,22:58,26:41,36:30,35:10,28:44,28:06,30:27,28:03,28:12,31:41,40:13,31:14,20:11
clt,Total Yards,330,281,209,466,439,428,303,461,415,267,314,265,436,292,392,436,422,266
clt,Turnovers,2,2,0,1,3,4,5,0,1,2,1,2,1,1,1,2,1,1
clt,clt Score,34,21,16,37,24,34,5,42,26,10,24,0,24,0,27,33,21,13
