,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
clt,Cmp-Att-Yd-TD-INT,32-50-352-1-1,16-30-195-0-3,20-36-262-1-1,17-21-137-2-0,26-41-251-0-2,20-22-165-1-0,33-44-243-1-2,23-31-279-1-1,15-29-103-0-1,21-28-222-1-0,18-25-190-1-0,20-28-174-0-0,21-37-233-2-3,19-33-182-1-0,24-31-235-0-1,17-27-141-1-1,24-40-311-3-2
clt,First Downs,33,9,20,19,19,25,17,20,8,20,18,22,18,20,17,14,18
clt,Fourth Down Conv.,0-1,0-2,1-2,0-0,0-0,1-2,1-1,2-3,0-2,0-0,1-2,0-0,3-3,0-1,1-1,2-2,2-2
clt,Fumbles-Lost,5-1,2-0,2-1,0-0,4-0,2-1,1-1,0-0,0-0,2-1,4-2,0-0,2-2,3-1,2-1,0-0,2-1
clt,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
clt,Net Pass Yards,340,164,257,116,200,136,227,266,43,208,173,151,203,170,213,124,301
clt,Opp Score,20,24,20,17,9,34,19,16,26,20,16,17,54,39,3,38,31
clt,Opp_Cmp-Att-Yd-TD-INT,23-37-240-2-0,25-30-235-2-0,27-37-222-2-0,27-37-356-2-1,21-39-274-0-2,42-58-389-3-0,13-20-132-0-0,17-23-201-0-0,20-30-147-1-0,24-38-248-2-0,23-32-213-0-0,22-34-199-1-1,20-30-170-3-1,34-55-460-4-2,17-29-143-0-3,19-24-177-2-0,23-35-209-2-2
clt,Opp_First Downs,20,21,19,21,18,29,16,15,11,18,14,19,23,32,10,26,25
clt,Opp_Fourth Down Conv.,0-0,2-3,1-3,0-0,1-2,0-0,0-0,0-0,0-0,1-3,0-1,2-3,1-1,0-3,1-4,0-1,2-3
clt,Opp_Fumbles-Lost,1-1,0-0,2-1,3-2,2-0,2-0,1-1,2-2,2-1,0-0,2-1,3-1,0-0,1-1,0-0,1-1,4-1
clt,Opp_Net Pass Yards,222,235,177,327,250,389,116,189,133,232,185,180,165,426,104,177,202
clt,Opp_Penalties-Yards,6-40,3-19,4-34,7-50,7-49,7-52,2-15,3-25,4-35,10-74,8-90,2-20,3-43,9-74,2-11,3-20,2-10
clt,Opp_Rush-Yds-TDs,28-77-0,37-96-1,27-82-0,23-38-0,28-125-0,16-45-1,35-138-0,29-135-1,28-70-0,24-77-1,26-99-1,25-110-1,34-220-4,24-92-1,14-69-0,37-217-2,33-196-1
clt,Opp_Sacked-Yards,3-18,0-0,5-45,3-29,4-24,0-0,2-16,2-12,4-14,2-16,4-28,3-19,1-5,7-34,7-39,0-0,2-7
clt,Opp_Third Down Conv.,5-15,6-15,6-15,7-13,2-15,10-15,5-12,5-12,6-17,5-13,5-15,3-12,7-13,5-15,0-10,4-7,4-13
clt,Opp_Time of Possession,30:23,38:15,33:32,33:57,32:39,28:49,31:33,29:20,31:06,30:59,30:38,25:38,28:41,33:20,26:06,31:36,33:53
clt,Opp_Total Yards,299,331,259,365,375,434,254,324,203,309,284,290,385,518,173,394,398
clt,Opp_Turnovers,1,0,1,3,2,0,1,2,1,0,1,2,1,3,3,1,3
clt,Penalties-Yards,7-89,5-30,6-45,6-40,8-64,4-44,4-28,3-52,2-15,4-25,7-55,3-19,6-88,11-103,6-60,7-60,7-41
clt,Rush-Yds-TDs,38-177-1,13-54-0,23-58-1,28-127-1,26-106-0,33-243-3,17-65-0,28-96-1,22-78-0,30-207-2,33-141-1,36-172-2,30-106-0,43-171-0,32-101-2,27-128-0,23-59-0
clt,Sacked-Yards,2-12,5-31,1-5,3-21,6-51,4-29,3-16,2-13,9-60,1-14,3-17,3-23,3-30,3-12,4-22,2-17,1-10
clt,Third Down Conv.,6-15,2-10,3-10,5-12,4-16,5-10,4-13,2-12,0-14,6-11,5-12,7-14,4-13,6-19,8-18,3-12,5-14
clt,Time of Possession,39:37,21:45,26:28,26:03,34:48,31:11,28:27,30:40,28:54,29:01,29:22,34:22,31:19,36:37,33:54,28:24,26:07
clt,Total Yards,517,218,315,243,306,379,292,362,121,415,314,323,309,341,314,252,360
clt,Turnovers,2,3,2,0,2,1,3,1,1,1,2,0,5,1,2,1,3
clt,clt Score,20,0,17,24,12,27,10,17,3,25,17,24,19,36,20,10,32
