,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
was,Cmp-Att-Yd-TD-INT,21-30-255-2-0,21-31-179-2-2,27-45-265-2-0,23-39-275-0-1,27-40-275-2-1,22-35-273-1-0,20-32-178-1-0,26-38-350-4-1,19-27-178-1-0,16-24-208-1-2,24-38-268-2-3,17-25-150-0-1,14-27-197-3-1,16-25-151-1-0,13-23-153-1-2,29-34-243-3-1
was,First Downs,30,17,19,18,22,17,20,25,15,19,18,10,19,16,17,25
was,Fourth Down Conv.,1-1,0-0,0-2,2-4,0-1,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1
was,Fumbles-Lost,3-1,1-0,2-1,1-1,3-2,3-2,1-1,0-0,0-0,2-1,2-0,2-0,0-0,2-0,0-0,1-0
was,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
was,Net Pass Yards,247,177,240,244,269,250,178,337,170,181,251,131,175,136,131,231
was,Opp Score,6,9,31,43,23,20,13,14,3,21,31,28,16,13,25,0
was,Opp_Cmp-Att-Yd-TD-INT,20-34-153-0-1,33-46-292-0-0,12-20-220-2-1,26-29-363-3-0,21-36-163-2-0,14-25-178-1-0,30-47-316-1-2,30-46-306-1-1,29-41-406-0-2,18-39-189-1-2,22-31-289-2-0,27-39-306-2-1,17-30-233-1-3,9-17-57-0-1,17-25-211-1-0,13-28-98-0-1
was,Opp_First Downs,14,20,20,27,18,15,18,20,29,23,20,28,12,11,20,8
was,Opp_Fourth Down Conv.,0-1,1-2,0-0,0-0,1-2,0-1,3-4,2-2,0-0,1-1,0-1,0-1,0-1,0-0,0-0,2-4
was,Opp_Fumbles-Lost,1-1,2-1,0-0,2-1,1-0,1-0,0-0,0-0,4-2,1-0,1-0,3-0,1-0,1-1,0-0,1-0
was,Opp_Net Pass Yards,145,269,220,349,156,175,266,287,398,154,258,306,204,20,192,68
was,Opp_Penalties-Yards,9-67,7-90,6-66,4-45,5-43,5-35,11-102,10-147,5-50,6-43,4-30,5-38,15-135,8-55,2-10,2-15
was,Opp_Rush-Yds-TDs,15-68-1,22-65-0,35-166-2,32-98-3,28-132-0,32-130-0,14-37-0,15-79-1,24-103-0,29-124-2,34-146-2,33-130-1,22-84-1,26-172-0,27-99-1,12-21-0
was,Opp_Sacked-Yards,2-8,3-23,0-0,2-14,3-7,1-3,7-50,3-19,2-8,5-35,4-31,0-0,5-29,6-37,3-19,4-30
was,Opp_Third Down Conv.,1-8,5-15,5-11,5-9,7-16,3-12,2-14,5-13,6-10,6-15,6-14,7-13,2-11,5-13,5-11,0-9
was,Opp_Time of Possession,21:52,33:20,29:05,33:17,35:24,30:55,26:22,27:04,31:12,30:57,33:23,39:19,29:51,26:54,26:57,16:41
was,Opp_Total Yards,213,334,386,447,288,305,303,366,501,278,404,436,288,192,291,89
was,Opp_Turnovers,2,1,1,1,0,0,2,1,4,2,0,1,3,2,0,1
was,Penalties-Yards,9-63,6-26,11-115,6-38,8-55,8-65,8-90,7-50,8-52,7-40,4-25,10-69,2-18,6-48,8-49,5-25
was,Rush-Yds-TDs,42-182-1,28-104-1,17-100-0,18-39-2,18-81-0,22-73-1,33-182-1,24-154-1,25-116-0,31-139-0,20-80-1,14-104-1,34-227-1,33-109-0,34-161-0,34-129-0
was,Sacked-Yards,3-8,1-2,4-25,3-31,1-6,4-23,0-0,2-13,3-8,3-27,3-17,3-19,2-22,3-15,2-22,3-12
was,Third Down Conv.,6-13,9-16,6-14,4-13,3-9,5-14,6-15,10-13,5-13,4-11,4-11,2-10,4-13,7-15,8-14,8-14
was,Time of Possession,38:08,26:40,30:55,26:43,24:36,29:05,33:38,32:56,28:48,29:03,26:37,20:41,30:09,33:06,33:03,43:19
was,Total Yards,429,281,340,283,350,323,360,491,286,320,331,235,402,245,292,360
was,Turnovers,1,2,1,2,3,2,1,1,0,3,3,1,1,0,2,1
was,was Score,24,21,17,19,17,17,20,38,16,23,23,13,40,16,16,24
