,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
was,Cmp-Att-Yd-TD-INT,24-42-275-1-1,30-46-337-3-1,22-35-340-3-0,25-42-170-1-2,15-25-181-1-0,12-22-99-0-0,23-35-194-2-0,23-31-279-1-1,23-41-262-2-1,17-29-211-0-1,15-27-191-0-0,15-25-174-1-1,27-41-275-2-0,21-32-160-0-0,25-34-289-3-1,9-18-169-3-0,14-38-128-1-1
was,First Downs,24,21,21,17,15,14,16,20,17,25,20,18,25,19,21,16,10
was,Fourth Down Conv.,0-1,1-2,2-3,0-2,1-1,0-0,0-1,2-3,0-0,1-1,2-2,0-1,1-1,1-1,0-2,1-2,1-3
was,Fumbles-Lost,1-0,1-0,1-0,1-0,0-0,1-0,3-1,0-0,0-0,2-1,1-0,0-0,3-1,1-0,1-1,0-0,2-1
was,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
was,Net Pass Yards,260,308,328,155,136,86,194,266,245,178,191,165,246,160,270,155,118
was,Opp Score,28,36,8,25,17,7,23,16,17,21,10,19,20,12,37,10,26
was,Opp_Cmp-Att-Yd-TD-INT,27-41-313-4-2,20-34-256-4-0,25-43-211-0-0,15-27-223-2-0,25-38-359-2-1,14-27-190-1-1,20-33-201-2-1,17-23-201-0-0,15-28-149-2-1,17-26-175-2-1,19-33-169-0-2,14-23-138-2-1,25-31-200-1-0,17-29-249-1-0,15-22-234-2-1,16-28-143-0-3,11-19-169-1-1
was,Opp_First Downs,26,17,20,15,17,20,22,15,18,18,11,20,20,20,14,17,16
was,Opp_Fourth Down Conv.,0-0,0-2,0-2,0-0,1-2,1-4,0-0,0-0,0-1,0-0,4-4,1-1,0-0,1-2,1-2,2-4,0-0
was,Opp_Fumbles-Lost,1-1,0-0,2-1,0-0,3-0,2-1,0-0,2-2,0-0,3-3,0-0,0-0,2-1,4-2,0-0,0-0,1-0
was,Opp_Net Pass Yards,305,234,153,217,342,154,198,189,126,170,127,138,182,228,218,124,158
was,Opp_Penalties-Yards,6-63,1-5,4-48,4-20,9-71,4-42,7-54,3-25,3-26,7-75,2-15,4-28,4-34,6-40,4-25,5-24,2-10
was,Opp_Rush-Yds-TDs,28-85-0,24-191-0,22-87-1,29-62-0,17-43-0,37-237-0,38-166-0,29-135-1,30-137-0,20-94-1,16-21-1,37-176-0,30-134-1,26-159-0,26-153-2,37-136-1,41-151-1
was,Opp_Sacked-Yards,1-8,3-22,9-58,1-6,3-17,5-36,1-3,2-12,3-23,1-5,5-42,0-0,4-18,3-21,3-16,3-19,3-11
was,Opp_Third Down Conv.,7-10,4-13,6-17,5-15,1-11,5-13,7-16,5-12,3-10,5-8,2-13,5-12,4-13,1-10,4-11,7-16,3-14
was,Opp_Time of Possession,33:33,27:57,32:54,26:54,27:20,32:12,37:07,29:20,30:47,19:36,25:04,33:09,28:49,29:30,26:25,33:32,36:12
was,Opp_Total Yards,390,425,240,279,385,391,364,324,263,264,148,314,316,387,371,260,309
was,Opp_Turnovers,3,0,1,0,1,2,1,2,1,4,2,1,1,2,1,3,1
was,Penalties-Yards,13-90,2-17,5-52,11-136,8-69,7-36,9-69,3-52,5-42,5-58,5-36,2-20,7-55,5-30,6-51,3-20,6-74
was,Rush-Yds-TDs,18-123-1,21-88-1,30-72-0,27-142-0,32-105-2,28-128-1,12-38-0,28-96-1,22-56-0,49-152-2,40-153-1,29-167-0,36-165-0,30-128-1,33-79-0,30-146-0,27-64-0
was,Sacked-Yards,2-15,5-29,3-12,2-15,5-45,3-13,0-0,2-13,2-17,3-33,0-0,1-9,5-29,0-0,2-19,5-14,1-10
was,Third Down Conv.,3-12,7-15,5-15,5-15,4-14,2-11,0-6,2-12,7-16,12-21,3-13,4-10,3-14,2-10,7-13,4-11,4-18
was,Time of Possession,26:27,32:03,27:06,33:06,32:40,27:48,22:53,30:40,29:13,40:24,34:56,26:51,41:11,30:30,33:35,26:28,23:48
was,Total Yards,383,396,400,297,241,214,232,362,301,330,344,332,411,288,349,301,182
was,Turnovers,1,1,0,2,0,0,1,1,1,2,0,1,1,0,2,0,2
was,was Score,22,27,24,10,21,12,21,17,20,32,23,13,20,20,20,24,6
