,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
was,Cmp-Att-Yd-TD-INT,17-24-184-0-0,16-28-178-2-0,21-23-254-2-0,26-30-233-1-1,16-29-141-1-0,24-35-269-2-0,13-18-89-0-2,10-24-131-0-0,15-22-209-2-0,14-29-195-3-1,22-32-191-1-1,24-32-247-2-0,18-37-212-2-0,25-31-226-2-0,15-28-154-1-1,19-35-223-1-1,21-31-199-2-0,24-35-268-2-0,22-31-299-2-0,30-49-278-1-1
was,First Downs,22,18,22,29,12,18,10,15,21,21,18,19,12,23,20,23,18,22,27,22
was,Fourth Down Conv.,1-1,1-2,3-3,1-1,2-3,1-1,0-1,0-1,2-2,1-2,1-2,0-0,0-1,1-1,3-3,2-2,1-1,3-5,3-4,4-6
was,Fumbles-Lost,3-0,1-1,1-0,0-0,1-1,0-0,1-0,1-1,0-0,1-1,1-0,3-1,3-2,1-0,2-1,3-0,1-1,0-0,1-0,3-3
was,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
was,Net Pass Yards,161,175,248,233,108,253,85,105,209,172,171,241,210,189,127,211,156,268,299,251
was,Opp Score,37,21,33,14,34,30,40,18,22,27,26,26,42,19,36,30,19,20,31,55
was,Opp_Cmp-Att-Yd-TD-INT,24-30-289-4-0,23-29-226-0-0,29-38-324-3-0,16-22-142-1-0,15-28-236-1-1,20-26-323-1-1,20-25-211-2-0,21-38-326-1-0,20-26-174-2-0,17-34-202-0-0,18-28-221-0-0,25-38-275-2-2,25-30-206-3-1,15-32-205-2-1,24-39-258-5-2,24-36-227-3-1,20-34-244-0-0,15-18-185-2-0,25-43-336-1-4,20-28-246-1-0
was,Opp_First Downs,22,22,30,17,19,28,26,23,25,19,23,19,29,17,23,29,23,19,30,28
was,Opp_Fourth Down Conv.,0-0,1-1,1-1,2-3,2-2,0-0,0-0,0-0,2-2,0-1,0-0,0-0,1-1,1-1,2-3,3-3,1-2,0-0,2-2,1-1
was,Opp_Fumbles-Lost,0-0,0-0,0-0,3-1,2-1,1-0,1-0,1-0,1-1,2-1,1-0,2-1,1-0,0-0,3-3,1-0,0-0,1-1,1-1,0-0
was,Opp_Net Pass Yards,280,210,312,115,219,308,207,313,162,182,206,267,196,176,255,196,228,183,320,230
was,Opp_Penalties-Yards,7-46,10-69,5-16,4-82,5-31,3-33,8-55,5-30,4-51,5-41,4-49,8-78,7-65,4-36,6-93,13-108,11-67,7-65,5-30,5-30
was,Opp_Rush-Yds-TDs,30-112-0,35-215-0,20-124-1,32-181-1,34-215-3,37-176-2,37-214-1,32-168-0,31-164-1,22-60-3,40-228-3,25-145-1,45-267-3,16-69-0,24-113-0,36-216-1,39-150-1,25-101-0,23-201-3,36-229-7
was,Opp_Sacked-Yards,1-9,5-16,2-12,4-27,3-17,2-15,1-4,2-13,2-12,3-20,2-15,4-8,2-10,3-29,1-3,5-31,2-16,1-2,2-16,2-16
was,Opp_Third Down Conv.,9-13,7-14,6-10,4-11,8-17,6-10,5-10,5-15,6-11,5-14,9-16,4-12,9-14,3-11,7-13,6-13,7-17,5-9,3-9,5-10
was,Opp_Time of Possession,33:41,37:32,26:54,26:38,31:18,36:08,35:05,32:16,32:00,23:49,33:04,24:48,40:13,19:10,23:42,41:32,37:03,24:34,26:01,30:31
was,Opp_Total Yards,392,425,436,296,434,484,421,481,326,242,434,412,463,245,368,412,378,284,521,459
was,Opp_Turnovers,0,0,0,1,2,1,0,0,1,1,0,3,1,1,5,1,0,1,5,0
was,Penalties-Yards,7-51,5-20,3-28,5-49,9-52,6-46,6-59,8-60,5-52,5-49,4-25,4-20,12-93,9-84,10-91,4-25,5-55,5-39,4-25,9-47
was,Rush-Yds-TDs,30-138-3,22-129-1,32-108-3,37-216-4,23-104-0,18-52-0,23-95-1,33-202-2,38-149-1,43-140-1,28-93-1,28-91-0,11-35-0,35-137-0,39-211-2,23-126-2,18-113-1,33-82-0,42-182-3,25-99-1
was,Sacked-Yards,2-23,1-3,2-6,0-0,7-33,3-16,2-4,3-26,0-0,3-23,3-20,1-6,2-2,8-37,4-27,2-12,6-43,1-0,0-0,3-27
was,Third Down Conv.,2-8,4-8,5-9,9-12,1-13,4-12,3-10,2-12,5-12,7-16,3-12,2-11,5-12,9-17,3-16,2-10,6-13,8-15,4-12,7-17
was,Time of Possession,26:19,22:28,33:06,33:22,28:42,23:52,24:55,27:44,28:00,36:11,26:56,35:12,19:47,40:50,36:18,25:46,22:57,35:26,33:59,29:29
was,Total Yards,299,304,356,449,212,305,180,307,358,312,264,332,245,326,338,337,269,350,481,350
was,Turnovers,0,1,0,1,1,0,2,1,0,2,1,1,2,0,2,1,1,0,0,4
was,was Score,20,18,38,42,13,23,7,15,27,28,18,34,19,20,33,24,23,23,45,23
