,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
dal,Cmp-Att-Yd-TD-INT,33-48-323-1-0,26-30-269-3-1,20-41-229-0-0,22-33-223-0-1,22-34-238-0-0,28-40-278-0-0,16-26-191-1-1,22-35-257-3-1,23-32-220-2-0,29-46-444-3-0,19-33-212-0-1,20-25-259-2-0,27-49-334-1-0,34-52-289-2-1,25-44-265-0-0,18-37-206-1-1
dal,First Downs,25,25,17,15,24,26,16,24,27,26,16,22,22,23,16,13
dal,Fourth Down Conv.,1-3,0-0,1-3,0-1,0-0,0-1,1-2,0-0,1-1,0-0,0-1,2-2,2-3,1-2,1-2,0-3
dal,Fumbles-Lost,3-2,0-0,3-1,2-2,0-0,0-0,4-3,2-1,0-0,1-1,2-0,1-0,0-0,0-0,1-1,1-1
dal,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dal,Net Pass Yards,319,261,211,212,215,270,168,257,211,434,212,232,326,267,257,183
dal,Opp Score,35,21,31,12,24,24,37,18,24,27,13,15,31,44,17,47
dal,Opp_Cmp-Att-Yd-TD-INT,25-32-405-4-0,26-37-221-2-0,19-32-246-2-1,23-30-193-0-1,27-44-463-2-3,23-32-338-2-1,21-27-239-1-1,26-41-210-1-1,28-47-397-3-1,15-26-209-2-0,17-37-190-1-0,32-49-355-2-1,23-31-244-3-1,15-23-212-2-0,31-40-319-1-0,23-33-303-4-0
dal,Opp_First Downs,23,19,28,18,32,20,23,20,24,19,17,32,24,25,23,22
dal,Opp_Fourth Down Conv.,0-0,2-3,0-0,0-0,0-0,0-0,1-1,1-1,0-2,0-0,0-1,1-3,0-0,1-1,0-1,1-1
dal,Opp_Fumbles-Lost,0-0,0-0,0-0,0-0,1-0,0-0,1-0,2-2,0-0,0-0,1-0,3-1,3-1,1-0,1-0,1-1
dal,Opp_Net Pass Yards,405,208,241,149,441,326,213,171,393,191,181,323,231,212,313,294
dal,Opp_Penalties-Yards,6-47,6-44,8-100,9-80,11-124,8-105,6-65,8-71,5-39,11-89,6-56,5-66,4-30,4-16,4-30,10-81
dal,Opp_Rush-Yds-TDs,30-89-1,17-47-1,34-235-2,27-117-0,21-122-1,20-56-1,36-189-3,22-100-0,22-50-0,28-121-2,27-101-0,19-103-0,34-151-1,45-263-3,30-118-1,36-223-1
dal,Opp_Sacked-Yards,0-0,1-13,1-5,5-44,3-22,2-12,3-26,5-39,1-4,3-18,2-9,4-32,2-13,0-0,1-6,3-9
dal,Opp_Third Down Conv.,6-10,2-9,5-10,6-14,2-8,2-10,8-14,5-16,9-15,6-13,3-14,7-13,7-12,7-13,6-14,8-15
dal,Opp_Time of Possession,32:18,26:38,30:56,36:04,23:17,27:57,32:22,31:56,26:33,29:06,29:38,26:42,32:18,36:06,36:12,34:15
dal,Opp_Total Yards,494,255,476,266,563,382,402,271,443,312,282,426,382,475,431,517
dal,Opp_Turnovers,0,0,1,1,3,1,1,3,1,0,0,2,2,0,0,1
dal,Penalties-Yards,8-70,8-67,5-35,6-64,9-78,9-68,5-40,10-104,5-35,6-45,7-50,7-53,6-52,5-29,2-20,2-10
dal,Rush-Yds-TDs,17-151-1,34-213-1,24-72-0,20-45-1,29-120-4,34-129-2,28-115-0,30-172-0,36-153-1,24-75-1,26-109-0,34-124-1,22-82-2,14-22-1,16-54-0,20-88-0
dal,Sacked-Yards,1-4,1-8,3-18,1-11,2-23,1-8,3-23,0-0,1-9,1-10,0-0,4-27,2-8,2-22,2-8,2-23
dal,Third Down Conv.,2-11,7-11,3-15,4-11,3-12,10-17,3-9,4-11,8-14,8-14,2-13,6-14,6-15,4-12,3-14,1-12
dal,Time of Possession,27:42,33:22,29:04,23:56,36:43,32:03,27:38,28:04,33:27,30:54,30:22,33:18,27:42,23:54,23:48,25:45
dal,Total Yards,470,474,283,257,335,399,283,429,364,509,321,356,408,289,311,271
dal,Turnovers,2,1,1,3,0,0,4,2,0,1,1,0,0,1,1,2
dal,dal Score,17,31,6,10,34,22,10,37,28,35,9,26,24,21,9,16
