,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
dal,Cmp-Att-Yd-TD-INT,18-27-212-1-1,24-36-199-1-0,21-31-215-1-0,25-42-170-1-2,10-16-102-0-0,18-38-181-1-3,21-26-228-0-2,18-24-156-2-0,27-46-265-3-2,26-30-307-2-0,21-35-228-1-0,21-37-233-2-3,20-27-213-1-1,23-30-256-3-2,24-40-355-2-2,29-41-282-2-2,14-38-128-1-1,25-33-305-4-0,23-37-206-1-2
dal,First Downs,18,19,23,17,10,21,18,22,24,23,21,18,16,24,25,26,10,26,15
dal,Fourth Down Conv.,0-0,1-1,1-1,0-2,0-0,0-1,0-0,2-3,2-3,0-0,0-2,3-3,0-2,0-0,2-3,0-0,1-3,2-2,2-2
dal,Fumbles-Lost,0-0,1-0,0-0,1-0,2-0,0-0,5-3,1-1,1-0,1-0,1-0,2-2,1-1,0-0,3-2,1-1,2-1,0-0,0-0
dal,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dal,Net Pass Yards,195,165,215,155,76,181,195,131,262,307,210,203,213,243,355,274,118,297,206
dal,Opp Score,3,20,16,25,10,26,24,49,31,3,28,54,27,40,40,13,26,14,19
dal,Opp_Cmp-Att-Yd-TD-INT,21-42-198-0-1,19-31-235-1-0,20-37-196-0-1,15-27-223-2-0,29-44-320-1-1,15-25-155-2-0,19-25-207-1-0,21-27-250-2-1,14-20-224-3-0,17-30-159-0-0,21-30-261-2-2,20-30-170-3-1,24-39-284-1-2,27-42-318-4-1,27-35-347-3-1,20-39-232-1-1,11-19-169-1-1,35-66-351-2-1,19-29-214-0-0
dal,Opp_First Downs,12,19,22,15,14,22,21,24,20,16,26,23,21,26,25,17,16,24,21
dal,Opp_Fourth Down Conv.,2-5,1-1,0-1,0-0,1-1,1-1,0-0,0-0,1-1,0-0,0-1,1-1,1-2,0-0,1-1,1-2,0-0,1-3,0-0
dal,Opp_Fumbles-Lost,0-0,1-1,0-0,0-0,2-2,1-0,2-1,0-0,3-2,2-1,1-0,0-0,2-1,2-2,1-0,2-1,1-0,2-0,1-1
dal,Opp_Net Pass Yards,173,230,169,217,285,132,191,242,208,110,261,165,277,311,304,220,158,334,199
dal,Opp_Penalties-Yards,10-73,5-45,8-57,4-20,3-25,2-10,7-55,6-41,6-40,7-59,13-86,3-43,3-10,4-37,4-36,10-124,2-10,3-34,3-30
dal,Opp_Rush-Yds-TDs,18-71-0,27-107-1,25-167-1,29-62-0,15-38-0,39-136-1,32-139-2,29-200-4,39-207-1,17-73-0,39-169-2,34-220-4,31-127-2,27-192-0,31-115-1,24-97-0,41-151-1,12-52-0,32-113-1
dal,Opp_Sacked-Yards,4-25,1-5,5-27,1-6,5-35,4-23,2-16,1-8,2-16,7-49,0-0,1-5,1-7,1-7,6-43,2-12,3-11,2-17,2-15
dal,Opp_Third Down Conv.,3-15,3-10,3-11,5-15,6-17,6-14,3-9,9-11,6-13,1-11,7-11,7-13,8-15,8-12,8-15,7-16,3-14,10-18,7-14
dal,Opp_Time of Possession,27:18,26:12,27:18,26:54,30:30,34:30,28:46,23:56,35:55,22:36,34:09,28:41,26:46,27:42,32:18,26:34,36:12,25:26,32:53
dal,Opp_Total Yards,244,337,336,279,323,268,330,442,415,183,430,385,404,503,419,317,309,386,312
dal,Opp_Turnovers,1,1,1,0,3,0,1,1,2,1,2,1,3,3,1,2,1,1,1
dal,Penalties-Yards,5-25,7-35,8-70,11-136,5-42,10-72,8-59,6-45,9-83,6-39,7-66,6-88,4-25,2-18,2-10,3-35,6-74,2-15,7-50
dal,Rush-Yds-TDs,33-152-0,25-89-0,30-176-1,27-142-0,34-163-1,26-134-1,25-117-0,43-240-2,31-159-1,40-151-2,21-90-1,30-106-0,37-114-1,41-154-1,29-87-1,32-87-1,27-64-0,35-128-1,22-76-0
dal,Sacked-Yards,2-17,6-34,0-0,2-15,3-26,0-0,5-33,4-25,2-3,0-0,3-18,3-30,0-0,3-13,0-0,1-8,1-10,1-8,1-0
dal,Third Down Conv.,5-14,6-17,5-13,5-15,5-15,4-10,3-9,6-15,5-15,12-17,3-11,4-13,7-15,9-16,8-14,8-13,4-18,7-13,5-15
dal,Time of Possession,32:42,33:48,32:42,33:06,29:30,25:30,31:14,36:04,30:59,37:24,25:51,31:19,33:14,35:26,27:42,33:26,23:48,34:34,27:07
dal,Total Yards,347,254,391,297,239,315,312,371,421,458,300,309,327,397,442,361,182,425,282
dal,Turnovers,1,0,0,2,0,3,5,1,2,0,0,5,2,2,4,3,2,0,2
dal,dal Score,19,17,23,10,22,17,6,29,28,40,20,19,23,34,34,27,6,31,12
