,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
dal,Cmp-Att-Yd-TD-INT,13-25-143-0-0,12-27-170-1-3,25-40-249-1-1,16-30-207-0-2,16-26-161-1-3,21-30-272-1-0,18-32-204-1-1,29-44-374-3-0,14-27-86-2-1,27-41-204-2-0,28-44-300-0-1,23-41-334-3-1,19-28-225-0-0,21-34-134-0-1,20-32-253-2-0,20-35-302-1-2,34-40-309-4-1,16-21-272-3-0
dal,First Downs,18,12,26,10,8,20,15,27,16,23,23,25,17,14,19,21,31,22
dal,Fourth Down Conv.,1-2,1-1,0-1,0-2,0-1,1-2,1-2,3-5,2-3,0-0,0-3,0-3,1-2,1-2,2-2,2-3,1-1,1-1
dal,Fumbles-Lost,1-0,1-1,0-0,1-1,1-1,1-1,0-0,2-1,0-0,0-0,0-0,0-0,3-3,0-0,1-1,0-0,0-0,0-0
dal,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dal,Net Pass Yards,143,151,231,200,140,246,188,333,61,204,268,334,218,106,242,295,309,272
dal,Opp Score,0,30,28,38,42,17,43,28,49,10,45,41,33,31,22,20,10,32
dal,Opp_Cmp-Att-Yd-TD-INT,17-30-110-0-2,31-38-255-2-0,17-21-189-1-0,30-36-281-1-0,18-25-253-4-0,22-37-227-2-1,27-34-307-4-1,17-23-207-2-0,33-44-472-4-2,16-29-123-1-1,22-32-331-4-0,29-41-299-3-0,24-39-271-2-0,7-15-94-1-0,24-37-293-1-0,26-38-345-2-1,20-28-157-1-2,41-60-403-3-2
dal,Opp_First Downs,14,26,20,22,25,18,24,20,32,13,21,33,24,28,22,17,12,37
dal,Opp_Fourth Down Conv.,3-5,0-0,0-0,0-1,0-1,1-2,1-1,2-2,1-2,3-3,0-0,1-2,1-1,0-0,0-1,0-0,3-4,0-2
dal,Opp_Fumbles-Lost,5-1,1-0,0-0,2-0,1-1,0-0,0-0,3-0,0-0,2-1,1-0,0-0,1-1,1-0,1-0,2-1,1-1,0-0
dal,Opp_Net Pass Yards,63,248,178,253,251,219,285,183,472,77,331,275,256,85,284,323,130,387
dal,Opp_Penalties-Yards,6-72,6-38,8-69,5-32,6-45,9-79,4-21,10-98,9-83,8-90,7-48,9-127,7-60,1-15,5-33,5-34,4-39,6-48
dal,Opp_Rush-Yds-TDs,28-108-0,44-134-0,30-222-2,30-124-1,41-170-2,23-53-0,26-102-0,33-109-2,33-168-3,23-110-0,18-100-1,34-136-1,32-138-1,49-266-3,26-91-0,21-61-0,17-50-0,25-123-1
dal,Opp_Sacked-Yards,7-47,1-7,2-11,3-28,1-2,1-8,3-22,3-24,0-0,7-46,0-0,4-24,3-15,1-9,1-9,3-22,4-27,4-16
dal,Opp_Third Down Conv.,5-16,9-18,5-10,8-15,6-11,5-14,6-12,7-14,6-12,5-15,6-10,8-14,9-16,5-9,6-13,7-14,2-10,10-16
dal,Opp_Time of Possession,33:28,42:15,25:27,35:09,37:05,30:08,35:28,30:18,37:21,28:39,23:06,36:27,36:36,35:05,28:58,29:24,26:05,31:05
dal,Opp_Total Yards,171,382,400,377,421,272,387,292,640,187,431,411,394,351,375,384,180,510
dal,Opp_Turnovers,3,0,0,0,1,1,1,0,2,2,0,0,1,0,0,2,3,2
dal,Penalties-Yards,5-35,5-29,13-107,6-50,6-60,11-85,4-25,10-83,2-5,5-45,4-25,10-130,10-95,5-48,6-38,6-35,2-20,7-66
dal,Rush-Yds-TDs,30-122-3,16-64-0,33-185-0,23-53-0,19-57-0,26-96-1,24-92-1,21-73-0,23-111-0,27-107-1,27-108-1,22-72-2,23-106-0,20-89-1,25-97-0,31-125-1,29-131-1,33-143-3
dal,Sacked-Yards,0-0,3-19,2-18,2-7,4-21,5-26,2-16,5-41,5-25,0-0,4-32,1-0,1-7,3-28,4-11,1-7,0-0,0-0
dal,Third Down Conv.,6-13,1-10,9-16,4-13,4-11,5-13,4-13,6-15,0-12,7-16,7-15,9-14,4-9,5-13,4-12,4-13,6-10,6-10
dal,Time of Possession,26:32,17:45,34:33,24:51,22:55,29:52,24:32,29:42,22:39,31:21,36:54,23:33,23:24,24:55,31:02,30:36,33:55,28:55
dal,Total Yards,265,215,416,253,197,342,280,406,172,311,376,406,324,195,339,420,440,415
dal,Turnovers,0,4,1,3,4,1,1,1,1,0,1,1,3,1,1,2,1,0
dal,dal Score,40,10,16,3,10,20,20,23,17,33,10,35,13,10,20,19,38,48
