,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
dal,Cmp-Att-Yd-TD-INT,19-32-179-1-0,11-16-243-2-1,12-15-182-1-0,22-27-221-2-0,29-42-352-2-2,19-27-334-3-0,25-38-243-2-2,31-50-248-2-0,15-22-207-2-1,23-34-257-0-1,24-32-247-2-0,21-32-178-0-1,33-44-369-3-1,18-29-214-3-0,31-43-303-2-1,16-29-148-1-2,21-31-199-2-0
dal,First Downs,15,24,24,14,25,27,18,23,24,21,19,17,23,24,25,16,18
dal,Fourth Down Conv.,0-0,0-0,0-0,1-1,1-1,1-2,1-2,1-5,1-1,1-2,0-0,1-1,0-1,0-0,0-1,0-0,1-1
dal,Fumbles-Lost,1-0,0-0,0-0,1-0,2-1,1-0,2-0,1-0,1-1,0-0,3-1,2-1,1-0,2-1,3-1,2-2,1-1
dal,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dal,Net Pass Yards,163,242,182,213,336,308,236,241,161,250,241,131,359,199,276,141,156
dal,Opp Score,17,19,25,15,17,9,30,27,6,10,26,27,20,14,26,41,19
dal,Opp_Cmp-Att-Yd-TD-INT,24-45-169-1-2,28-42-299-1-2,28-51-379-2-0,29-40-281-0-1,16-28-150-2-0,25-44-224-0-3,18-26-260-1-0,19-24-222-3-0,17-29-66-0-1,33-56-358-1-1,25-38-275-2-2,21-36-195-1-0,16-31-183-2-1,19-28-219-1-2,26-35-292-1-0,13-19-197-3-0,20-34-244-0-0
dal,Opp_First Downs,15,20,26,16,17,16,19,17,11,24,19,21,17,16,15,20,23
dal,Opp_Fourth Down Conv.,3-5,1-3,0-1,3-4,2-2,1-4,0-1,2-2,2-2,0-4,0-0,0-1,1-2,1-1,0-0,1-1,1-2
dal,Opp_Fumbles-Lost,1-0,1-0,2-1,1-0,2-1,2-2,1-0,3-1,4-4,3-1,2-1,2-0,1-1,2-2,0-0,0-0,0-0
dal,Opp_Net Pass Yards,137,285,361,277,134,198,246,210,49,324,267,195,166,175,286,197,228
dal,Opp_Penalties-Yards,11-64,4-26,6-44,4-35,8-50,4-30,9-73,4-26,5-40,9-66,8-78,6-48,4-36,8-65,5-30,4-25,11-67
dal,Opp_Rush-Yds-TDs,19-93-1,21-68-0,16-51-1,24-26-0,26-92-0,17-53-0,36-223-2,30-100-1,24-97-0,18-64-0,25-145-1,32-122-1,25-156-0,16-60-1,20-31-1,42-179-1,39-150-1
dal,Opp_Sacked-Yards,6-32,3-14,3-18,1-4,3-16,4-26,2-14,2-12,3-17,5-34,4-8,0-0,3-17,6-44,1-6,0-0,2-16
dal,Opp_Third Down Conv.,2-15,6-13,7-13,5-16,3-12,3-13,8-16,4-13,3-14,5-15,4-12,7-15,4-12,3-11,5-15,6-13,7-17
dal,Opp_Time of Possession,30:54,29:29,25:15,35:37,27:31,25:17,33:12,29:20,25:59,29:23,24:48,31:36,26:49,26:14,27:12,32:49,37:03
dal,Opp_Total Yards,230,353,412,303,226,251,469,310,146,388,412,317,322,235,317,376,378
dal,Opp_Turnovers,2,2,1,1,1,5,0,1,5,2,3,0,2,4,0,0,0
dal,Penalties-Yards,11-85,5-40,13-105,11-89,11-87,8-63,6-30,9-55,7-49,9-69,4-20,13-98,10-77,14-99,6-47,8-69,5-55
dal,Rush-Yds-TDs,25-102-1,39-190-4,45-274-3,23-80-0,31-109-0,36-184-2,19-56-1,21-137-0,38-187-2,25-141-3,28-91-0,21-116-2,19-74-0,40-211-0,23-134-1,30-127-0,18-113-1
dal,Sacked-Yards,3-16,1-1,0-0,1-8,2-16,3-26,2-7,3-7,5-46,1-7,1-6,6-47,2-10,1-15,4-27,1-7,6-43
dal,Third Down Conv.,4-14,5-8,4-9,3-10,9-15,4-10,4-12,3-13,4-11,4-12,2-11,3-12,4-10,6-12,6-12,6-14,6-13
dal,Time of Possession,29:06,30:31,34:45,24:23,32:29,34:43,26:48,30:40,34:01,30:37,35:12,28:24,33:11,33:46,32:48,27:11,22:57
dal,Total Yards,265,432,456,293,445,492,292,378,348,391,332,247,433,410,410,268,269
dal,Turnovers,0,1,0,0,3,0,2,0,2,1,1,2,1,1,2,4,1
dal,dal Score,33,44,28,20,20,47,24,21,34,34,34,20,27,30,24,7,23
