,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
MIA,Cmp-Att-Yd-TD-INT,20-28-230-2-2,17-23-168-2-0,18-24-341-4-0,15-25-135-1-1,20-35-185-1-2,28-44-380-3-2,22-31-239-2-0,22-38-269-1-1,15-24-139-0-0,23-37-213-0-1,17-25-204-2-0,16-24-137-3-1,14-19-265-3-0,11-24-108-0-0,15-22-146-1-1,19-32-150-1-2
MIA,First Downs,18,18,13,11,17,23,19,18,7,19,14,15,20,12,11,17
MIA,Fourth Down Conv.,0-1,0-0,0-0,1-1,1-1,0-0,0-0,0-1,2-2,3-4,0-0,0-0,0-0,0-2,0-0,1-1
MIA,Fumbles-Lost,0-0,3-2,0-0,1-1,1-1,1-1,0-0,0-0,0-0,1-1,2-1,1-0,2-0,1-0,1-1,3-2
MIA,HomeTeam,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
MIA,MIA Score,27,20,28,7,17,31,21,23,13,12,24,21,34,17,7,17
MIA,Net Pass Yards,222,122,332,116,169,380,215,254,104,163,201,115,223,37,121,126
MIA,Opp Score,20,12,20,38,27,28,32,42,6,31,27,17,33,41,17,42
MIA,Opp_Cmp-Att-Yd-TD-INT,20-38-220-0-3,25-41-334-1-2,27-39-345-1-2,23-35-274-3-2,20-30-248-1-1,22-31-316-3-1,18-22-217-2-0,16-20-239-5-0,21-39-229-0-4,19-28-199-2-0,31-38-347-3-2,18-33-231-2-2,27-43-358-3-0,14-21-215-2-1,17-24-145-0-0,17-26-224-3-1
MIA,Opp_First Downs,19,21,25,26,17,23,24,17,15,21,26,24,28,22,19,23
MIA,Opp_Fourth Down Conv.,0-2,0-0,0-1,0-0,0-0,0-1,1-1,1-1,0-2,1-2,2-2,0-1,0-0,0-0,0-0,1-2
MIA,Opp_Fumbles-Lost,0-0,4-1,1-0,0-0,0-0,2-2,2-0,0-0,0-0,1-1,2-1,3-1,0-0,0-0,2-1,0-0
MIA,Opp_Net Pass Yards,220,320,325,274,229,303,209,239,202,182,337,217,344,198,118,215
MIA,Opp_Penalties-Yards,5-48,7-50,8-38,6-57,6-47,6-58,6-43,8-57,5-45,6-45,7-52,13-120,5-30,6-45,10-97,3-24
MIA,Opp_Rush-Yds-TDs,29-116-1,19-42-0,32-109-1,40-175-2,26-103-0,31-164-1,35-248-1,35-188-1,21-80-0,25-195-2,26-118-0,31-198-0,30-77-1,40-220-3,32-126-1,33-166-3
MIA,Opp_Sacked-Yards,0-0,3-14,3-20,0-0,2-19,2-13,1-8,0-0,4-27,2-17,1-10,2-14,2-14,2-17,6-27,1-9
MIA,Opp_Third Down Conv.,6-14,3-10,7-13,10-15,2-11,8-12,2-8,6-12,2-13,4-10,4-12,5-13,9-16,5-13,6-13,5-11
MIA,Opp_Time of Possession,29:35,31:35,38:31,36:22,30:35,33:25,33:39,28:51,31:34,27:52,31:54,32:57,35:14,33:16,34:45,30:18
MIA,Opp_Total Yards,336,362,434,449,332,467,457,427,282,377,455,415,421,418,244,381
MIA,Opp_Turnovers,3,3,2,2,1,3,0,0,4,1,3,3,0,1,1,1
MIA,Penalties-Yards,7-51,2-10,9-74,10-89,9-85,7-67,4-50,5-63,5-55,3-10,10-75,8-89,7-81,8-49,10-95,4-35
MIA,Rush-Yds-TDs,29-120-0,31-135-1,14-41-0,18-56-0,22-128-0,31-161-0,19-107-1,25-116-1,27-64-0,23-131-0,25-113-1,23-60-0,21-189-2,20-156-1,18-62-0,25-99-0
MIA,Sacked-Yards,1-8,4-46,1-9,2-19,3-16,0-0,4-24,2-15,4-35,6-50,1-3,3-22,5-42,9-71,3-25,4-24
MIA,Third Down Conv.,2-10,6-13,2-8,3-11,4-13,8-17,6-11,4-13,3-16,4-14,4-11,2-9,1-7,2-12,2-9,3-12
MIA,Time of Possession,30:25,28:25,21:29,23:38,29:25,36:35,26:21,31:09,28:26,32:08,28:06,27:03,24:46,26:44,25:15,29:42
MIA,Total Yards,342,257,373,172,297,541,322,370,168,294,314,175,412,193,183,225
MIA,Turnovers,2,2,0,2,3,3,0,1,0,2,1,1,0,0,2,4
