,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
MIA,Cmp-Att-Yd-TD-INT,16-27-202-1-1,25-44-182-0-1,32-49-215-0-0,20-30-199-2-0,27-39-275-2-1,34-48-354-2-1,32-40-291-4-2,21-39-205-0-1,26-43-244-1-2,19-36-314-0-0,27-34-273-2-1,27-31-230-1-0,30-41-244-2-0,16-27-196-2-2,19-26-198-1-1,18-39-205-0-1,15-22-109-1-0
MIA,First Downs,16,13,22,13,17,23,27,16,22,17,20,22,19,23,16,16,23
MIA,Fourth Down Conv.,0-0,0-4,3-4,2-2,0-0,1-2,0-0,1-1,0-0,0-0,0-0,2-2,0-0,2-3,0-0,1-3,0-1
MIA,Fumbles-Lost,0-0,3-2,2-0,3-2,1-1,1-0,0-0,2-1,3-3,2-0,1-0,4-1,0-0,2-1,1-0,4-1,0-0
MIA,HomeTeam,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,True
MIA,MIA Score,17,0,28,17,17,20,28,11,17,22,24,33,20,31,20,3,33
MIA,Net Pass Yards,185,145,197,168,262,354,281,194,215,290,273,204,229,196,173,182,103
MIA,Opp Score,16,35,31,27,45,23,30,26,9,10,17,10,9,24,3,34,24
MIA,Opp_Cmp-Att-Yd-TD-INT,29-39-281-1-0,17-33-179-2-1,26-43-386-2-1,24-32-228-2-0,33-44-452-5-0,25-41-319-1-0,25-40-336-2-1,29-43-249-2-0,24-44-240-0-3,26-43-238-1-1,24-39-291-2-0,10-31-179-0-3,23-44-187-0-1,13-24-170-0-0,12-20-135-0-2,13-18-120-2-0,20-30-261-1-1
MIA,Opp_First Downs,24,21,28,20,33,21,21,24,14,23,18,10,16,16,10,17,21
MIA,Opp_Fourth Down Conv.,0-0,1-1,0-1,1-1,0-0,2-3,0-0,0-1,1-1,0-0,1-1,2-3,1-1,0-1,1-3,1-1,0-0
MIA,Opp_Fumbles-Lost,4-2,2-1,2-0,1-1,0-0,1-1,1-1,1-0,1-1,2-1,1-1,0-0,0-0,1-1,0-0,1-0,2-2
MIA,Opp_Net Pass Yards,268,171,357,210,437,312,325,249,199,210,278,134,159,126,81,110,245
MIA,Opp_Penalties-Yards,8-84,6-53,8-104,8-86,6-47,8-54,3-29,9-80,8-60,4-20,7-48,7-61,3-23,3-32,7-62,6-70,8-78
MIA,Opp_Rush-Yds-TDs,30-125-0,30-143-3,35-140-1,33-139-1,25-121-1,19-84-1,22-72-1,23-102-1,18-73-0,23-94-0,18-102-0,18-64-1,17-91-0,24-102-2,23-83-0,40-198-2,27-134-2
MIA,Opp_Sacked-Yards,1-13,1-8,3-29,2-18,2-15,2-7,1-11,0-0,5-41,4-28,2-13,5-45,3-28,6-44,8-54,1-10,2-16
MIA,Opp_Third Down Conv.,11-16,7-13,8-15,6-15,8-11,3-12,6-13,6-13,6-17,2-14,7-14,4-14,6-16,3-11,0-12,7-15,5-10
MIA,Opp_Time of Possession,36:43,28:26,38:47,37:09,37:07,27:20,25:22,30:47,29:42,31:48,26:25,22:26,29:20,25:38,26:04,33:12,26:24
MIA,Opp_Total Yards,393,314,497,349,558,396,397,351,272,304,380,198,250,228,164,308,379
MIA,Opp_Turnovers,2,2,1,1,0,1,2,0,4,2,1,3,1,1,2,0,3
MIA,Penalties-Yards,5-28,9-83,8-68,5-32,5-37,7-55,6-44,9-58,2-13,11-97,8-62,5-35,3-15,5-45,7-65,5-55,5-33
MIA,Rush-Yds-TDs,23-74-1,20-71-0,27-133-2,16-35-0,9-39-0,20-77-0,29-132-0,23-68-1,25-47-1,22-60-1,33-115-1,39-111-2,25-68-0,42-183-2,30-86-0,16-74-0,43-195-1
MIA,Sacked-Yards,2-17,6-37,2-18,3-31,3-13,0-0,1-10,2-11,4-29,4-24,0-0,2-26,2-15,1-0,3-25,4-23,1-6
MIA,Third Down Conv.,4-11,8-18,6-18,3-11,2-7,9-17,7-11,4-14,9-16,3-13,8-14,6-14,6-15,5-12,5-15,3-12,7-15
MIA,Time of Possession,23:17,31:34,31:13,22:51,22:53,32:40,34:38,29:13,31:52,28:12,33:35,37:34,30:40,34:22,33:56,26:48,33:36
MIA,Total Yards,259,216,330,203,301,431,413,262,262,350,388,315,297,379,259,256,298
MIA,Turnovers,1,3,0,2,2,1,2,2,5,0,1,1,0,3,1,2,0
