,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
MIA,Cmp-Att-Yd-TD-INT,23-33-270-1-0,36-50-469-6-2,13-20-186-1-0,22-37-303-1-2,19-34-166-0-1,30-47-418-2-2,21-35-261-1-0,29-36-382-3-0,21-30-302-3-0,26-33-302-3-0,23-41-305-1-0,18-34-295-2-3,10-28-145-1-0,17-30-234-2-0,16-25-310-1-3,24-40-265-2-2,20-31-152-0-0,18-45-220-1-2
MIA,First Downs,18,27,15,20,19,23,17,27,21,29,25,14,14,20,15,21,17,16
MIA,Fourth Down Conv.,1-1,2-2,0-0,0-1,0-2,1-2,0-1,1-1,0-2,1-2,1-1,1-2,0-0,1-1,1-1,2-3,1-2,1-2
MIA,Fumbles-Lost,2-0,0-0,0-0,0-0,1-1,2-1,0-0,1-1,1-0,1-0,1-1,1-1,1-0,1-0,3-1,0-0,1-0,0-0
MIA,HomeTeam,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False
MIA,MIA Score,20,42,21,15,17,16,16,31,35,39,30,17,17,29,20,21,11,31
MIA,Net Pass Yards,242,461,171,293,158,385,261,369,302,296,273,275,127,217,294,247,140,189
MIA,Opp Score,7,38,19,27,40,24,10,27,32,17,15,33,23,32,26,23,6,34
MIA,Opp_Cmp-Att-Yd-TD-INT,21-30-213-1-1,21-29-318-3-0,42-63-400-2-0,21-32-310-2-0,14-21-210-0-0,20-30-175-2-0,32-44-257-1-3,27-37-321-1-0,17-28-123-3-0,22-35-212-1-0,26-39-215-1-2,27-41-266-2-1,39-51-367-1-0,25-40-304-4-0,24-38-238-1-1,20-33-204-2-0,18-33-149-0-0,23-39-352-3-2
MIA,Opp_First Downs,17,23,31,16,21,11,19,22,23,20,14,24,24,29,17,14,11,25
MIA,Opp_Fourth Down Conv.,0-1,1-3,2-3,0-1,0-1,0-0,2-2,1-2,1-2,2-5,1-1,1-2,1-2,0-0,3-5,0-1,0-0,0-1
MIA,Opp_Fumbles-Lost,2-2,1-0,4-1,0-0,0-0,1-0,0-0,0-0,0-0,2-1,3-1,1-0,1-0,2-1,1-0,0-0,2-0,4-1
MIA,Opp_Net Pass Yards,193,318,382,304,187,156,246,311,116,185,174,230,350,296,222,173,149,316
MIA,Opp_Penalties-Yards,3-15,1-5,7-52,6-74,5-105,2-20,5-40,6-30,4-92,6-52,5-45,4-45,6-40,7-51,5-40,6-39,6-54,2-13
MIA,Opp_Rush-Yds-TDs,22-78-0,25-155-1,23-115-0,30-67-1,33-135-5,17-78-1,23-95-0,19-82-2,40-252-1,24-112-1,14-36-1,34-121-0,23-82-1,29-150-0,25-79-1,21-76-0,20-38-0,26-107-1
MIA,Opp_Sacked-Yards,2-20,0-0,4-18,1-6,2-23,3-19,2-11,1-10,2-7,3-27,5-41,4-36,4-17,2-8,2-16,3-31,0-0,7-36
MIA,Opp_Third Down Conv.,4-9,3-10,11-18,8-15,5-11,2-12,4-14,4-9,10-16,5-12,2-13,8-19,9-18,8-14,2-14,5-13,7-16,9-16
MIA,Opp_Time of Possession,27:30,25:13,40:40,31:35,30:58,24:31,33:16,25:38,34:46,26:46,27:33,40:34,39:38,29:53,32:00,26:12,24:35,32:13
MIA,Opp_Total Yards,271,473,497,371,322,234,341,393,368,297,210,351,432,446,301,249,187,423
MIA,Opp_Turnovers,3,0,1,0,0,0,3,0,0,1,3,1,0,1,1,0,0,3
MIA,Penalties-Yards,4-20,8-51,4-20,6-41,11-102,10-97,5-30,7-55,3-38,5-43,4-35,8-68,6-50,8-51,8-62,9-71,5-47,7-34
MIA,Rush-Yds-TDs,23-65-0,18-86-0,17-41-2,22-85-0,26-137-2,20-73-0,27-111-0,26-107-1,23-77-1,33-195-2,26-66-1,8-33-0,19-92-0,25-188-1,18-82-1,27-86-1,32-162-0,20-42-1
MIA,Sacked-Yards,3-28,1-8,2-15,1-10,2-8,6-33,0-0,2-13,0-0,1-6,5-32,3-20,2-18,2-17,2-16,2-18,1-12,4-31
MIA,Third Down Conv.,6-14,7-11,3-8,2-10,4-11,4-14,4-14,8-12,5-10,6-11,4-15,0-7,3-11,5-14,2-7,4-14,4-13,4-16
MIA,Time of Possession,32:30,34:47,19:20,28:25,29:02,35:29,26:44,34:22,25:14,33:14,32:27,19:26,20:22,30:07,28:00,33:48,35:25,27:47
MIA,Total Yards,307,547,212,378,295,458,372,476,379,491,339,308,219,405,376,333,302,231
MIA,Turnovers,0,2,0,2,2,3,0,1,0,0,1,4,0,0,4,2,0,2
