,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
mia,Cmp-Att-Yd-TD-INT,24-34-230-1-0,26-45-220-1-2,29-41-268-2-0,21-32-141-1-0,19-33-151-2-1,17-27-209-3-1,25-44-176-0-2,21-30-300-1-1,22-37-213-2-1,22-37-275-2-0,23-34-215-1-2,19-41-200-0-3,24-43-233-1-2,28-49-274-0-3,19-38-286-1-0,19-27-204-1-0
mia,First Downs,21,16,22,14,20,16,13,20,17,19,15,14,14,21,15,23
mia,Fourth Down Conv.,0-1,0-3,1-2,0-0,2-3,0-0,0-2,0-0,0-1,0-0,2-3,0-1,0-0,1-2,0-2,0-0
mia,Fumbles-Lost,0-0,1-0,2-0,2-2,0-0,2-1,0-0,3-1,0-0,0-0,2-1,2-0,0-0,4-0,3-2,0-0
mia,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mia,Net Pass Yards,225,195,261,119,151,180,151,295,213,268,154,167,223,249,286,186
mia,Opp Score,17,20,0,16,17,31,40,24,45,20,35,35,27,24,29,16
mia,Opp_Cmp-Att-Yd-TD-INT,31-39-331-1-0,18-23-249-1-0,20-28-164-0-1,12-27-92-1-1,24-35-248-1-1,25-37-326-4-2,13-22-121-2-0,34-42-311-3-0,21-35-254-4-0,23-40-365-2-3,18-28-227-4-1,18-32-235-2-2,25-38-263-3-0,17-29-224-1-0,25-39-304-1-0,30-44-271-1-1
mia,Opp_First Downs,24,16,11,12,19,25,19,23,30,18,25,15,21,21,23,21
mia,Opp_Fourth Down Conv.,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-1,1-2,0-0,1-1,0-1,0-1,1-3
mia,Opp_Fumbles-Lost,0-0,3-1,2-0,1-1,1-0,1-0,1-0,2-1,0-0,4-2,4-1,1-1,1-0,1-0,0-0,1-0
mia,Opp_Net Pass Yards,323,233,128,78,239,304,121,309,254,365,221,222,242,212,301,263
mia,Opp_Penalties-Yards,6-56,10-94,11-90,5-23,6-73,9-76,5-40,11-107,6-37,17-123,7-70,7-85,8-102,3-28,5-40,14-145
mia,Opp_Rush-Yds-TDs,14-44-1,34-103-1,15-58-0,31-100-0,19-100-1,25-53-0,40-174-0,18-86-0,36-294-2,19-83-0,38-196-1,30-145-1,30-120-0,30-116-2,34-103-1,22-93-1
mia,Opp_Sacked-Yards,1-8,2-16,4-36,1-14,2-9,3-22,0-0,1-2,0-0,1-0,1-6,2-13,2-21,2-12,1-3,1-8
mia,Opp_Third Down Conv.,2-8,4-13,1-8,5-15,6-11,5-13,3-13,5-12,11-14,6-13,5-12,4-15,4-14,7-15,8-16,5-13
mia,Opp_Time of Possession,26:38,36:08,25:32,29:45,25:36,31:58,31:14,29:04,35:39,28:11,32:41,34:22,36:09,27:35,37:53,28:56
mia,Opp_Total Yards,367,336,186,178,339,357,295,395,548,448,417,367,362,328,404,356
mia,Opp_Turnovers,0,1,1,2,1,2,0,1,0,5,2,3,0,0,0,1
mia,Penalties-Yards,5-23,8-51,8-71,11-77,4-42,12-124,7-43,10-105,7-57,9-82,6-52,9-57,9-78,7-60,11-75,6-45
mia,Rush-Yds-TDs,32-111-0,15-30-0,28-86-0,20-69-0,31-138-0,22-92-1,19-45-0,27-84-2,17-100-1,24-53-0,19-67-0,23-103-0,10-25-1,21-100-1,16-59-0,32-126-1
mia,Sacked-Yards,2-5,3-25,1-7,6-22,0-0,3-29,3-25,1-5,0-0,1-7,7-61,3-33,2-10,3-25,0-0,4-18
mia,Third Down Conv.,5-13,1-12,6-13,2-13,5-12,4-11,4-15,8-15,7-12,3-13,2-11,1-13,0-11,5-16,0-8,5-12
mia,Time of Possession,33:22,23:52,34:28,30:15,34:24,28:02,28:46,30:56,24:21,31:49,27:19,25:38,23:51,32:25,22:07,31:04
mia,Total Yards,336,225,347,188,289,272,196,379,313,321,221,270,248,349,345,312
mia,Turnovers,0,2,0,2,1,2,2,2,1,0,3,3,2,3,2,0
mia,mia Score,19,6,20,10,20,28,0,27,21,30,17,9,20,16,13,22
