,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
mia,Cmp-Att-Yd-TD-INT,12-21-162-1-0,13-19-139-1-0,20-32-186-0-0,12-21-110-0-1,18-31-194-0-1,15-26-161-1-0,26-36-307-2-0,25-28-231-2-0,20-28-207-1-1,30-43-282-2-1,22-38-222-1-1,37-46-365-2-0,27-39-339-1-0,29-40-196-1-3,26-40-313-2-1,22-26-225-1-0,25-41-227-1-2
mia,First Downs,17,13,13,16,24,18,22,26,15,22,14,21,23,18,20,18,21
mia,Fourth Down Conv.,0-1,1-1,0-3,1-1,0-1,0-1,0-0,1-1,0-0,2-2,1-3,3-5,2-2,2-2,0-1,0-1,3-3
mia,Fumbles-Lost,2-1,1-0,3-0,0-0,3-1,2-2,1-0,1-1,1-1,0-0,1-1,2-1,0-0,2-1,0-0,1-0,5-2
mia,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mia,Net Pass Yards,139,139,140,102,179,149,307,224,171,268,183,336,319,172,293,206,199
mia,Opp Score,20,10,24,12,10,16,27,30,15,34,34,30,32,20,29,3,32
mia,Opp_Cmp-Att-Yd-TD-INT,23-37-338-1-0,25-39-225-1-3,26-34-289-1-2,14-22-96-0-0,18-34-160-0-0,10-24-129-0-0,28-38-234-1-0,25-39-235-3-1,32-46-293-0-1,28-36-288-3-0,29-40-317-4-0,21-28-274-2-0,33-47-331-2-0,18-26-131-2-0,22-34-215-1-0,24-47-170-0-1,23-37-274-4-1
mia,Opp_First Downs,18,20,21,13,15,16,22,24,20,25,23,19,28,12,21,18,22
mia,Opp_Fourth Down Conv.,0-2,1-5,0-0,1-3,0-1,0-0,0-0,1-1,0-0,2-2,0-0,0-0,2-2,1-1,0-0,0-4,1-2
mia,Opp_Fumbles-Lost,0-0,0-0,1-0,1-1,0-0,1-1,4-0,0-0,3-1,1-0,1-1,0-0,0-0,2-1,1-0,1-1,1-0
mia,Opp_Net Pass Yards,319,212,270,78,148,129,227,231,257,271,308,274,331,104,215,162,257
mia,Opp_Penalties-Yards,9-103,7-50,11-92,10-98,12-105,4-25,2-15,4-40,6-64,4-23,3-17,7-44,8-49,7-70,6-45,9-84,6-35
mia,Opp_Rush-Yds-TDs,25-81-1,34-139-0,23-100-2,30-106-1,19-151-1,37-155-1,25-150-2,19-94-0,18-70-0,26-82-1,24-65-0,25-114-1,19-44-1,20-77-0,30-166-1,28-114-0,22-118-0
mia,Opp_Sacked-Yards,3-19,2-13,3-19,2-18,2-12,0-0,1-7,1-4,4-36,2-17,2-9,0-0,0-0,4-27,0-0,1-8,3-17
mia,Opp_Third Down Conv.,8-16,7-15,3-11,2-12,4-13,4-13,11-15,5-10,3-12,8-12,4-12,5-11,1-9,5-13,4-12,7-17,5-12
mia,Opp_Time of Possession,33:10,36:19,31:28,25:08,25:40,28:49,30:31,28:07,30:12,33:12,32:04,26:56,32:53,26:36,33:06,29:19,27:56
mia,Opp_Total Yards,400,351,370,184,299,284,377,325,327,353,373,388,375,181,381,276,375
mia,Opp_Turnovers,0,3,2,1,0,1,0,1,2,0,1,0,0,1,0,2,1
mia,Penalties-Yards,8-71,1-5,11-85,8-69,6-54,6-50,4-29,8-57,1-15,7-49,10-75,10-75,10-83,8-64,11-90,11-94,4-32
mia,Rush-Yds-TDs,26-128-1,26-108-2,18-65-0,40-142-2,41-193-1,40-188-0,26-82-1,31-149-1,22-67-1,16-60-0,21-86-0,14-39-0,21-83-1,19-52-0,18-81-0,27-74-1,23-135-1
mia,Sacked-Yards,3-23,0-0,6-46,1-8,3-15,2-12,0-0,1-7,3-36,3-14,4-39,5-29,3-20,3-24,3-20,4-19,4-28
mia,Third Down Conv.,2-10,3-9,1-12,2-12,2-11,6-15,7-13,4-8,6-13,8-14,3-14,4-14,4-12,4-13,5-13,2-11,3-12
mia,Time of Possession,26:50,23:41,28:32,34:52,34:20,31:11,29:29,31:53,29:48,26:48,27:56,33:04,31:02,33:24,26:54,30:41,32:04
mia,Total Yards,267,247,205,244,372,337,389,373,238,328,269,375,402,224,374,280,334
mia,Turnovers,1,0,0,1,2,2,0,1,2,1,2,1,0,4,1,0,4
mia,mia Score,17,31,3,31,15,10,28,27,23,19,15,17,26,12,17,20,20
