,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
PHI,Cmp-Att-Yd-TD-INT,28-39-313-3-0,28-48-255-1-2,19-36-259-2-0,16-27-160-3-0,17-29-189-1-0,26-41-306-2-2,16-26-191-1-1,17-24-172-1-0,26-39-239-1-0,20-40-214-1-0,33-45-256-1-2,28-46-310-3-1,33-50-325-2-0,30-43-266-3-0,31-40-319-1-0,23-40-289-1-0,19-28-177-0-0
PHI,First Downs,22,18,22,24,17,19,16,21,26,21,23,23,27,27,23,25,20
PHI,Fourth Down Conv.,1-2,2-3,0-2,0-0,0-2,1-3,1-2,0-2,1-1,0-1,0-1,0-0,1-2,0-0,0-1,1-2,0-2
PHI,Fumbles-Lost,0-0,1-1,3-2,0-0,3-1,1-1,4-3,2-1,1-0,3-1,4-3,1-0,2-1,4-1,1-0,1-0,3-0
PHI,HomeTeam,True,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,True
PHI,Net Pass Yards,313,237,246,160,181,292,168,153,227,174,238,294,300,258,313,279,162
PHI,Opp Score,27,24,27,27,6,38,37,13,14,17,17,37,17,27,9,17,17
PHI,Opp_Cmp-Att-Yd-TD-INT,30-44-380-3-0,27-43-320-3-3,18-32-201-1-0,34-53-422-2-1,15-26-120-0-2,22-29-333-4-1,21-27-239-1-1,16-34-169-2-0,10-21-125-0-0,27-48-231-1-0,13-25-200-1-1,28-40-366-4-1,15-30-203-2-0,19-28-261-2-0,25-44-265-0-0,28-47-301-1-1,18-30-325-1-0
PHI,Opp_First Downs,15,19,16,31,9,26,23,16,10,19,14,26,11,19,16,19,16
PHI,Opp_Fourth Down Conv.,2-2,1-1,0-0,0-1,0-1,1-1,1-1,0-2,0-0,0-0,0-0,3-3,0-0,0-0,1-2,2-4,0-0
PHI,Opp_Fumbles-Lost,0-0,1-0,0-0,1-1,2-1,1-1,1-0,3-1,1-1,0-0,2-1,0-0,2-0,1-1,1-1,3-1,2-0
PHI,Opp_Net Pass Yards,370,310,201,414,61,325,213,155,102,224,174,351,182,251,257,275,318
PHI,Opp_Penalties-Yards,12-96,10-58,9-61,5-50,9-52,4-30,6-65,8-57,9-70,6-89,12-90,7-59,7-54,5-60,2-20,4-48,11-114
PHI,Opp_Rush-Yds-TDs,13-28-0,17-57-0,28-86-1,20-77-1,19-67-1,35-122-1,36-189-3,20-98-0,18-62-2,22-74-0,26-174-1,20-58-1,20-73-0,22-101-1,16-54-0,21-122-1,26-64-1
PHI,Opp_Sacked-Yards,1-10,1-10,0-0,1-8,10-59,1-8,3-26,4-14,3-23,1-7,6-26,3-15,2-21,1-10,2-8,4-26,1-7
PHI,Opp_Third Down Conv.,5-13,3-10,6-14,6-11,3-14,2-10,8-14,6-15,2-10,5-16,5-14,5-12,2-12,4-10,3-14,5-16,8-15
PHI,Opp_Time of Possession,25:33,27:06,27:42,32:21,29:08,32:04,32:22,24:03,19:42,28:25,28:05,31:18,21:59,23:03,23:48,28:35,26:45
PHI,Opp_Total Yards,398,367,287,491,128,447,402,253,164,298,348,409,255,352,311,397,382
PHI,Opp_Turnovers,0,3,0,2,3,2,1,1,1,0,2,1,0,1,1,2,0
PHI,PHI Score,32,20,24,34,31,20,10,31,22,10,9,31,23,37,17,34,9
PHI,Penalties-Yards,6-55,7-60,4-30,9-93,9-76,7-49,5-40,4-44,8-75,7-39,2-15,10-91,4-30,7-54,4-30,7-55,7-45
PHI,Rush-Yds-TDs,31-123-1,21-49-1,30-127-1,33-176-2,29-84-1,22-108-0,28-115-0,41-218-3,35-146-1,21-81-0,23-106-0,19-92-0,32-118-1,28-157-1,30-118-1,31-121-3,26-120-0
PHI,Sacked-Yards,1-0,3-18,3-13,0-0,1-8,2-14,3-23,3-19,4-12,5-40,3-18,2-16,3-25,2-8,1-6,1-10,7-15
PHI,Third Down Conv.,11-17,9-18,7-13,5-9,5-13,4-12,3-9,8-15,8-18,3-13,4-12,7-14,9-21,11-16,6-14,4-15,3-11
PHI,Time of Possession,34:27,32:54,32:18,27:39,30:52,27:56,27:38,35:57,40:18,31:35,31:55,28:42,42:51,36:57,36:12,31:25,33:15
PHI,Total Yards,436,286,373,336,265,400,283,371,373,255,344,386,418,415,431,400,282
PHI,Turnovers,0,3,2,0,1,3,4,1,0,1,5,1,1,1,0,0,0
