,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
PHI,Cmp-Att-Yd-TD-INT,24-42-270-2-2,26-43-242-0-2,29-47-225-1-2,18-28-193-1-1,21-36-276-2-2,21-40-213-2-0,25-43-359-2-1,16-28-132-2-2,21-37-208-0-0,21-35-235-2-2,26-46-221-2-1,11-27-188-1-1,17-30-167-1-0,24-44-338-3-0,21-39-342-1-2,13-33-119-0-2
PHI,First Downs,19,25,27,18,20,19,27,18,22,19,18,17,21,26,24,16
PHI,Fourth Down Conv.,0-2,0-1,0-0,2-2,0-1,1-3,1-2,0-3,1-3,2-2,0-3,1-1,2-4,3-4,1-2,1-2
PHI,Fumbles-Lost,3-1,1-1,2-0,2-0,0-0,4-1,0-0,3-2,3-0,2-1,1-0,1-0,1-1,3-0,4-1,1-1
PHI,HomeTeam,False,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True
PHI,Net Pass Yards,208,242,206,174,242,170,346,103,190,209,180,161,167,305,326,98
PHI,Opp Score,27,37,23,20,38,30,21,9,27,22,23,30,21,33,37,20
PHI,Opp_Cmp-Att-Yd-TD-INT,17-31-178-1-0,20-27-267-3-0,31-44-312-2-0,32-45-338-1-2,27-34-239-3-0,16-27-186-1-0,20-30-187-2-1,21-40-180-0-0,21-28-244-0-0,12-22-204-0-0,22-31-230-1-0,25-34-295-3-0,28-38-291-2-1,28-37-432-3-1,22-30-377-3-1,22-32-162-2-2
PHI,Opp_First Downs,18,30,24,25,25,17,17,21,22,17,20,20,20,26,22,16
PHI,Opp_Fourth Down Conv.,1-2,1-1,0-0,0-1,0-0,0-0,0-0,2-4,1-2,0-2,0-2,1-1,0-1,1-2,0-0,0-0
PHI,Opp_Fumbles-Lost,2-0,1-1,0-0,1-1,1-1,2-0,2-2,3-2,0-0,2-1,0-0,1-0,1-1,3-2,0-0,2-0
PHI,Opp_Net Pass Yards,159,258,256,301,231,173,165,132,231,187,225,288,262,423,362,145
PHI,Opp_Penalties-Yards,7-55,4-24,9-73,6-42,8-86,12-132,9-62,7-68,7-64,3-53,8-83,5-30,8-52,9-83,5-73,5-56
PHI,Opp_Rush-Yds-TDs,36-80-2,39-191-2,18-48-0,20-116-2,32-136-2,37-182-2,22-160-1,35-133-0,36-151-3,40-137-1,30-76-1,25-149-1,20-96-1,30-103-1,34-151-1,27-103-0
PHI,Opp_Sacked-Yards,3-19,1-9,8-56,5-37,1-8,3-13,3-22,4-48,3-13,3-17,2-5,2-7,5-29,1-9,2-15,3-17
PHI,Opp_Third Down Conv.,5-18,7-12,3-13,5-11,11-15,6-16,3-10,4-16,5-14,4-14,2-10,5-12,5-12,3-10,6-13,6-15
PHI,Opp_Time of Possession,29:21,31:13,32:16,30:31,34:43,36:30,27:22,32:50,31:43,31:44,32:57,31:39,29:44,27:47,30:38,30:48
PHI,Opp_Total Yards,239,449,304,417,367,355,325,265,382,324,301,437,358,526,513,248
PHI,Opp_Turnovers,0,1,0,3,1,0,3,2,0,1,0,0,2,3,1,2
PHI,PHI Score,17,19,23,25,29,28,22,23,17,17,17,16,24,26,17,14
PHI,Penalties-Yards,3-20,5-30,11-93,3-25,9-84,3-20,7-75,4-28,11-74,5-33,9-79,4-40,6-27,9-69,12-115,6-41
PHI,Rush-Yds-TDs,17-57-0,26-121-2,36-172-1,28-93-1,16-94-2,18-194-1,26-96-1,26-119-0,23-156-2,25-106-0,14-70-0,25-117-0,36-246-2,29-117-1,29-151-1,29-118-2
PHI,Sacked-Yards,8-62,0-0,3-19,3-19,5-34,6-43,3-13,4-29,3-18,5-26,6-41,7-27,0-0,6-33,3-16,3-21
PHI,Third Down Conv.,5-14,7-12,10-21,4-13,10-14,3-12,4-13,3-8,0-9,2-12,8-17,4-13,4-13,6-18,7-17,5-14
PHI,Time of Possession,30:39,28:47,37:44,29:29,25:17,23:30,32:38,27:10,28:17,28:16,27:03,28:21,30:16,32:13,29:22,29:12
PHI,Total Yards,265,363,378,267,336,364,442,222,346,315,250,278,413,422,477,216
PHI,Turnovers,3,3,2,1,2,1,1,4,0,3,1,1,1,0,3,3
